id,name,total,over_votes,under_votes,Write-in,Ryan Cushman,Terri DeBoer
1391802000001,"City of Coopersville, Precinct 1",42,,,0,6,36
1392796000001,"City of Ferrysburg, Precinct 1",11,,,0,1,10
1393334000001,"City of Grand Haven, Precinct 1",7,,,0,2,5
1393334000002,"City of Grand Haven, Precinct 2",13,,,0,1,12
1393334000003,"City of Grand Haven, Precinct 3",6,,,0,1,5
1393334000004,"City of Grand Haven, Precinct 4",6,,,0,0,6
1391880000001,"Crockery Township, Precinct 1",35,,,0,8,27
1391880000002,"Crockery Township, Precinct 2",10,,,0,3,7
1393336000001,"Grand Haven Charter Township, Precinct 1",10,,,0,4,6
1393336000002,"Grand Haven Charter Township, Precinct 2",4,,,0,0,4
1393336000003,"Grand Haven Charter Township, Precinct 3",16,,,0,2,14
1393336000004,"Grand Haven Charter Township, Precinct 4",5,,,0,1,4
1393336000005,"Grand Haven Charter Township, Precinct 5",7,,,0,1,6
1393336000006,"Grand Haven Charter Township, Precinct 6",10,,,0,3,7
1393336000007,"Grand Haven Charter Township, Precinct 7",10,,,0,5,5
1396532000001,"Polkton Charter Township, Precinct 1",50,,,0,8,42
1396900000001,"Robinson Township, Precinct 1",10,,,0,5,5
1396900000002,"Robinson Township, Precinct 2",8,,,0,1,7
1396900000003,"Robinson Township, Precinct 3",5,,,0,0,5
1397584000001,"Spring Lake Township, Precinct 1",16,,,0,2,14
1397584000002,"Spring Lake Township, Precinct 2",11,,,0,1,10
1397584000003,"Spring Lake Township, Precinct 3",31,,,0,1,30
1397584000004,"Spring Lake Township, Precinct 4",15,,,0,5,10
1397584000005,"Spring Lake Township, Precinct 5",33,,,0,5,28
1397584000006,"Spring Lake Township, Precinct 6",13,,,0,4,9
1397798000001,"Tallmadge Charter Township, Precinct 1",48,,,0,8,40
1397798000002,"Tallmadge Charter Township, Precinct 2",51,,,0,10,41
1397798000003,"Tallmadge Charter Township, Precinct 3",47,,,0,10,37
1398882000001,"Wright Township, Precinct 1",51,,,0,9,42
