id,name,total,over_votes,under_votes,Write-in,Bill Huizenga,Philip Tanis
1393864001001,"City of Holland, Ward 1, Precinct 1",13,,,0,11,2
1393864001002,"City of Holland, Ward 1, Precinct 2",10,,,0,8,2
1393864002003,"City of Holland, Ward 2, Precinct 3",15,,,0,13,2
1393864003004,"City of Holland, Ward 3, Precinct 4",5,,,0,5,0
1393864003005,"City of Holland, Ward 3, Precinct 5",3,,,0,2,1
1393864004006,"City of Holland, Ward 4, Precinct 6",21,,,0,13,8
1393864006010,"City of Holland, Ward 6, Precinct 10",3,,,0,2,1
1393864006011,"City of Holland, Ward 6, Precinct 11",22,,,0,13,9
1393980001001,"City of Hudsonville, Ward 1, Precinct 1",5,,,0,4,1
1393980002001,"City of Hudsonville, Ward 2, Precinct 1",4,,,0,4,0
1393980003001,"City of Hudsonville, Ward 3, Precinct 1",10,,,0,9,1
1398926000001,"City of Zeeland, Precinct 1",24,,,0,19,5
1398926000002,"City of Zeeland, Precinct 2",28,,,0,20,8
1390894000001,"Blendon Township, Precinct 1",14,,,0,10,4
1390894000002,"Blendon Township, Precinct 2",53,,,0,40,13
1393866000001,"Holland Charter Township, Precinct 1",18,,,0,15,3
1393866000002,"Holland Charter Township, Precinct 2",2,,,0,2,0
1393866000003,"Holland Charter Township, Precinct 3",19,,,0,15,4
1393866000004,"Holland Charter Township, Precinct 4",21,,,0,20,1
1393866000005,"Holland Charter Township, Precinct 5",30,,,0,21,9
1393866000006,"Holland Charter Township, Precinct 6",20,,,0,18,2
1393866000007,"Holland Charter Township, Precinct 7",37,,,0,34,3
1393866000008,"Holland Charter Township, Precinct 8",7,,,0,4,3
1393866000009,"Holland Charter Township, Precinct 9",23,,,0,21,2
1393866000010,"Holland Charter Township, Precinct 10",12,,,0,9,3
1393866000011,"Holland Charter Township, Precinct 11",12,,,0,9,3
1393866000012,"Holland Charter Township, Precinct 12",21,,,0,18,3
1396046000001,"Olive Township, Precinct 1",13,,,0,10,3
1396046000002,"Olive Township, Precinct 2",44,,,0,34,10
1396246000001,"Park Township, Precinct 1",24,,,0,21,3
1396246000002,"Park Township, Precinct 2",3,,,0,3,0
1396246000003,"Park Township, Precinct 3",39,,,0,32,7
1396246000004,"Park Township, Precinct 4",17,,,0,11,6
1396246000005,"Park Township, Precinct 5",33,,,0,28,5
1396246000006,"Park Township, Precinct 6",19,,,0,14,5
1396594000001,"Port Sheldon Township, Precinct 1",66,,,0,53,13
1396594000002,"Port Sheldon Township, Precinct 2",23,,,0,20,3
1398928000001,"Zeeland Charter Township, Precinct 1",25,,,0,19,6
1398928000002,"Zeeland Charter Township, Precinct 2",33,,,0,27,6
1398928000003,"Zeeland Charter Township, Precinct 3",23,,,0,13,10
1398928000004,"Zeeland Charter Township, Precinct 4",27,,,0,23,4
