id,name,total,over_votes,under_votes,Write-in,Ryan Cushman,Terri DeBoer
1391802000001,"City of Coopersville, Precinct 1",312,,,0,82,230
1392796000001,"City of Ferrysburg, Precinct 1",202,,,0,36,166
1393334000001,"City of Grand Haven, Precinct 1",123,,,0,27,96
1393334000002,"City of Grand Haven, Precinct 2",146,,,0,29,117
1393334000003,"City of Grand Haven, Precinct 3",177,,,0,42,135
1393334000004,"City of Grand Haven, Precinct 4",155,,,0,37,118
1391880000001,"Crockery Township, Precinct 1",245,,,0,52,193
1391880000002,"Crockery Township, Precinct 2",140,,,0,23,117
1393336000001,"Grand Haven Charter Township, Precinct 1",160,,,0,28,132
1393336000002,"Grand Haven Charter Township, Precinct 2",102,,,0,19,83
1393336000003,"Grand Haven Charter Township, Precinct 3",159,,,0,21,138
1393336000004,"Grand Haven Charter Township, Precinct 4",124,,,0,20,104
1393336000005,"Grand Haven Charter Township, Precinct 5",157,,,0,28,129
1393336000006,"Grand Haven Charter Township, Precinct 6",92,,,0,29,63
1393336000007,"Grand Haven Charter Township, Precinct 7",202,,,0,41,161
1396532000001,"Polkton Charter Township, Precinct 1",544,,,0,119,425
1396900000001,"Robinson Township, Precinct 1",190,,,0,33,157
1396900000002,"Robinson Township, Precinct 2",193,,,0,38,155
1396900000003,"Robinson Township, Precinct 3",202,,,0,30,172
1397584000001,"Spring Lake Township, Precinct 1",159,,,0,42,117
1397584000002,"Spring Lake Township, Precinct 2",190,,,0,38,152
1397584000003,"Spring Lake Township, Precinct 3",203,,,0,54,149
1397584000004,"Spring Lake Township, Precinct 4",188,,,0,29,159
1397584000005,"Spring Lake Township, Precinct 5",249,,,0,57,192
1397584000006,"Spring Lake Township, Precinct 6",99,,,0,21,78
1397798000001,"Tallmadge Charter Township, Precinct 1",204,,,0,51,153
1397798000002,"Tallmadge Charter Township, Precinct 2",213,,,0,42,171
1397798000003,"Tallmadge Charter Township, Precinct 3",270,,,0,53,217
1398882000001,"Wright Township, Precinct 1",353,,,0,62,291
