name,id,Abdul El-Sayed,Haley Stevens,Mallory McMorrow
"Muskegon Charter Township, Precinct 2",1215634000002,178,83,7
"Casnovia Township, Precinct 1",1211384000001,44,36,3
"Cedar Creek Township, Precinct 1",1211410000001,65,43,7
"Whitehall Township, Precinct 1",1218680000001,96,143,9
"Laketon Township, Precinct 2",1214516000002,114,66,4
"City of Muskegon Heights, Precinct 2",1215636000002,31,174,6
"City of Muskegon, Precinct 8",1215632004008,79,44,3
"Fruitland Township, Precinct 1",1213098000001,95,65,3
"Ravenna Township, Precinct 1",1216730000001,42,28,2
"Muskegon Charter Township, Precinct 1",1215634000001,103,82,4
"Fruitport Charter Township, Precinct 4",1213102000004,106,49,3
"City of Muskegon, Precinct 7",1215632003007,143,39,2
"Dalton Township, Precinct 1",1211966000001,51,47,2
"City of North Muskegon, Precinct 1",1215864000001,141,57,7
"Fruitport Charter Township, Precinct 5",1213102000005,83,51,1
"City of Muskegon Heights, Precinct 1",1215636000001,42,198,15
"Dalton Township, Precinct 2",1211966000002,52,44,5
"Laketon Township, Precinct 1",1214516000001,161,105,4
"Fruitport Charter Township, Precinct 2",1213102000002,81,44,0
"City of Muskegon, Precinct 9",1215632004009,186,120,2
"City of Muskegon, Precinct 3",1215632002003,53,84,1
"City of Muskegon Heights, Precinct 4",1215636000004,70,200,17
"City of Norton Shores, Precinct 2",1215914001002,136,60,2
"Sullivan Township, Precinct 1",1217710000001,59,38,0
"Dalton Township, Precinct 3",1211966000003,104,59,3
"City of Norton Shores, Precinct 6",1215914002006,184,92,11
"City of Muskegon Heights, Precinct 3",1215636000003,55,123,4
"White River Township, Precinct 1",1218698000001,129,123,17
"City of Muskegon, Precinct 4",1215632002004,155,59,6
"City of Whitehall, Precinct 1",1218678000001,128,64,8
"City of Norton Shores, Precinct 5",1215914002005,81,35,2
"City of Montague, Precinct 1",1215510000001,104,50,3
"Fruitland Township, Precinct 2",1213098000002,54,29,2
"Montague Township, Precinct 1",1215512000001,77,112,4
"Moorland Township, Precinct 1",1215544000001,44,69,6
"Holton Township, Precinct 1",1213882000001,80,132,11
"City of Muskegon, Precinct 6",1215632003006,87,51,2
"Fruitport Charter Township, Precinct 1",1213102000001,64,40,3
"Fruitport Charter Township, Precinct 3",1213102000003,85,49,2
"City of Norton Shores, Precinct 4",1215914002004,150,58,5
"Egelston Township, Precinct 2",1212508000002,165,185,14
"City of Muskegon, Precinct 1",1215632001001,109,97,11
"Egelston Township, Precinct 3",1212508000003,112,168,10
"City of Norton Shores, Precinct 3",1215914001003,55,15,0
"City of Norton Shores, Precinct 1",1215914001001,289,115,5
"City of Muskegon, Precinct 5",1215632003005,25,47,2
"City of Roosevelt Park, Precinct 1",1216952000001,231,75,2
"Muskegon Charter Township, Precinct 3",1215634000003,80,73,0
"Blue Lake Township, Precinct 1",1210934000001,134,154,12
"Egelston Township, Precinct 1",1212508000001,158,198,22
"City of Muskegon, Precinct 2",1215632001002,93,111,1
"Muskegon Charter Township, Precinct 4",1215634000004,97,60,6
