name,id,Aric Nesbitt,Perry Johnson,Mike Cox,John James
"Fruitport Charter Township, Precinct 2",1213102000002,7,145,39,162
"City of Norton Shores, Precinct 5",1215914002005,7,89,42,123
"Laketon Township, Precinct 1",1214516000001,10,215,73,316
"City of Muskegon, Precinct 5",1215632003005,1,12,5,21
"City of Muskegon Heights, Precinct 4",1215636000004,1,5,3,6
"Holton Township, Precinct 1",1213882000001,6,105,38,124
"Fruitport Charter Township, Precinct 3",1213102000003,11,136,57,204
"Fruitport Charter Township, Precinct 5",1213102000005,18,126,56,211
"City of Muskegon, Precinct 7",1215632003007,4,48,18,72
"Egelston Township, Precinct 3",1212508000003,4,61,32,82
"City of Roosevelt Park, Precinct 1",1216952000001,7,113,30,130
"City of Muskegon, Precinct 9",1215632004009,8,138,56,156
"Laketon Township, Precinct 2",1214516000002,7,121,72,205
"City of Muskegon Heights, Precinct 3",1215636000003,1,12,5,16
"Dalton Township, Precinct 3",1211966000003,11,159,50,207
"City of Muskegon, Precinct 1",1215632001001,3,28,24,60
"City of Muskegon Heights, Precinct 1",1215636000001,0,5,0,4
"Muskegon Charter Township, Precinct 2",1215634000002,11,163,56,205
"Cedar Creek Township, Precinct 1",1211410000001,13,152,49,180
"Montague Township, Precinct 1",1215512000001,3,79,12,84
"Ravenna Township, Precinct 1",1216730000001,9,212,56,223
"Muskegon Charter Township, Precinct 3",1215634000003,11,92,31,126
"City of Muskegon, Precinct 8",1215632004008,7,97,52,127
"Fruitport Charter Township, Precinct 4",1213102000004,10,177,72,196
"City of Norton Shores, Precinct 4",1215914002004,11,181,100,303
"City of Muskegon, Precinct 2",1215632001002,4,46,12,39
"Fruitland Township, Precinct 1",1213098000001,7,128,51,230
"Muskegon Charter Township, Precinct 1",1215634000001,5,105,31,103
"City of Norton Shores, Precinct 6",1215914002006,11,236,80,397
"Fruitland Township, Precinct 2",1213098000002,9,161,52,234
"City of Norton Shores, Precinct 3",1215914001003,0,55,22,57
"Dalton Township, Precinct 1",1211966000001,3,118,48,167
"Egelston Township, Precinct 1",1212508000001,8,132,35,133
"City of Norton Shores, Precinct 1",1215914001001,9,199,92,277
"City of Muskegon, Precinct 3",1215632002003,1,14,11,21
"Blue Lake Township, Precinct 1",1210934000001,4,119,54,172
"City of Montague, Precinct 1",1215510000001,4,83,39,175
"City of Whitehall, Precinct 1",1218678000001,9,109,64,182
"Dalton Township, Precinct 2",1211966000002,3,35,31,98
"Sullivan Township, Precinct 1",1217710000001,12,161,35,169
"Fruitport Charter Township, Precinct 1",1213102000001,11,202,52,271
"Egelston Township, Precinct 2",1212508000002,21,108,51,158
"City of Norton Shores, Precinct 2",1215914001002,3,160,67,225
"City of Muskegon, Precinct 6",1215632003006,2,23,13,24
"City of Muskegon Heights, Precinct 2",1215636000002,0,1,3,4
"White River Township, Precinct 1",1218698000001,3,46,33,116
"Casnovia Township, Precinct 1",1211384000001,6,223,48,226
"Moorland Township, Precinct 1",1215544000001,4,92,35,102
"Muskegon Charter Township, Precinct 4",1215634000004,3,109,31,106
"Whitehall Township, Precinct 1",1218680000001,4,66,42,108
"City of Muskegon, Precinct 4",1215632002004,2,29,24,82
"City of North Muskegon, Precinct 1",1215864000001,7,172,67,265
