name,id,Aric Nesbitt,Perry Johnson,Mike Cox,John James
"Fruitport Charter Township, Precinct 2",1213102000002,1,75,15,89
"City of Norton Shores, Precinct 5",1215914002005,0,48,14,59
"Laketon Township, Precinct 1",1214516000001,0,93,28,188
"City of Muskegon, Precinct 5",1215632003005,0,5,2,15
"City of Muskegon Heights, Precinct 4",1215636000004,0,5,3,6
"Holton Township, Precinct 1",1213882000001,6,104,38,124
"Fruitport Charter Township, Precinct 3",1213102000003,7,75,30,124
"Fruitport Charter Township, Precinct 5",1213102000005,6,75,13,101
"City of Muskegon, Precinct 7",1215632003007,0,18,6,35
"Egelston Township, Precinct 3",1212508000003,3,61,31,80
"City of Roosevelt Park, Precinct 1",1216952000001,2,57,16,71
"City of Muskegon, Precinct 9",1215632004009,4,61,12,77
"Laketon Township, Precinct 2",1214516000002,3,63,27,109
"City of Muskegon Heights, Precinct 3",1215636000003,1,11,5,16
"Dalton Township, Precinct 3",1211966000003,3,75,15,116
"City of Muskegon, Precinct 1",1215632001001,1,15,13,40
"City of Muskegon Heights, Precinct 1",1215636000001,0,5,0,4
"Muskegon Charter Township, Precinct 2",1215634000002,4,97,23,137
"Cedar Creek Township, Precinct 1",1211410000001,2,75,17,97
"Montague Township, Precinct 1",1215512000001,3,79,12,83
"Ravenna Township, Precinct 1",1216730000001,3,96,21,106
"Muskegon Charter Township, Precinct 3",1215634000003,5,55,13,79
"City of Muskegon, Precinct 8",1215632004008,0,14,3,28
"Fruitport Charter Township, Precinct 4",1213102000004,0,79,21,97
"City of Norton Shores, Precinct 4",1215914002004,4,78,27,151
"City of Muskegon, Precinct 2",1215632001002,2,13,3,26
"Fruitland Township, Precinct 1",1213098000001,4,59,23,113
"Muskegon Charter Township, Precinct 1",1215634000001,5,36,11,58
"City of Norton Shores, Precinct 6",1215914002006,2,102,22,157
"Fruitland Township, Precinct 2",1213098000002,2,56,11,59
"City of Norton Shores, Precinct 3",1215914001003,0,16,8,32
"Dalton Township, Precinct 1",1211966000001,2,68,16,85
"Egelston Township, Precinct 1",1212508000001,8,130,34,122
"City of Norton Shores, Precinct 1",1215914001001,1,82,32,142
"City of Muskegon, Precinct 3",1215632002003,0,4,2,11
"Blue Lake Township, Precinct 1",1210934000001,4,119,54,172
"City of Montague, Precinct 1",1215510000001,0,41,16,112
"City of Whitehall, Precinct 1",1218678000001,3,62,24,89
"Dalton Township, Precinct 2",1211966000002,1,28,12,68
"Sullivan Township, Precinct 1",1217710000001,4,83,9,97
"Fruitport Charter Township, Precinct 1",1213102000001,4,113,26,140
"Egelston Township, Precinct 2",1212508000002,21,106,51,158
"City of Norton Shores, Precinct 2",1215914001002,1,50,12,103
"City of Muskegon, Precinct 6",1215632003006,0,9,10,13
"City of Muskegon Heights, Precinct 2",1215636000002,0,1,3,4
"White River Township, Precinct 1",1218698000001,3,46,33,116
"Casnovia Township, Precinct 1",1211384000001,2,111,25,128
"Moorland Township, Precinct 1",1215544000001,4,88,35,102
"Muskegon Charter Township, Precinct 4",1215634000004,3,59,16,72
"Whitehall Township, Precinct 1",1218680000001,4,66,41,107
"City of Muskegon, Precinct 4",1215632002004,0,6,7,31
"City of North Muskegon, Precinct 1",1215864000001,1,38,11,68
