name,id,Ben Ambrose,Clyde Welford,Jamie Hill
"Fruitland Township, Precinct 2",1213098000002,34,11,29
"Montague Township, Precinct 1",1215512000001,83,23,62
"Whitehall Township, Precinct 1",1218680000001,86,25,98
"White River Township, Precinct 1",1218698000001,139,23,81
"Laketon Township, Precinct 2",1214516000002,70,14,77
"Dalton Township, Precinct 1",1211966000001,25,11,55
"Casnovia Township, Precinct 1",1211384000001,44,8,26
"Egelston Township, Precinct 3",1212508000003,129,41,92
"Dalton Township, Precinct 2",1211966000002,39,6,45
"Muskegon Charter Township, Precinct 2",1215634000002,86,23,119
"Cedar Creek Township, Precinct 1",1211410000001,37,19,46
"Blue Lake Township, Precinct 1",1210934000001,131,27,110
"Egelston Township, Precinct 2",1212508000002,113,34,175
"City of Whitehall, Precinct 1",1218678000001,78,24,77
"Fruitland Township, Precinct 1",1213098000001,65,14,60
"Moorland Township, Precinct 1",1215544000001,57,9,43
"Holton Township, Precinct 1",1213882000001,93,30,68
"City of North Muskegon, Precinct 1",1215864000001,85,16,77
"City of Montague, Precinct 1",1215510000001,56,16,66
"Dalton Township, Precinct 3",1211966000003,72,15,54
"Laketon Township, Precinct 1",1214516000001,103,34,89
"Egelston Township, Precinct 1",1212508000001,167,36,144
"Muskegon Charter Township, Precinct 4",1215634000004,52,22,62
