name,id,Write-in,Jocelyn Benson,Christopher Robert Swanson
"Laketon Township, Precinct 2",1214516000002,0,147,29
"City of Norton Shores, Precinct 3",1215914001003,0,55,12
"Egelston Township, Precinct 3",1212508000003,0,248,37
"Fruitport Charter Township, Precinct 2",1213102000002,0,90,29
"Dalton Township, Precinct 3",1211966000003,0,119,41
"Egelston Township, Precinct 2",1212508000002,0,313,50
"Casnovia Township, Precinct 1",1211384000001,0,58,23
"City of Muskegon, Precinct 1",1215632001001,0,187,25
"City of Roosevelt Park, Precinct 1",1216952000001,0,260,37
"City of Montague, Precinct 1",1215510000001,0,128,28
"City of Muskegon, Precinct 8",1215632004008,0,111,11
"City of Norton Shores, Precinct 6",1215914002006,0,234,40
"Muskegon Charter Township, Precinct 1",1215634000001,0,134,46
"Muskegon Charter Township, Precinct 4",1215634000004,0,126,30
"Blue Lake Township, Precinct 1",1210934000001,0,267,28
"City of Muskegon Heights, Precinct 4",1215636000004,0,266,19
"Dalton Township, Precinct 2",1211966000002,0,78,19
"Ravenna Township, Precinct 1",1216730000001,0,55,17
"Moorland Township, Precinct 1",1215544000001,0,99,19
"Muskegon Charter Township, Precinct 2",1215634000002,0,223,39
"Laketon Township, Precinct 1",1214516000001,0,222,40
"Sullivan Township, Precinct 1",1217710000001,0,68,27
"City of North Muskegon, Precinct 1",1215864000001,0,147,51
"City of Muskegon, Precinct 2",1215632001002,0,165,31
"Muskegon Charter Township, Precinct 3",1215634000003,0,118,30
"City of Muskegon, Precinct 7",1215632003007,0,153,23
"City of Muskegon, Precinct 6",1215632003006,0,114,24
"Fruitport Charter Township, Precinct 5",1213102000005,0,101,34
"City of Norton Shores, Precinct 2",1215914001002,0,168,26
"City of Muskegon, Precinct 3",1215632002003,0,117,19
"City of Muskegon, Precinct 4",1215632002004,0,183,29
"Fruitland Township, Precinct 1",1213098000001,0,133,24
"City of Muskegon Heights, Precinct 1",1215636000001,0,224,24
"Fruitport Charter Township, Precinct 4",1213102000004,0,112,42
"Holton Township, Precinct 1",1213882000001,0,193,26
"Dalton Township, Precinct 1",1211966000001,0,75,18
"City of Muskegon, Precinct 9",1215632004009,0,248,48
"City of Muskegon Heights, Precinct 2",1215636000002,0,203,8
"City of Norton Shores, Precinct 4",1215914002004,0,169,40
"City of Whitehall, Precinct 1",1218678000001,0,171,27
"Cedar Creek Township, Precinct 1",1211410000001,0,88,25
"Fruitport Charter Township, Precinct 3",1213102000003,0,96,39
"City of Norton Shores, Precinct 1",1215914001001,0,337,61
"Whitehall Township, Precinct 1",1218680000001,0,220,27
"City of Muskegon Heights, Precinct 3",1215636000003,0,157,19
"White River Township, Precinct 1",1218698000001,0,234,29
"City of Norton Shores, Precinct 5",1215914002005,0,89,28
"Fruitport Charter Township, Precinct 1",1213102000001,0,87,19
"Montague Township, Precinct 1",1215512000001,0,171,18
"City of Muskegon, Precinct 5",1215632003005,0,67,4
"Egelston Township, Precinct 1",1212508000001,0,323,44
"Fruitland Township, Precinct 2",1213098000002,0,64,18
