id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
393464000001,"City of Grayling, Precinct 1",86,17,55,1
390660000001,"Beaver Creek Township, Precinct 1",63,19,99,0
393466000305,"Grayling Charter Township, Precinct 305",86,15,103,0
393466000306,"Grayling Charter Township, Precinct 306",81,8,113,0
393048000001,"Frederic Township, Precinct 1",58,7,91,0
397476000001,"South Branch Township, Precinct 1",83,9,142,0
395094000501,"Maple Forest Township, Precinct 1",21,3,37,0
394952000001,"Lovells Township, Precinct 1",25,6,52,0
393466000304,"Grayling Charter Township, Precinct 304",118,17,156,0
