id,name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
890844000001,"Bingham Township, Precinct 1",12,11,1,0
891434000001,"Centerville Township, Precinct 1",5,8,0,0
891640000001,"Cleveland Township, Precinct 1",6,7,0,0
892570000001,"Elmwood Township, Precinct 1",6,17,0,0
892570000002,"Elmwood Township, Precinct 2",3,4,0,0
892600000001,"Empire Township, Precinct 1",5,7,0,0
893238000001,"Glen Arbor Township, Precinct 1",6,1,0,0
894232000001,"Kasson Township, Precinct 1",4,3,0,0
894670000001,"Leelanau Township, Precinct 1",7,15,1,0
894682000001,"Leland Township, Precinct 1",16,12,2,0
897450000001,"Solon Township, Precinct 1",3,6,0,0
897762000001,"Suttons Bay Township, Precinct 1",18,17,0,0
898034000004,"City of Traverse City, Precinct 4",5,7,0,0
