id,name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
890844000001,"Bingham Township, Precinct 1",235,28,25,0
891434000001,"Centerville Township, Precinct 1",71,7,16,0
891640000001,"Cleveland Township, Precinct 1",0,0,0,0
892570000001,"Elmwood Township, Precinct 1",172,34,24,0
892570000002,"Elmwood Township, Precinct 2",123,20,19,2
892600000001,"Empire Township, Precinct 1",0,0,0,0
893238000001,"Glen Arbor Township, Precinct 1",85,8,12,0
894232000001,"Kasson Township, Precinct 1",0,0,0,0
894670000001,"Leelanau Township, Precinct 1",102,19,21,0
894682000001,"Leland Township, Precinct 1",148,23,28,0
897450000001,"Solon Township, Precinct 1",75,6,7,0
897762000001,"Suttons Bay Township, Precinct 1",187,29,29,1
898034000004,"City of Traverse City, Precinct 4",0,0,0,0
