id,name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
890844000001,"Bingham Township, Precinct 1",398,54,51,0
891434000001,"Centerville Township, Precinct 1",145,20,21,0
891640000001,"Cleveland Township, Precinct 1",119,15,23,1
892570000001,"Elmwood Township, Precinct 1",308,63,43,0
892570000002,"Elmwood Township, Precinct 2",211,35,34,2
892600000001,"Empire Township, Precinct 1",141,12,46,1
893238000001,"Glen Arbor Township, Precinct 1",126,14,30,0
894232000001,"Kasson Township, Precinct 1",142,29,44,0
894670000001,"Leelanau Township, Precinct 1",223,37,40,0
894682000001,"Leland Township, Precinct 1",282,35,50,0
897450000001,"Solon Township, Precinct 1",209,27,30,0
897762000001,"Suttons Bay Township, Precinct 1",336,50,53,1
898034000004,"City of Traverse City, Precinct 4",59,9,1,0
