id,name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
890844000001,"Bingham Township, Precinct 1",377,188,23,0
891434000001,"Centerville Township, Precinct 1",176,115,12,0
891640000001,"Cleveland Township, Precinct 1",185,117,16,2
892570000001,"Elmwood Township, Precinct 1",451,295,29,0
892570000002,"Elmwood Township, Precinct 2",270,153,24,0
892600000001,"Empire Township, Precinct 1",293,190,18,0
893238000001,"Glen Arbor Township, Precinct 1",233,75,8,0
894232000001,"Kasson Township, Precinct 1",198,141,15,0
894670000001,"Leelanau Township, Precinct 1",423,310,20,1
894682000001,"Leland Township, Precinct 1",415,141,20,0
897450000001,"Solon Township, Precinct 1",180,141,13,0
897762000001,"Suttons Bay Township, Precinct 1",383,248,31,0
898034000004,"City of Traverse City, Precinct 4",83,56,8,0
