id,name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
890844000001,"Bingham Township, Precinct 1",149,26,21,0
891434000001,"Centerville Township, Precinct 1",70,13,5,0
891640000001,"Cleveland Township, Precinct 1",115,14,23,1
892570000001,"Elmwood Township, Precinct 1",132,28,16,0
892570000002,"Elmwood Township, Precinct 2",83,14,15,0
892600000001,"Empire Township, Precinct 1",141,12,46,1
893238000001,"Glen Arbor Township, Precinct 1",39,6,16,0
894232000001,"Kasson Township, Precinct 1",141,29,44,0
894670000001,"Leelanau Township, Precinct 1",112,17,18,0
894682000001,"Leland Township, Precinct 1",121,11,20,0
897450000001,"Solon Township, Precinct 1",123,19,19,0
897762000001,"Suttons Bay Township, Precinct 1",130,16,22,0
898034000004,"City of Traverse City, Precinct 4",57,9,1,0
