id,name,board,Mike Cox,John James,Perry Johnson,Aric Nesbitt,registered,ballots,over_votes,under_votes,total,turnout,Write-in
50126000001,"City of Allegan, Precinct 1",,42,170,130,25,4225,1027,0,0,367,24.31,3
52274000001,"City of the Village of Douglas, Precinct 1",,11,66,35,6,1421,676,0,0,118,47.57,0
52774000001,"City of Fennville, Precinct 1",,9,34,28,5,1172,205,0,0,76,17.49,0
56162000001,"City of Otsego, Precinct 1",,54,158,109,35,3262,926,0,0,356,28.39,6
56474000001,"City of Plainwell, Precinct 1",,36,142,83,19,2900,864,0,0,280,29.79,0
57170000001,"City of Saugatuck, Precinct 1",,8,61,32,6,827,411,0,0,107,49.7,0
58488000001,"City of Wayland, Precinct 1",,28,187,136,16,3624,848,0,0,367,23.4,0
50128000001,"Allegan Township, Precinct 1",,76,284,218,76,4204,1304,0,0,654,31.02,0
51370000001,"Casco Township, Precinct 1",,39,217,131,46,2696,962,0,0,433,35.68,0
51520000001,"Cheshire Township, Precinct 1",,33,161,139,32,1934,588,0,0,365,30.4,3
51672000001,"Clyde Township, Precinct 1",,18,69,76,16,1693,386,0,0,179,22.8,0
52268000001,"Dorr Township, Precinct 1",,44,189,193,29,1772,674,0,0,455,38.04,1
52268000002,"Dorr Township, Precinct 2",,48,228,233,32,2584,829,0,0,541,32.08,1
52268000003,"Dorr Township, Precinct 3",,19,169,169,18,2034,611,0,0,375,30.04,0
52812000001,"Fillmore Township, Precinct 1",,42,383,236,24,2548,940,0,0,685,36.89,1
53136000001,"Ganges Township, Precinct 1",,33,191,98,20,2361,862,0,0,342,36.51,2
53572000001,"Gun Plain Township, Precinct 1",,79,375,229,38,5229,1699,0,0,721,32.49,0
53746000001,"Heath Township, Precinct 1",,49,306,246,35,2852,922,0,0,636,32.33,1
53746000002,"Heath Township, Precinct 2",,9,61,32,9,544,179,0,0,111,32.9,1
53920000001,"Hopkins Township, Precinct 1",,55,204,177,43,2151,745,0,0,479,34.64,0
54518000001,"Laketown Township, Precinct 1",,28,228,118,12,1927,890,0,0,386,46.19,1
54518000002,"Laketown Township, Precinct 2",,70,368,239,17,2641,1164,0,0,694,44.07,0
54518000003,"Laketown Township, Precinct 3",,16,92,53,12,980,412,0,0,173,42.04,0
54660000001,"Lee Township, Precinct 1",,16,103,69,18,3045,446,0,0,206,14.65,2
54676000001,"Leighton Township, Precinct 1",,24,164,137,8,1925,465,0,0,333,24.16,2
54676000002,"Leighton Township, Precinct 2",,24,231,129,13,2186,671,0,0,397,30.7,1
54676000003,"Leighton Township, Precinct 3",,42,168,147,14,1809,555,0,0,371,30.68,0
55084000001,"Manlius Township, Precinct 1",,35,301,195,22,2866,920,0,0,553,32.1,0
55200000001,"Martin Township, Precinct 1",,42,197,117,25,2252,603,0,0,381,26.78,1
55520000001,"Monterey Township, Precinct 1",,29,206,165,20,2078,609,0,0,420,29.31,3
56164000001,"Otsego Township, Precinct 1",,48,205,159,37,2520,932,0,0,449,36.98,0
56164000002,"Otsego Township, Precinct 2",,37,160,87,28,2582,706,0,0,312,27.34,2
56182000001,"Overisel Township, Precinct 1",,58,405,249,32,2518,922,0,0,744,36.62,0
57110000001,"Salem Township, Precinct 1",,32,222,204,24,2154,650,0,0,482,30.18,0
57110000002,"Salem Township, Precinct 2",,31,218,192,33,2213,722,0,0,474,32.63,0
57172000001,"Saugatuck Township, Precinct 1",,50,227,133,26,3343,1564,0,0,436,46.78,1
58062000001,"Trowbridge Township, Precinct 1",,25,176,116,24,2287,640,0,0,341,27.98,0
58158000001,"Valley Township, Precinct 1",,18,176,133,17,2020,568,0,0,344,28.12,0
58458000001,"Watson Township, Precinct 1",,6,120,100,5,1949,342,0,0,231,17.55,0
58490000001,"Wayland Township, Precinct 1",,51,266,241,22,3090,947,0,0,580,30.65,1
1597498003002,"South Haven City, Ward 3, Precinct 2",,0,0,0,1,10,6,0,0,1,60.0,0
53864004007,"Holland City, Ward 4, Precinct 7",,30,158,77,11,1662,610,0,0,276,36.7,0
53864005008,"Holland City, Ward 5, Precinct 8",,32,160,101,15,1737,627,0,0,308,36.1,0
53864005009,"Holland City, Ward 5, Precinct 9",,44,196,132,17,3051,871,0,0,389,28.55,0
