id,name,board,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,registered,ballots,over_votes,under_votes,total,turnout,Write-in
50126000001,"City of Allegan, Precinct 1",,346,26,233,4225,1027,0,0,605,24.31,0
52274000001,"City of the Village of Douglas, Precinct 1",,268,29,243,1421,676,0,0,540,47.57,0
52774000001,"City of Fennville, Precinct 1",,77,3,45,1172,205,0,0,125,17.49,0
56162000001,"City of Otsego, Precinct 1",,264,23,233,3262,926,0,0,520,28.39,0
56474000001,"City of Plainwell, Precinct 1",,262,32,244,2900,864,0,0,538,29.79,0
57170000001,"City of Saugatuck, Precinct 1",,135,9,153,827,411,0,0,297,49.7,0
58488000001,"City of Wayland, Precinct 1",,261,18,180,3624,848,0,0,459,23.4,0
50128000001,"Allegan Township, Precinct 1",,254,23,331,4204,1304,0,0,608,31.02,1
51370000001,"Casco Township, Precinct 1",,183,26,294,2696,962,0,0,503,35.68,0
51520000001,"Cheshire Township, Precinct 1",,81,9,94,1934,588,0,0,184,30.4,1
51672000001,"Clyde Township, Precinct 1",,101,4,90,1693,386,0,0,195,22.8,0
52268000001,"Dorr Township, Precinct 1",,80,4,108,1772,674,0,0,192,38.04,0
52268000002,"Dorr Township, Precinct 2",,147,10,112,2584,829,0,0,269,32.08,0
52268000003,"Dorr Township, Precinct 3",,121,5,92,2034,611,0,0,218,30.04,0
52812000001,"Fillmore Township, Precinct 1",,121,5,114,2548,940,0,0,240,36.89,1
53136000001,"Ganges Township, Precinct 1",,229,15,253,2361,862,0,0,497,36.51,0
53572000001,"Gun Plain Township, Precinct 1",,460,38,427,5229,1699,0,0,925,32.49,1
53746000001,"Heath Township, Precinct 1",,132,17,114,2852,922,0,0,263,32.33,0
53746000002,"Heath Township, Precinct 2",,22,1,35,544,179,0,0,58,32.9,0
53920000001,"Hopkins Township, Precinct 1",,105,7,116,2151,745,0,0,228,34.64,0
54518000001,"Laketown Township, Precinct 1",,245,18,208,1927,890,0,0,471,46.19,0
54518000002,"Laketown Township, Precinct 2",,178,19,221,2641,1164,0,0,418,44.07,0
54518000003,"Laketown Township, Precinct 3",,125,8,98,980,412,0,0,231,42.04,0
54660000001,"Lee Township, Precinct 1",,109,8,106,3045,446,0,0,223,14.65,0
54676000001,"Leighton Township, Precinct 1",,66,2,50,1925,465,0,0,118,24.16,1
54676000002,"Leighton Township, Precinct 2",,135,10,107,2186,671,0,0,252,30.7,0
54676000003,"Leighton Township, Precinct 3",,85,4,80,1809,555,0,0,169,30.68,0
55084000001,"Manlius Township, Precinct 1",,176,6,149,2866,920,0,0,331,32.1,0
55200000001,"Martin Township, Precinct 1",,86,7,101,2252,603,0,0,194,26.78,0
55520000001,"Monterey Township, Precinct 1",,76,2,95,2078,609,0,0,173,29.31,0
56164000001,"Otsego Township, Precinct 1",,184,17,209,2520,932,0,0,410,36.98,1
56164000002,"Otsego Township, Precinct 2",,147,14,184,2582,706,0,0,345,27.34,0
56182000001,"Overisel Township, Precinct 1",,81,4,65,2518,922,0,0,150,36.62,0
57110000001,"Salem Township, Precinct 1",,80,4,67,2154,650,0,0,151,30.18,0
57110000002,"Salem Township, Precinct 2",,85,6,133,2213,722,0,0,224,32.63,0
57172000001,"Saugatuck Township, Precinct 1",,550,34,498,3343,1564,0,0,1082,46.78,0
58062000001,"Trowbridge Township, Precinct 1",,114,13,139,2287,640,0,0,266,27.98,0
58158000001,"Valley Township, Precinct 1",,99,10,107,2020,568,0,0,216,28.12,0
58458000001,"Watson Township, Precinct 1",,52,5,47,1949,342,0,0,104,17.55,0
58490000001,"Wayland Township, Precinct 1",,127,25,183,3090,947,0,0,335,30.65,0
1597498003002,"South Haven City, Ward 3, Precinct 2",,3,0,3,10,6,0,0,6,60.0,0
53864004007,"Holland City, Ward 4, Precinct 7",,161,14,123,1662,610,0,0,298,36.7,0
53864005008,"Holland City, Ward 5, Precinct 8",,154,13,124,1737,627,0,0,291,36.1,0
53864005009,"Holland City, Ward 5, Precinct 9",,285,11,145,3051,871,0,0,441,28.55,0
