id,name,board,Mike Rogers,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
153712000001,"City of Hastings, Ward 1, Precinct 1",,209,2,1533,492,0,0,209,32.09
153712000002,"City of Hastings, Ward 2, Precinct 2",,153,0,1715,359,0,0,153,20.93
153712000003,"City of Hastings, Ward 3, Precinct 3",,142,0,1485,334,0,0,142,22.49
153712000004,"City of Hastings, Ward 4, Precinct 4",,195,0,1576,502,0,0,195,31.85
150386000001,"Assyria Township, Precinct 1",,273,0,1836,448,0,0,273,24.4
150502000001,"Baltimore Township, Precinct 1",,279,1,1619,438,0,0,279,27.05
150556000001,"Barry Township, Precinct 1",,415,1,2885,871,0,0,415,30.19
151334000001,"Carlton Township, Precinct 1",,409,2,2070,750,0,0,409,36.23
151396000001,"Castleton Township, Precinct 1",,383,1,2857,659,0,0,383,23.07
153714000001,"Hastings Charter Township, Precinct 1",,466,2,2635,820,0,0,466,31.12
153912000001,"Hope Township, Precinct 1",,427,2,2912,887,0,0,427,30.46
154112000001,"Irving Township, Precinct 1",,576,0,3227,1064,0,0,576,32.97
154186000001,"Johnstown Township, Precinct 1",,486,0,2540,857,0,0,486,33.74
155096000001,"Maple Grove Township, Precinct 1",,230,0,1230,378,0,0,230,30.73
156098000001,"Orangeville Township, Precinct 1",,498,1,2960,908,0,0,498,30.68
156626000001,"Prairieville Township, Precinct 1",,435,3,2831,958,0,0,435,33.84
157042000001,"Rutland Charter Township, Precinct 1",,214,1,1559,457,0,0,214,29.31
157042000002,"Rutland Charter Township, Precinct 2",,289,2,2028,625,0,0,289,30.82
157962000001,"Thornapple Township, Precinct 1",,437,1,2563,767,0,0,437,29.93
157962000002,"Thornapple Township, Precinct 2",,396,0,2523,732,0,0,396,29.01
157962000003,"Thornapple Township, Precinct 3",,262,1,2698,594,0,0,262,22.02
158844000001,"Woodland Township, Precinct 1",,311,4,1743,597,0,0,311,34.25
158902000001,"Yankee Springs Township, Precinct 1",,469,2,2730,873,0,0,469,31.98
158902000002,"Yankee Springs Township, Precinct 2",,362,0,1834,687,0,0,362,37.46
