id,name,board,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
153712000001,"City of Hastings, Ward 1, Precinct 1",,103,17,143,0,1533,492,0,0,263,32.09
153712000002,"City of Hastings, Ward 2, Precinct 2",,113,4,79,0,1715,359,0,0,196,20.93
153712000003,"City of Hastings, Ward 3, Precinct 3",,109,6,66,0,1485,334,0,0,181,22.49
153712000004,"City of Hastings, Ward 4, Precinct 4",,144,13,131,0,1576,502,0,0,288,31.85
150386000001,"Assyria Township, Precinct 1",,68,8,81,0,1836,448,0,0,157,24.4
150502000001,"Baltimore Township, Precinct 1",,44,9,83,0,1619,438,0,0,136,27.05
150556000001,"Barry Township, Precinct 1",,187,26,202,0,2885,871,0,0,415,30.19
151334000001,"Carlton Township, Precinct 1",,108,15,156,0,2070,750,0,0,279,36.23
151396000001,"Castleton Township, Precinct 1",,92,8,134,0,2857,659,0,0,234,23.07
153714000001,"Hastings Charter Township, Precinct 1",,129,13,169,0,2635,820,0,0,311,31.12
153912000001,"Hope Township, Precinct 1",,152,29,213,0,2912,887,0,0,394,30.46
154112000001,"Irving Township, Precinct 1",,225,11,185,0,3227,1064,0,0,421,32.97
154186000001,"Johnstown Township, Precinct 1",,124,18,186,0,2540,857,0,0,328,33.74
155096000001,"Maple Grove Township, Precinct 1",,53,6,69,0,1230,378,0,0,128,30.73
156098000001,"Orangeville Township, Precinct 1",,168,12,190,2,2960,908,0,0,370,30.68
156626000001,"Prairieville Township, Precinct 1",,194,34,263,1,2831,958,0,0,491,33.84
157042000001,"Rutland Charter Township, Precinct 1",,86,22,116,0,1559,457,0,0,224,29.31
157042000002,"Rutland Charter Township, Precinct 2",,129,7,173,0,2028,625,0,0,309,30.82
157962000001,"Thornapple Township, Precinct 1",,147,8,139,0,2563,767,0,0,294,29.93
157962000002,"Thornapple Township, Precinct 2",,152,5,147,0,2523,732,0,0,304,29.01
157962000003,"Thornapple Township, Precinct 3",,206,5,109,0,2698,594,0,0,320,22.02
158844000001,"Woodland Township, Precinct 1",,90,10,135,0,1743,597,0,0,235,34.25
158902000001,"Yankee Springs Township, Precinct 1",,178,16,177,0,2730,873,0,0,371,31.98
158902000002,"Yankee Springs Township, Precinct 2",,122,13,162,0,1834,687,0,0,297,37.46
