id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
910044000001,"City of Adrian, Precinct 1",,2475,459,0,0,348,18.55,0,171,17,160
910044000002,"City of Adrian, Precinct 2",,2713,330,0,0,231,12.16,0,130,14,87
910044000003,"City of Adrian, Precinct 3",,2844,370,0,0,239,13.01,0,136,8,95
910044000004,"City of Adrian, Precinct 4",,2583,668,0,0,426,25.86,0,217,15,194
910044000005,"City of Adrian, Precinct 5",,1993,408,0,0,235,20.47,0,148,6,81
910044000006,"City of Adrian, Precinct 6",,2458,509,0,0,326,20.71,0,176,11,139
913972000001,"City of Hudson, Precinct 1",,1672,317,0,0,140,18.96,0,79,17,44
915550000001,"City of Morenci, Precinct 1",,1982,327,0,0,133,16.5,0,83,9,41
917912001001,"City of Tecumseh, Precinct 1",,3927,1272,0,0,795,32.39,0,416,24,355
917912001002,"City of Tecumseh, Precinct 2",,3667,1224,0,0,712,33.38,0,384,39,289
910046000001,"Adrian Township, Precinct 1",,2859,923,0,0,430,32.28,0,194,28,208
910046000002,"Adrian Township, Precinct 2",,2904,706,0,0,364,24.31,0,156,4,204
910902000001,"Blissfield Township, Precinct 1",,548,155,0,0,54,28.28,0,25,7,22
910902000002,"Blissfield Township, Precinct 2",,2807,781,0,0,351,27.82,0,174,28,149
911272000001,"Cambridge Township, Precinct 1",,1951,587,0,0,231,30.09,1,82,23,126
911272000002,"Cambridge Township, Precinct 2",,1776,600,0,0,280,33.78,0,115,32,133
911272000003,"Cambridge Township, Precinct 3",,1462,487,0,0,247,33.31,0,118,15,114
911650000001,"Clinton Township, Precinct 1",,3139,971,0,0,521,30.93,0,279,21,221
912120000001,"Deerfield Township, Precinct 1",,1273,325,0,0,117,25.53,0,69,5,43
912282000001,"Dover Township, Precinct 1",,1421,274,0,0,91,19.28,0,38,11,42
912702000001,"Fairfield Township, Precinct 1",,1394,279,0,0,107,20.01,0,51,10,46
913032000001,"Franklin Township, Precinct 1",,2715,833,0,0,366,30.68,0,187,14,165
913974000001,"Hudson Township, Precinct 1",,1294,320,0,0,113,24.73,0,45,14,54
915052000001,"Macon Township, Precinct 1",,1125,370,0,0,138,32.89,0,68,6,64
915054000001,"Madison Charter Township, Precinct 1",,2460,391,0,0,201,15.89,0,106,18,77
915054000002,"Madison Charter Township, Precinct 2",,1687,460,0,0,160,27.27,0,66,18,76
915054000003,"Madison Charter Township, Precinct 3",,1484,417,0,0,188,28.1,0,95,7,86
915282000001,"Medina Township, Precinct 1",,912,192,0,0,63,21.05,0,35,3,25
916026000001,"Ogden Township, Precinct 1",,847,186,0,0,65,21.96,0,31,2,32
916224000001,"Palmyra Township, Precinct 1",,1766,424,0,0,137,24.01,0,62,7,68
916684000001,"Raisin Charter Township, Precinct 1",,2664,696,0,0,323,26.13,0,183,19,121
916684000002,"Raisin Charter Township, Precinct 2",,2035,562,0,0,280,27.62,0,154,4,122
916684000003,"Raisin Charter Township, Precinct 3",,2225,563,0,0,309,25.3,0,159,10,140
916854000001,"Ridgeway Township, Precinct 1",,1237,344,0,0,118,27.81,0,65,5,48
916858000001,"Riga Township, Precinct 1",,1157,304,0,0,104,26.27,1,46,11,47
916934000001,"Rollin Township, Precinct 1",,2925,825,0,0,322,28.21,0,118,39,165
916936000001,"Rome Township, Precinct 1",,1607,362,0,0,111,22.53,0,60,6,45
917244000001,"Seneca Township, Precinct 1",,921,168,0,0,58,18.24,0,24,8,26
917914000001,"Tecumseh Township, Precinct 1",,1811,499,0,0,271,27.55,1,149,12,110
918864000001,"Woodstock Township, Precinct 1",,3311,869,0,0,351,26.25,0,170,35,146
