id,name,board,Callie Barr,Kyle Blomquist,Wayne Stiles,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
613630000001,"City of Hancock, Ward 1, Precinct 1",,95,117,9,0,1015,316,0,0,221,31.13
613630000002,"City of Hancock, Ward 2, Precinct 2",,86,142,2,1,1245,365,0,0,230,29.32
613630000003,"City of Hancock, Ward 3, Precinct 3",,89,89,9,1,1109,332,0,0,187,29.94
613936000001,"City of Houghton, Precinct 1",,71,57,4,0,628,231,0,0,132,36.78
613936000002,"City of Houghton, Precinct 2",,212,299,28,3,2615,712,0,0,539,27.23
610032000001,"Adams Township, Precinct 1",,171,87,8,1,2057,467,0,0,266,22.7
611260000001,"Calumet Charter Township, Precinct 1",,154,97,12,0,1727,543,0,0,263,31.44
611260000002,"Calumet Charter Township, Precinct 2",,81,57,5,0,1388,358,0,0,143,25.79
611260000005,"Calumet Charter Township, Precinct 5",,36,41,7,0,531,150,0,0,84,28.25
611260000009,"Calumet Charter Township, Precinct 9",,118,92,7,0,1636,470,0,0,217,28.73
611492000001,"Chassell Charter Township, Precinct 1",,111,95,14,0,1723,542,0,0,220,31.46
612334000001,"Duncan Township, Precinct 1",,9,1,0,0,108,41,0,0,10,37.96
612334000002,"Duncan Township, Precinct 2",,11,0,0,0,86,35,0,0,11,40.7
612566000001,"Elm River Township, Precinct 1",,32,15,2,0,208,91,0,0,49,43.75
613030000001,"Franklin Township, Precinct 1",,59,37,8,0,849,214,0,0,104,25.21
613030000002,"Franklin Township, Precinct 2",,45,20,0,0,351,114,0,0,65,32.48
613632000001,"Hancock Township, Precinct 1",,52,24,1,0,463,139,0,0,77,30.02
614422000001,"Laird Township, Precinct 1",,30,13,4,0,437,156,0,0,47,35.7
616126000001,"Osceola Township, Precinct 1",,36,36,2,0,429,142,0,0,74,33.1
616126000002,"Osceola Township, Precinct 2",,42,40,7,0,788,200,0,0,89,25.38
616126000004,"Osceola Township, Precinct 4",,28,30,4,0,404,139,0,0,62,34.41
616554000002,"Portage Township, Precinct 2",,155,143,8,1,2023,574,0,0,306,28.37
616554000004,"Portage Township, Precinct 4",,43,37,4,0,687,206,0,0,84,29.99
616668000001,"Quincy Township, Precinct 1",,12,13,1,0,265,56,0,0,26,21.13
617184000001,"Schoolcraft Township, Precinct 1",,140,70,6,0,1713,448,0,0,216,26.15
617620000001,"Stanton Township, Precinct 1",,93,84,9,0,1263,338,0,0,186,26.76
617620000002,"Stanton Township, Precinct 2",,15,17,6,0,121,61,0,0,38,50.41
618012000001,"Torch Lake Township, Precinct 1",,64,58,4,0,1010,266,0,0,126,26.34
618012000002,"Torch Lake Township, Precinct 2",,74,41,11,1,728,318,0,0,126,43.68
