id,name,board,Beau Matthew LaFave,David Prestin,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
613630000001,"City of Hancock, Ward 1, Precinct 1",,58,33,0,1015,315,0,0,91,31.03
613630000002,"City of Hancock, Ward 2, Precinct 2",,55,64,0,1245,365,0,0,119,29.32
613630000003,"City of Hancock, Ward 3, Precinct 3",,67,62,0,1109,332,0,0,129,29.94
613936000001,"City of Houghton, Precinct 1",,43,41,0,628,231,0,0,84,36.78
613936000002,"City of Houghton, Precinct 2",,58,73,1,2615,712,0,0,131,27.23
610032000001,"Adams Township, Precinct 1",,91,84,0,2057,467,0,0,175,22.7
611260000001,"Calumet Charter Township, Precinct 1",,165,82,0,1727,543,0,0,247,31.44
611260000002,"Calumet Charter Township, Precinct 2",,115,74,0,1388,358,0,0,189,25.79
611260000005,"Calumet Charter Township, Precinct 5",,36,16,2,531,150,0,0,52,28.25
611260000009,"Calumet Charter Township, Precinct 9",,116,98,0,1636,470,0,0,214,28.73
611492000001,"Chassell Charter Township, Precinct 1",,170,135,1,1723,542,0,0,305,31.46
612334000001,"Duncan Township, Precinct 1",,18,13,0,108,41,0,0,31,37.96
612334000002,"Duncan Township, Precinct 2",,11,11,0,86,35,0,0,22,40.7
612566000001,"Elm River Township, Precinct 1",,17,21,0,208,91,0,0,38,43.75
613030000001,"Franklin Township, Precinct 1",,61,42,0,849,212,0,0,103,24.97
613030000002,"Franklin Township, Precinct 2",,31,16,0,351,114,0,0,47,32.48
613632000001,"Hancock Township, Precinct 1",,27,30,0,463,139,0,0,57,30.02
614422000001,"Laird Township, Precinct 1",,45,60,0,437,156,0,0,105,35.7
616126000001,"Osceola Township, Precinct 1",,37,26,0,429,142,0,0,63,33.1
616126000002,"Osceola Township, Precinct 2",,51,57,0,788,200,0,0,108,25.38
616126000004,"Osceola Township, Precinct 4",,58,11,0,404,139,0,0,69,34.41
616554000002,"Portage Township, Precinct 2",,127,116,0,2023,575,0,0,243,28.42
616554000004,"Portage Township, Precinct 4",,63,47,0,687,206,0,0,110,29.99
616668000001,"Quincy Township, Precinct 1",,19,8,0,265,56,0,0,27,21.13
617184000001,"Schoolcraft Township, Precinct 1",,147,63,0,1713,448,0,0,210,26.15
617620000001,"Stanton Township, Precinct 1",,80,60,1,1263,338,0,0,140,26.76
617620000002,"Stanton Township, Precinct 2",,13,8,0,121,61,0,0,21,50.41
618012000001,"Torch Lake Township, Precinct 1",,85,43,0,1010,266,0,0,128,26.34
618012000002,"Torch Lake Township, Precinct 2",,112,68,0,728,318,0,0,180,43.68
