id,name,board,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
613630000001,"City of Hancock, Ward 1, Precinct 1",,172,12,36,0,1015,316,0,0,220,31.13
613630000002,"City of Hancock, Ward 2, Precinct 2",,153,8,72,0,1245,365,0,0,233,29.32
613630000003,"City of Hancock, Ward 3, Precinct 3",,123,3,65,0,1109,332,0,0,191,29.94
613936000001,"City of Houghton, Precinct 1",,89,7,40,0,628,231,0,0,136,36.78
613936000002,"City of Houghton, Precinct 2",,371,24,156,0,2615,712,0,0,551,27.23
610032000001,"Adams Township, Precinct 1",,128,16,124,0,2057,467,0,0,268,22.7
611260000001,"Calumet Charter Township, Precinct 1",,137,14,118,0,1727,543,0,0,269,31.44
611260000002,"Calumet Charter Township, Precinct 2",,86,9,55,0,1388,358,0,0,150,25.79
611260000005,"Calumet Charter Township, Precinct 5",,53,7,29,0,531,150,0,0,89,28.25
611260000009,"Calumet Charter Township, Precinct 9",,133,8,86,0,1636,470,0,0,227,28.73
611492000001,"Chassell Charter Township, Precinct 1",,115,20,90,0,1723,542,0,0,225,31.46
612334000001,"Duncan Township, Precinct 1",,5,0,5,0,108,41,0,0,10,37.96
612334000002,"Duncan Township, Precinct 2",,3,2,6,0,86,35,0,0,11,40.7
612566000001,"Elm River Township, Precinct 1",,17,2,31,0,208,91,0,0,50,43.75
613030000001,"Franklin Township, Precinct 1",,52,3,49,0,849,214,0,0,104,25.21
613030000002,"Franklin Township, Precinct 2",,37,6,22,0,351,114,0,0,65,32.48
613632000001,"Hancock Township, Precinct 1",,47,1,27,0,463,139,0,0,75,30.02
614422000001,"Laird Township, Precinct 1",,24,4,21,0,437,156,0,0,49,35.7
616126000001,"Osceola Township, Precinct 1",,38,9,27,0,429,142,0,0,74,33.1
616126000002,"Osceola Township, Precinct 2",,41,5,40,0,788,200,0,0,86,25.38
616126000004,"Osceola Township, Precinct 4",,46,0,16,0,404,139,0,0,62,34.41
616554000002,"Portage Township, Precinct 2",,203,11,99,0,2023,574,0,0,313,28.37
616554000004,"Portage Township, Precinct 4",,49,7,32,0,687,206,0,0,88,29.99
616668000001,"Quincy Township, Precinct 1",,14,0,12,0,265,56,0,0,26,21.13
617184000001,"Schoolcraft Township, Precinct 1",,91,19,104,0,1713,448,0,0,214,26.15
617620000001,"Stanton Township, Precinct 1",,99,8,83,0,1263,338,0,0,190,26.76
617620000002,"Stanton Township, Precinct 2",,20,0,18,0,121,61,0,0,38,50.41
618012000001,"Torch Lake Township, Precinct 1",,78,9,39,0,1010,266,0,0,126,26.34
618012000002,"Torch Lake Township, Precinct 2",,53,12,62,1,728,318,0,0,127,43.68
