id,name,board,Mike Rogers,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
613630000001,"City of Hancock, Ward 1, Precinct 1",,81,0,1015,315,0,0,81,31.03
613630000002,"City of Hancock, Ward 2, Precinct 2",,110,0,1245,365,0,0,110,29.32
613630000003,"City of Hancock, Ward 3, Precinct 3",,124,0,1109,332,0,0,124,29.94
613936000001,"City of Houghton, Precinct 1",,81,0,628,231,0,0,81,36.78
613936000002,"City of Houghton, Precinct 2",,126,2,2615,712,0,0,126,27.23
610032000001,"Adams Township, Precinct 1",,164,1,2057,467,0,0,164,22.7
611260000001,"Calumet Charter Township, Precinct 1",,229,5,1727,543,0,0,229,31.44
611260000002,"Calumet Charter Township, Precinct 2",,179,0,1388,358,0,0,179,25.79
611260000005,"Calumet Charter Township, Precinct 5",,51,2,531,150,0,0,51,28.25
611260000009,"Calumet Charter Township, Precinct 9",,208,2,1636,470,0,0,208,28.73
611492000001,"Chassell Charter Township, Precinct 1",,291,2,1723,542,0,0,291,31.46
612334000001,"Duncan Township, Precinct 1",,29,0,108,41,0,0,29,37.96
612334000002,"Duncan Township, Precinct 2",,21,0,86,35,0,0,21,40.7
612566000001,"Elm River Township, Precinct 1",,37,0,208,91,0,0,37,43.75
613030000001,"Franklin Township, Precinct 1",,102,0,849,212,0,0,102,24.97
613030000002,"Franklin Township, Precinct 2",,43,0,351,114,0,0,43,32.48
613632000001,"Hancock Township, Precinct 1",,54,1,463,139,0,0,54,30.02
614422000001,"Laird Township, Precinct 1",,92,0,437,156,0,0,92,35.7
616126000001,"Osceola Township, Precinct 1",,57,1,429,142,0,0,57,33.1
616126000002,"Osceola Township, Precinct 2",,96,0,788,200,0,0,96,25.38
616126000004,"Osceola Township, Precinct 4",,66,0,404,139,0,0,66,34.41
616554000002,"Portage Township, Precinct 2",,228,3,2023,575,0,0,228,28.42
616554000004,"Portage Township, Precinct 4",,111,0,687,206,0,0,111,29.99
616668000001,"Quincy Township, Precinct 1",,27,0,265,56,0,0,27,21.13
617184000001,"Schoolcraft Township, Precinct 1",,201,2,1713,448,0,0,201,26.15
617620000001,"Stanton Township, Precinct 1",,132,1,1263,338,0,0,132,26.76
617620000002,"Stanton Township, Precinct 2",,15,0,121,61,0,0,15,50.41
618012000001,"Torch Lake Township, Precinct 1",,127,0,1010,266,0,0,127,26.34
618012000002,"Torch Lake Township, Precinct 2",,173,0,728,318,0,0,173,43.68
