id,name,board,Kelli J. Van Ginhoven,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
613630000001,"City of Hancock, Ward 1, Precinct 1",,199,0,1015,315,0,0,199,31.03
613630000002,"City of Hancock, Ward 2, Precinct 2",,212,2,1245,365,0,0,212,29.32
613630000003,"City of Hancock, Ward 3, Precinct 3",,169,0,1109,332,0,0,169,29.94
613936000001,"City of Houghton, Precinct 1",,119,0,628,231,0,0,119,36.78
613936000002,"City of Houghton, Precinct 2",,489,3,2615,712,0,0,489,27.23
610032000001,"Adams Township, Precinct 1",,252,0,2057,467,0,0,252,22.7
611260000001,"Calumet Charter Township, Precinct 1",,244,1,1727,543,0,0,244,31.44
611260000002,"Calumet Charter Township, Precinct 2",,131,0,1388,358,0,0,131,25.79
611260000005,"Calumet Charter Township, Precinct 5",,77,0,531,150,0,0,77,28.25
611260000009,"Calumet Charter Township, Precinct 9",,196,2,1636,470,0,0,196,28.73
611492000001,"Chassell Charter Township, Precinct 1",,208,2,1723,542,0,0,208,31.46
612334000001,"Duncan Township, Precinct 1",,9,0,108,41,0,0,9,37.96
612334000002,"Duncan Township, Precinct 2",,10,0,86,35,0,0,10,40.7
612566000001,"Elm River Township, Precinct 1",,44,1,208,91,0,0,44,43.75
613030000001,"Franklin Township, Precinct 1",,95,0,849,214,0,0,95,25.21
613030000002,"Franklin Township, Precinct 2",,56,1,351,114,0,0,56,32.48
613632000001,"Hancock Township, Precinct 1",,69,0,463,139,0,0,69,30.02
614422000001,"Laird Township, Precinct 1",,42,0,437,156,0,0,42,35.7
616126000001,"Osceola Township, Precinct 1",,69,0,429,142,0,0,69,33.1
616126000002,"Osceola Township, Precinct 2",,80,2,788,200,0,0,80,25.38
616126000004,"Osceola Township, Precinct 4",,53,0,404,139,0,0,53,34.41
616554000002,"Portage Township, Precinct 2",,269,2,2023,574,0,0,269,28.37
616554000004,"Portage Township, Precinct 4",,74,1,687,206,0,0,74,29.99
616668000001,"Quincy Township, Precinct 1",,23,0,265,56,0,0,23,21.13
617184000001,"Schoolcraft Township, Precinct 1",,195,1,1713,448,0,0,195,26.15
617620000001,"Stanton Township, Precinct 1",,167,0,1263,338,0,0,167,26.76
617620000002,"Stanton Township, Precinct 2",,30,0,121,61,0,0,30,50.41
618012000001,"Torch Lake Township, Precinct 1",,106,1,1010,266,0,0,106,26.34
618012000002,"Torch Lake Township, Precinct 2",,108,2,728,318,0,0,108,43.68
