id,name,board,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
613630000001,"City of Hancock, Ward 1, Precinct 1",,10,46,29,3,0,1015,315,0,0,88,31.03
613630000002,"City of Hancock, Ward 2, Precinct 2",,10,55,49,4,0,1245,365,0,0,118,29.32
613630000003,"City of Hancock, Ward 3, Precinct 3",,21,52,54,4,0,1109,332,0,0,131,29.94
613936000001,"City of Houghton, Precinct 1",,7,49,26,4,0,628,231,0,0,86,36.78
613936000002,"City of Houghton, Precinct 2",,8,76,47,4,0,2615,712,0,0,135,27.23
610032000001,"Adams Township, Precinct 1",,14,95,61,5,0,2057,467,0,0,175,22.7
611260000001,"Calumet Charter Township, Precinct 1",,22,114,108,3,2,1727,543,0,0,247,31.44
611260000002,"Calumet Charter Township, Precinct 2",,15,88,80,2,1,1388,358,0,0,185,25.79
611260000005,"Calumet Charter Township, Precinct 5",,12,28,12,2,1,531,150,0,0,54,28.25
611260000009,"Calumet Charter Township, Precinct 9",,22,108,78,4,0,1636,470,0,0,212,28.73
611492000001,"Chassell Charter Township, Precinct 1",,23,166,115,6,0,1723,542,0,0,310,31.46
612334000001,"Duncan Township, Precinct 1",,1,14,15,0,0,108,41,0,0,30,37.96
612334000002,"Duncan Township, Precinct 2",,4,10,9,0,0,86,35,0,0,23,40.7
612566000001,"Elm River Township, Precinct 1",,4,20,14,0,0,208,91,0,0,38,43.75
613030000001,"Franklin Township, Precinct 1",,3,50,50,2,0,849,212,0,0,105,24.97
613030000002,"Franklin Township, Precinct 2",,5,24,18,1,0,351,114,0,0,48,32.48
613632000001,"Hancock Township, Precinct 1",,4,38,17,0,0,463,139,0,0,59,30.02
614422000001,"Laird Township, Precinct 1",,4,51,43,5,0,437,156,0,0,103,35.7
616126000001,"Osceola Township, Precinct 1",,12,24,27,1,0,429,142,0,0,64,33.1
616126000002,"Osceola Township, Precinct 2",,13,42,48,3,0,788,200,0,0,106,25.38
616126000004,"Osceola Township, Precinct 4",,11,39,21,0,0,404,139,0,0,71,34.41
616554000002,"Portage Township, Precinct 2",,37,111,91,5,0,2023,574,0,0,244,28.37
616554000004,"Portage Township, Precinct 4",,12,56,42,2,1,687,206,0,0,112,29.99
616668000001,"Quincy Township, Precinct 1",,2,18,6,0,0,265,56,0,0,26,21.13
617184000001,"Schoolcraft Township, Precinct 1",,25,90,93,4,0,1713,448,0,0,212,26.15
617620000001,"Stanton Township, Precinct 1",,6,87,50,0,0,1263,338,0,0,143,26.76
617620000002,"Stanton Township, Precinct 2",,4,10,5,1,0,121,61,0,0,20,50.41
618012000001,"Torch Lake Township, Precinct 1",,23,58,46,1,0,1010,266,0,0,128,26.34
618012000002,"Torch Lake Township, Precinct 2",,24,97,58,3,0,728,318,0,0,182,43.68
