name,id,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"City of Albion, Precinct 1",250098000001,63,11,78,0
"City of Albion, Precinct 2",250098000002,48,8,63,0
"City of Albion, Precinct 3",250098000003,84,5,113,0
"City of Albion, Precinct 4",250098000004,44,8,51,0
"City of Albion, Precinct 5",250098000005,83,11,115,0
"City of Albion, Precinct 6",250098000006,68,7,54,0
"City of Battle Creek, Precinct 1",250592003001,67,5,64,0
"City of Battle Creek, Precinct 2",250592004002,189,12,100,0
"City of Battle Creek, Precinct 3",250592005003,156,14,155,0
"City of Battle Creek, Precinct 4",250592001004,220,37,220,0
"City of Battle Creek, Precinct 5",250592005005,306,48,348,0
"City of Battle Creek, Precinct 6",250592004006,213,14,246,0
"City of Battle Creek, Precinct 7",250592002007,113,10,97,0
"City of Battle Creek, Precinct 8",250592004008,244,16,243,0
"City of Battle Creek, Precinct 9",250592003009,166,13,116,1
"City of Battle Creek, Precinct 10",250592003010,312,29,241,1
"City of Battle Creek, Precinct 11",250592005011,152,24,130,1
"City of Battle Creek, Precinct 12",250592002012,181,18,266,1
"City of Battle Creek, Precinct 13",250592001013,180,18,173,3
"City of Marshall, Precinct 1",255194000001,300,31,219,0
"City of Marshall, Precinct 2",255194000002,271,31,263,1
"City of Springfield, Precinct 1",257570000001,204,32,135,1
"Albion Township, Precinct 1",250100000001,38,5,58,0
"Athens Township, Precinct 1",250390000001,75,10,109,0
"Bedford Township, Precinct 1",250672000001,125,17,129,0
"Bedford Township, Precinct 2",250672000002,117,19,139,0
"Bedford Township, Precinct 3",250672000003,166,17,250,0
"Leroy Township, Precinct 1",254706000001,188,37,271,1
"Marengo Township, Precinct 1",255152000001,70,14,111,0
"Marshall Township, Precinct 1",255196000001,154,12,221,1
"Newton Township, Precinct 1",255762000001,113,14,164,0
"Pennfield Township, Precinct 2",256344000002,235,25,238,0
"Pennfield Township, Precinct 3",256344000003,169,20,245,0
"Sheridan Township, Precinct 1",257298000001,76,7,67,0
"Tekonsha Township, Precinct 1",257918000001,42,7,69,0
"Burlington Township, Precinct 1",251182000001,54,12,76,0
"Clarence Township, Precinct 1",251596000001,67,11,91,0
"Clarendon Township, Precinct 1",251602000001,20,3,41,0
"Convis Township, Precinct 1",251788000001,50,6,70,0
"Eckford Township, Precinct 1",252470000001,38,10,71,0
"Emmett Township, Precinct 1",252593500001,88,7,81,0
"Emmett Township, Precinct 2",252593500002,161,17,138,0
"Emmett Township, Precinct 3",252593500003,134,16,106,0
"Emmett Township, Precinct 4",252593500004,183,23,228,0
"Fredonia Township, Precinct 1",253050000001,75,9,88,0
"Homer Township, Precinct 1",253894000001,79,7,70,0
"Lee Township, Precinct 1",254662000001,25,2,45,0
