id,name,Bridget Brink,William Lawrence,Matt Maasdam,Write-in
650080000001,"Alaiedon Township, Precinct 1",66,82,61,0
650080000002,"Alaiedon Township, Precinct 2",45,89,85,0
650424000001,"Aurelius Township, Precinct 1",78,108,74,1
650424000002,"Aurelius Township, Precinct 2",68,62,75,0
651164000001,"Bunker Hill Township, Precinct 1",0,0,0,0
652142000001,"Delhi Charter Township, Precinct 1",196,291,204,2
652142000002,"Delhi Charter Township, Precinct 2",186,213,190,0
652142000003,"Delhi Charter Township, Precinct 3",176,287,154,1
652142000004,"Delhi Charter Township, Precinct 4",238,320,267,1
652142000005,"Delhi Charter Township, Precinct 5",246,272,208,1
652142000006,"Delhi Charter Township, Precinct 6",84,129,89,0
652142000007,"Delhi Charter Township, Precinct 7",99,162,119,2
652412000001,"City of East Lansing, Precinct 1",195,436,95,0
652412000002,"City of East Lansing, Precinct 2",147,319,178,0
652412000003,"City of East Lansing, Precinct 3",123,216,124,0
652412000004,"City of East Lansing, Precinct 4",118,131,96,0
652412000005,"City of East Lansing, Precinct 5",60,90,35,0
652412000006,"City of East Lansing, Precinct 6",98,239,85,0
652412000007,"City of East Lansing, Precinct 7",180,269,118,0
652412000009,"City of East Lansing, Precinct 9",29,75,11,0
652412000010,"City of East Lansing, Precinct 10",0,7,0,0
652412000011,"City of East Lansing, Precinct 11",1,21,3,0
652412000012,"City of East Lansing, Precinct 12",0,0,0,0
652412000013,"City of East Lansing, Precinct 13",0,3,0,0
654064000001,"Ingham Township, Precinct 1",0,0,0,0
654600001001,"City of Lansing, Ward 1, Precinct 1",110,163,89,0
654600001002,"City of Lansing, Ward 1, Precinct 2",75,161,41,0
654600001003,"City of Lansing, Ward 1, Precinct 3",149,348,145,1
654600001005,"City of Lansing, Ward 1, Precinct 5",117,336,130,1
654600001008,"City of Lansing, Ward 1, Precinct 8",126,378,92,0
654600001009,"City of Lansing, Ward 1, Precinct 9",62,112,35,0
654600001010,"City of Lansing, Ward 1, Precinct 10",52,142,61,1
654600002012,"City of Lansing, Ward 2, Precinct 12",149,240,126,0
654600002013,"City of Lansing, Ward 2, Precinct 13",114,163,112,0
654600002014,"City of Lansing, Ward 2, Precinct 14",91,201,86,0
654600002015,"City of Lansing, Ward 2, Precinct 15",117,201,92,2
654600002017,"City of Lansing, Ward 2, Precinct 17",99,204,93,0
654600002018,"City of Lansing, Ward 2, Precinct 18",161,242,185,1
654600002020,"City of Lansing, Ward 2, Precinct 20",124,164,80,0
654600003023,"City of Lansing, Ward 3, Precinct 23",221,314,233,1
654600003025,"City of Lansing, Ward 3, Precinct 25",167,272,136,2
654600003027,"City of Lansing, Ward 3, Precinct 27",113,148,103,1
654600003028,"City of Lansing, Ward 3, Precinct 28",126,166,121,1
654600003030,"City of Lansing, Ward 3, Precinct 30",153,190,100,0
654600004032,"City of Lansing, Ward 4, Precinct 32",270,418,163,0
654600004034,"City of Lansing, Ward 4, Precinct 34",107,313,122,1
654600004035,"City of Lansing, Ward 4, Precinct 35",154,390,124,0
654600004036,"City of Lansing, Ward 4, Precinct 36",89,273,43,0
654600004037,"City of Lansing, Ward 4, Precinct 37",71,149,53,0
654600004038,"City of Lansing, Ward 4, Precinct 38",115,213,83,1
654600004039,"City of Lansing, Ward 4, Precinct 39",195,326,219,1
654602000001,"Lansing Charter Township, Precinct 1",140,224,159,1
654602000002,"Lansing Charter Township, Precinct 2",90,210,74,0
654708000001,"Leroy Township, Precinct 1",74,129,97,0
654718000001,"City of Leslie, Precinct 1",0,0,0,0
654720000001,"Leslie Township, Precinct 1",0,0,0,0
654904000001,"Locke Township, Precinct 1",0,0,0,0
655218000001,"City of Mason, Precinct 1",121,178,161,0
655218000002,"City of Mason, Precinct 2",207,250,146,0
655314000001,"Meridian Charter Township, Precinct 1",267,395,185,0
655314000002,"Meridian Charter Township, Precinct 2",231,384,222,0
655314000003,"Meridian Charter Township, Precinct 3",194,322,192,0
655314000004,"Meridian Charter Township, Precinct 4",272,363,257,0
655314000005,"Meridian Charter Township, Precinct 5",3,10,0,0
655314000006,"Meridian Charter Township, Precinct 6",78,93,65,0
655314000007,"Meridian Charter Township, Precinct 7",159,189,182,0
655314000008,"Meridian Charter Township, Precinct 8",301,459,254,0
655314000009,"Meridian Charter Township, Precinct 9",20,31,10,0
655314000010,"Meridian Charter Township, Precinct 10",156,190,138,0
655314000011,"Meridian Charter Township, Precinct 11",205,234,194,0
655314000012,"Meridian Charter Township, Precinct 12",53,109,48,0
655314000013,"Meridian Charter Township, Precinct 13",210,340,210,0
655314000014,"Meridian Charter Township, Precinct 14",218,334,279,0
656080000001,"Onondaga Township, Precinct 1",0,0,0,0
657658000001,"Stockbridge Township, Precinct 1",0,0,0,0
658222000001,"Vevay Township, Precinct 1",126,138,166,1
658652000001,"Wheatfield Township, Precinct 1",0,0,0,0
658690000001,"White Oak Township, Precinct 1",0,0,0,0
658742000001,"City of Williamston, Precinct 1",195,210,207,0
658744000001,"Williamstown Township, Precinct 1",154,135,161,0
658744000002,"Williamstown Township, Precinct 2",151,170,159,0
