id,name,Bridget Brink,William Lawrence,Matt Maasdam,Write-in
650080000001,"Alaiedon Township, Precinct 1",97,126,82,0
650080000002,"Alaiedon Township, Precinct 2",64,155,112,1
650424000001,"Aurelius Township, Precinct 1",117,183,116,2
650424000002,"Aurelius Township, Precinct 2",90,120,83,0
651164000001,"Bunker Hill Township, Precinct 1",54,78,96,1
652142000001,"Delhi Charter Township, Precinct 1",260,502,258,4
652142000002,"Delhi Charter Township, Precinct 2",249,351,230,0
652142000003,"Delhi Charter Township, Precinct 3",240,505,214,3
652142000004,"Delhi Charter Township, Precinct 4",295,512,322,1
652142000005,"Delhi Charter Township, Precinct 5",317,448,270,1
652142000006,"Delhi Charter Township, Precinct 6",109,196,105,0
652142000007,"Delhi Charter Township, Precinct 7",125,244,142,3
652412000001,"City of East Lansing, Precinct 1",337,871,172,1
652412000002,"City of East Lansing, Precinct 2",224,721,240,2
652412000003,"City of East Lansing, Precinct 3",197,437,175,1
652412000004,"City of East Lansing, Precinct 4",172,271,157,1
652412000005,"City of East Lansing, Precinct 5",80,195,56,0
652412000006,"City of East Lansing, Precinct 6",178,517,128,2
652412000007,"City of East Lansing, Precinct 7",237,494,158,0
652412000009,"City of East Lansing, Precinct 9",44,166,27,1
652412000010,"City of East Lansing, Precinct 10",2,38,1,1
652412000011,"City of East Lansing, Precinct 11",4,67,4,1
652412000012,"City of East Lansing, Precinct 12",2,5,2,0
652412000013,"City of East Lansing, Precinct 13",3,21,3,0
654064000001,"Ingham Township, Precinct 1",89,130,111,0
654600001001,"City of Lansing, Ward 1, Precinct 1",149,324,120,0
654600001002,"City of Lansing, Ward 1, Precinct 2",109,307,54,1
654600001003,"City of Lansing, Ward 1, Precinct 3",203,737,192,1
654600001005,"City of Lansing, Ward 1, Precinct 5",170,737,183,3
654600001008,"City of Lansing, Ward 1, Precinct 8",184,822,121,3
654600001009,"City of Lansing, Ward 1, Precinct 9",87,224,53,0
654600001010,"City of Lansing, Ward 1, Precinct 10",89,299,87,1
654600002012,"City of Lansing, Ward 2, Precinct 12",216,461,162,0
654600002013,"City of Lansing, Ward 2, Precinct 13",161,308,131,3
654600002014,"City of Lansing, Ward 2, Precinct 14",117,327,109,0
654600002015,"City of Lansing, Ward 2, Precinct 15",175,497,128,2
654600002017,"City of Lansing, Ward 2, Precinct 17",130,337,128,0
654600002018,"City of Lansing, Ward 2, Precinct 18",209,400,218,2
654600002020,"City of Lansing, Ward 2, Precinct 20",180,282,105,3
654600003023,"City of Lansing, Ward 3, Precinct 23",286,547,286,1
654600003025,"City of Lansing, Ward 3, Precinct 25",211,449,170,3
654600003027,"City of Lansing, Ward 3, Precinct 27",164,290,135,1
654600003028,"City of Lansing, Ward 3, Precinct 28",171,281,151,1
654600003030,"City of Lansing, Ward 3, Precinct 30",204,328,122,0
654600004032,"City of Lansing, Ward 4, Precinct 32",377,709,206,0
654600004034,"City of Lansing, Ward 4, Precinct 34",156,626,151,3
654600004035,"City of Lansing, Ward 4, Precinct 35",249,724,167,4
654600004036,"City of Lansing, Ward 4, Precinct 36",148,594,74,1
654600004037,"City of Lansing, Ward 4, Precinct 37",108,301,66,0
654600004038,"City of Lansing, Ward 4, Precinct 38",141,381,110,2
654600004039,"City of Lansing, Ward 4, Precinct 39",284,643,268,2
654602000001,"Lansing Charter Township, Precinct 1",211,519,220,3
654602000002,"Lansing Charter Township, Precinct 2",138,464,115,0
654708000001,"Leroy Township, Precinct 1",111,207,129,2
654718000001,"City of Leslie, Precinct 1",73,91,57,0
654720000001,"Leslie Township, Precinct 1",96,94,123,1
654904000001,"Locke Township, Precinct 1",69,86,90,0
655218000001,"City of Mason, Precinct 1",191,356,217,0
655218000002,"City of Mason, Precinct 2",294,506,199,2
655314000001,"Meridian Charter Township, Precinct 1",367,674,271,0
655314000002,"Meridian Charter Township, Precinct 2",318,726,280,0
655314000003,"Meridian Charter Township, Precinct 3",243,503,234,0
655314000004,"Meridian Charter Township, Precinct 4",357,635,325,1
655314000005,"Meridian Charter Township, Precinct 5",4,25,1,0
655314000006,"Meridian Charter Township, Precinct 6",134,209,95,1
655314000007,"Meridian Charter Township, Precinct 7",190,313,221,0
655314000008,"Meridian Charter Township, Precinct 8",416,760,327,1
655314000009,"Meridian Charter Township, Precinct 9",27,62,18,0
655314000010,"Meridian Charter Township, Precinct 10",211,316,174,0
655314000011,"Meridian Charter Township, Precinct 11",263,428,246,0
655314000012,"Meridian Charter Township, Precinct 12",73,201,65,0
655314000013,"Meridian Charter Township, Precinct 13",269,605,286,4
655314000014,"Meridian Charter Township, Precinct 14",342,573,376,2
656080000001,"Onondaga Township, Precinct 1",113,100,105,0
657658000001,"Stockbridge Township, Precinct 1",154,144,171,1
658222000001,"Vevay Township, Precinct 1",171,223,212,1
658652000001,"Wheatfield Township, Precinct 1",91,100,108,0
658690000001,"White Oak Township, Precinct 1",44,43,41,0
658742000001,"City of Williamston, Precinct 1",269,369,249,0
658744000001,"Williamstown Township, Precinct 1",210,232,207,0
658744000002,"Williamstown Township, Precinct 2",194,291,191,1
