name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"City of Bad Axe, Precinct 1",124,14,164,1
"City of Caseville, Precinct 1",21,9,64,0
"City of Harbor Beach, Precinct 1",68,9,107,0
"Bingham Township, Precinct 1",58,17,115,0
"Bloomfield Township, Precinct 1",7,2,14,0
"Brookfield Township, Precinct 1",9,2,30,0
"Caseville Township, Precinct 1",88,14,188,0
"Chandler Township, Precinct 1",5,2,16,0
"Colfax Township, Precinct 1",50,6,96,0
"Dwight Township, Precinct 1",20,2,31,1
"Fairhaven Township, Precinct 1",23,8,58,0
"Gore Township, Precinct 1",5,1,14,0
"Grant Township, Precinct 1",18,3,39,0
"Hume Township, Precinct 1",27,8,67,0
"Huron Township, Precinct 1",8,3,19,0
"Lake Township, Precinct 1",53,13,95,1
"Lincoln Township, Precinct 1",7,5,32,0
"McKinley Township, Precinct 1",4,2,21,0
"Meade Township, Precinct 1",19,2,43,0
"Oliver Township, Precinct 1",42,10,52,0
"Paris Township, Precinct 1",11,0,21,0
"Pointe Aux Barques Township, Precinct 1",3,0,4,0
"Port Austin Township, Precinct 1",96,12,129,1
"Rubicon Township, Precinct 1",30,2,23,0
"Sand Beach Township, Precinct 1",34,2,60,0
"Sebewaing Township, Precinct 1",84,17,127,0
"Sheridan Township, Precinct 1",8,2,41,0
"Sherman Township, Precinct 1",35,9,63,0
"Sigel Township, Precinct 1",13,2,17,0
"Verona Township, Precinct 1",28,3,87,0
"Winsor Township, Precinct 1",65,9,88,0
