name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"City of Bad Axe, Precinct 1",53,126,118,8,3
"City of Caseville, Precinct 1",20,56,52,4,0
"City of Harbor Beach, Precinct 1",23,81,62,4,1
"Bingham Township, Precinct 1",47,91,88,4,0
"Bloomfield Township, Precinct 1",8,27,37,3,0
"Brookfield Township, Precinct 1",8,44,37,1,0
"Caseville Township, Precinct 1",48,184,154,3,0
"Chandler Township, Precinct 1",4,45,27,0,0
"Colfax Township, Precinct 1",39,121,95,4,0
"Dwight Township, Precinct 1",8,41,46,1,1
"Fairhaven Township, Precinct 1",17,53,76,4,0
"Gore Township, Precinct 1",8,16,11,1,0
"Grant Township, Precinct 1",16,41,49,1,0
"Hume Township, Precinct 1",22,58,72,3,0
"Huron Township, Precinct 1",18,33,34,0,0
"Lake Township, Precinct 1",25,74,84,6,1
"Lincoln Township, Precinct 1",14,33,30,3,0
"McKinley Township, Precinct 1",6,28,25,2,0
"Meade Township, Precinct 1",12,39,52,2,0
"Oliver Township, Precinct 1",24,65,49,5,0
"Paris Township, Precinct 1",16,30,26,0,0
"Pointe Aux Barques Township, Precinct 1",1,4,3,0,0
"Port Austin Township, Precinct 1",36,107,83,6,0
"Rubicon Township, Precinct 1",20,63,45,4,0
"Sand Beach Township, Precinct 1",36,90,89,3,0
"Sebewaing Township, Precinct 1",59,186,146,10,0
"Sheridan Township, Precinct 1",11,35,42,3,0
"Sherman Township, Precinct 1",32,79,79,5,2
"Sigel Township, Precinct 1",9,32,57,4,0
"Verona Township, Precinct 1",24,90,65,2,0
"Winsor Township, Precinct 1",44,111,94,4,2
