name,Jocelyn Benson,Christopher Robert Swanson,Write-in
"City of Bad Axe, Precinct 1",190,113,1
"City of Caseville, Precinct 1",59,35,0
"City of Harbor Beach, Precinct 1",130,51,0
"Bingham Township, Precinct 1",115,75,0
"Bloomfield Township, Precinct 1",11,11,0
"Brookfield Township, Precinct 1",14,27,0
"Caseville Township, Precinct 1",208,83,0
"Chandler Township, Precinct 1",14,10,0
"Colfax Township, Precinct 1",81,74,1
"Dwight Township, Precinct 1",30,24,0
"Fairhaven Township, Precinct 1",57,34,0
"Gore Township, Precinct 1",17,3,0
"Grant Township, Precinct 1",23,39,0
"Hume Township, Precinct 1",68,33,0
"Huron Township, Precinct 1",26,5,0
"Lake Township, Precinct 1",111,50,1
"Lincoln Township, Precinct 1",23,20,0
"McKinley Township, Precinct 1",19,7,0
"Meade Township, Precinct 1",33,33,0
"Oliver Township, Precinct 1",62,42,0
"Paris Township, Precinct 1",24,8,1
"Pointe Aux Barques Township, Precinct 1",7,0,0
"Port Austin Township, Precinct 1",167,70,0
"Rubicon Township, Precinct 1",38,17,0
"Sand Beach Township, Precinct 1",70,24,0
"Sebewaing Township, Precinct 1",141,86,0
"Sheridan Township, Precinct 1",31,20,0
"Sherman Township, Precinct 1",74,39,0
"Sigel Township, Precinct 1",20,11,0
"Verona Township, Precinct 1",82,36,0
"Winsor Township, Precinct 1",111,47,1
