name,ballots,Debbie Dingell,Write-in,id
"City of Belleville, Precinct 1",981,642,7,1630702000001
"Charter Township of Brownstown, Precinct 1",685,386,5,1631122000001
"Charter Township of Brownstown, Precinct 2",574,341,5,1631122000002
"Charter Township of Brownstown, Precinct 3",855,518,6,1631122000003
"Charter Township of Brownstown, Precinct 4",1236,624,6,1631122000004
"Charter Township of Brownstown, Precinct 5",636,369,4,1631122000005
"Charter Township of Brownstown, Precinct 6",806,434,7,1631122000006
"Charter Township of Brownstown, Precinct 7",616,319,2,1631122000007
"Charter Township of Brownstown, Precinct 8",652,378,3,1631122000008
"Charter Township of Brownstown, Precinct 9",578,369,3,1631122000009
"Charter Township of Brownstown, Precinct 10",696,380,2,1631122000010
"Charter Township of Brownstown, Precinct 11",473,220,3,1631122000011
"Charter Township of Brownstown, Precinct 12",614,283,1,1631122000012
"Canton Township, Precinct 1",1246,847,4,1631312000001
"Canton Township, Precinct 2",1438,891,11,1631312000002
"Canton Township, Precinct 3",1757,1101,8,1631312000003
"Canton Township, Precinct 4",1374,888,10,1631312000004
"Canton Township, Precinct 5",997,649,5,1631312000005
"Canton Township, Precinct 6",571,395,6,1631312000006
"Canton Township, Precinct 7",1370,900,11,1631312000007
"Canton Township, Precinct 8",1421,926,23,1631312000008
"Canton Township, Precinct 9",1181,736,13,1631312000009
"Canton Township, Precinct 10",1130,712,11,1631312000010
"Canton Township, Precinct 11",882,598,1,1631312000011
"Canton Township, Precinct 12",1417,856,3,1631312000012
"Canton Township, Precinct 13",1495,898,4,1631312000013
"Canton Township, Precinct 14",1669,1012,16,1631312000014
"Canton Township, Precinct 15",1895,1138,8,1631312000015
"Canton Township, Precinct 16",1698,1063,5,1631312000016
"Canton Township, Precinct 17",1779,1214,15,1631312000017
"Canton Township, Precinct 18",1761,1101,16,1631312000018
"Canton Township, Precinct 19",1420,806,16,1631312000019
"Canton Township, Precinct 20",1331,698,10,1631312000020
"City of Flat Rock, Precinct 1",496,285,0,1632836000001
"City of Flat Rock, Precinct 2",768,378,6,1632836000002
"City of Flat Rock, Precinct 3",825,408,4,1632836000003
"City of Gibraltar, Precinct 1",629,262,1,1633202000001
"City of Gibraltar, Precinct 2",639,299,4,1633202000002
"Grosse Ile Township, Precinct 1",2141,1013,0,1633542000001
"Grosse Ile Township, Precinct 2",944,433,3,1633542000002
"Grosse Ile Township, Precinct 3",1263,490,2,1633542000003
"Charter Township of Huron, Precinct 1",921,405,4,1634004000001
"Charter Township of Huron, Precinct 2",861,356,6,1634004000002
"Charter Township of Huron, Precinct 3",1311,629,4,1634004000003
"Charter Township of Huron, Precinct 4",838,373,1,1634004000004
"City of Northville, Precinct 1",1124,610,2,1635898000001
"Charter Township of Northville, Precinct 1",1386,717,7,1635900000001
"Charter Township of Northville, Precinct 2",1384,780,11,1635900000002
"Charter Township of Northville, Precinct 3",944,496,6,1635900000003
"Charter Township of Northville, Precinct 4",1059,497,6,1635900000004
"Charter Township of Northville, Precinct 5",875,462,5,1635900000005
"Charter Township of Northville, Precinct 6",1226,625,2,1635900000006
"Charter Township of Northville, Precinct 7",1120,617,3,1635900000007
"Charter Township of Northville, Precinct 8",889,535,6,1635900000008
"Charter Township of Northville, Precinct 9",706,451,3,1635900000009
"Charter Township of Northville, Precinct 10",1098,550,2,1635900000010
"City of Plymouth, Precinct 1",1022,675,5,1636506000001
"City of Plymouth, Precinct 2",553,410,4,1636506000002
"City of Plymouth, Precinct 3",1157,743,5,1636506000003
"City of Plymouth, Precinct 4",827,528,1,1636506000004
"Plymouth Township, Precinct 1",1535,887,4,1636508000001
"Plymouth Township, Precinct 2",1710,1011,3,1636508000002
"Plymouth Township, Precinct 3",1688,1034,2,1636508000003
"Plymouth Township, Precinct 4",1931,1046,3,1636508000004
"Plymouth Township, Precinct 5",1692,903,7,1636508000005
"Plymouth Township, Precinct 6",2000,1057,6,1636508000006
"City of Riverview, Precinct 1",932,493,2,1636888000001
"City of Riverview, Precinct 2",927,539,3,1636888000002
"City of Riverview, Precinct 3",1291,682,1,1636888000003
"City of Rockwood, Precinct 1",274,151,2,1636918000001
"City of Rockwood, Precinct 2",457,185,1,1636918000002
"Township of Sumpter, Precinct 1",352,160,0,1637736000001
"Township of Sumpter, Precinct 2",653,351,1,1637736000002
"Township of Sumpter, Precinct 3",692,294,2,1637736000003
"Township of Sumpter, Precinct 4",671,291,1,1637736000004
"City of Trenton, Precinct 1",760,445,3,1638042000001
"City of Trenton, Precinct 2",1685,876,4,1638042000002
"City of Trenton, Precinct 3",1533,827,5,1638042000003
"City of Trenton, Precinct 4",1537,841,4,1638042000004
"Van Buren Township, Precinct 1",1094,714,8,1638166000001
"Van Buren Township, Precinct 2",1530,983,5,1638166000002
"Van Buren Township, Precinct 3",1271,871,6,1638166000003
"Van Buren Township, Precinct 4",1253,925,13,1638166000004
"Van Buren Township, Precinct 5",1053,766,9,1638166000005
"Van Buren Township, Precinct 6",1329,904,3,1638166000006
"Van Buren Township, Precinct 7",360,230,0,1638166000007
"City of Woodhaven, Precinct 1",653,357,2,1638838000001
"City of Woodhaven, Precinct 2",857,430,1,1638838000002
"City of Woodhaven, Precinct 3",1401,809,6,1638838000003
"City of Woodhaven, Precinct 4",419,234,0,1638838000004
