name,ballots,Shanelle Jackson,Byron H. Nolen,Rashida Tlaib,Write-in,id
"City of Dearborn Heights, Precinct 1",380,23,19,265,0,1632102000001
"City of Dearborn Heights, Precinct 10",568,21,16,422,1,1632102000010
"City of Dearborn Heights, Precinct 11",161,12,12,100,0,1632102000011
"City of Dearborn Heights, Precinct 2",418,19,24,274,0,1632102000002
"City of Dearborn Heights, Precinct 3",360,27,31,185,0,1632102000003
"City of Dearborn Heights, Precinct 4",528,37,41,251,0,1632102000004
"City of Dearborn Heights, Precinct 5",419,20,31,258,1,1632102000005
"City of Dearborn Heights, Precinct 6",402,23,25,229,0,1632102000006
"City of Dearborn Heights, Precinct 7",222,14,11,134,0,1632102000007
"City of Dearborn Heights, Precinct 8",344,15,21,211,0,1632102000008
"City of Dearborn Heights, Precinct 9",427,11,14,292,0,1632102000009
"City of Dearborn, Precinct 1",119,5,4,100,1,1632100000001
"City of Dearborn, Precinct 10",157,4,6,122,1,1632100000010
"City of Dearborn, Precinct 11",105,2,1,86,0,1632100000011
"City of Dearborn, Precinct 12",152,4,5,121,0,1632100000012
"City of Dearborn, Precinct 13",175,23,9,98,0,1632100000013
"City of Dearborn, Precinct 15",184,7,7,149,0,1632100000015
"City of Dearborn, Precinct 16",191,5,8,141,2,1632100000016
"City of Dearborn, Precinct 17",245,5,15,187,1,1632100000017
"City of Dearborn, Precinct 18",239,17,15,166,0,1632100000018
"City of Dearborn, Precinct 19",156,4,4,135,1,1632100000019
"City of Dearborn, Precinct 2",161,1,10,125,1,1632100000002
"City of Dearborn, Precinct 20",89,2,0,80,0,1632100000020
"City of Dearborn, Precinct 21",87,1,0,67,0,1632100000021
"City of Dearborn, Precinct 22",416,27,35,261,0,1632100000022
"City of Dearborn, Precinct 24",221,16,14,140,1,1632100000024
"City of Dearborn, Precinct 25",361,26,25,189,1,1632100000025
"City of Dearborn, Precinct 26",298,17,20,165,0,1632100000026
"City of Dearborn, Precinct 27",293,26,8,178,1,1632100000027
"City of Dearborn, Precinct 28",172,13,13,95,0,1632100000028
"City of Dearborn, Precinct 29",270,6,30,153,0,1632100000029
"City of Dearborn, Precinct 3",210,5,4,169,2,1632100000003
"City of Dearborn, Precinct 31",408,26,27,245,0,1632100000031
"City of Dearborn, Precinct 32",261,5,21,160,1,1632100000032
"City of Dearborn, Precinct 33",286,8,14,191,1,1632100000033
"City of Dearborn, Precinct 34",280,15,17,178,0,1632100000034
"City of Dearborn, Precinct 35",455,25,39,292,0,1632100000035
"City of Dearborn, Precinct 37",325,17,34,186,1,1632100000037
"City of Dearborn, Precinct 38",302,22,25,175,1,1632100000038
"City of Dearborn, Precinct 4",160,4,3,131,0,1632100000004
"City of Dearborn, Precinct 40",219,18,11,143,0,1632100000040
"City of Dearborn, Precinct 41",312,15,42,177,0,1632100000041
"City of Dearborn, Precinct 42",536,36,36,338,1,1632100000042
"City of Dearborn, Precinct 44",297,14,25,185,0,1632100000044
"City of Dearborn, Precinct 45",296,21,27,182,0,1632100000045
"City of Dearborn, Precinct 46",284,13,26,178,1,1632100000046
"City of Dearborn, Precinct 47",389,37,28,213,0,1632100000047
"City of Dearborn, Precinct 49",321,23,30,182,0,1632100000049
"City of Dearborn, Precinct 50",217,21,11,125,0,1632100000050
"City of Dearborn, Precinct 6",172,4,3,149,0,1632100000006
"City of Dearborn, Precinct 7",206,3,5,175,0,1632100000007
"City of Dearborn, Precinct 8",171,2,5,136,0,1632100000008
"City of Dearborn, Precinct 9",148,3,4,127,0,1632100000009
"City of Detroit, Precinct 223",202,48,8,114,2,1632200002223
"City of Detroit, Precinct 224",344,63,19,222,0,1632200002224
"City of Detroit, Precinct 225",271,45,8,198,0,1632200002225
"City of Detroit, Precinct 226",198,41,5,123,1,1632200002226
"City of Detroit, Precinct 227",147,27,10,93,0,1632200002227
"City of Detroit, Precinct 228",332,57,10,235,0,1632200002228
"City of Detroit, Precinct 229",257,51,8,173,0,1632200002229
"City of Detroit, Precinct 230",311,54,16,206,0,1632200002230
"City of Detroit, Precinct 231",216,49,17,135,0,1632200002231
"City of Detroit, Precinct 232",304,59,24,196,0,1632200002232
"City of Detroit, Precinct 233",349,70,26,211,0,1632200002233
"City of Detroit, Precinct 234",182,36,5,127,0,1632200002234
"City of Detroit, Precinct 236",327,77,20,201,0,1632200002236
"City of Detroit, Precinct 240",202,29,14,145,1,1632200002240
