name,ballots,Heather Smiley,Write-in,id
"City of Belleville, Precinct 1",411,125,0,1630702000001
"Charter Township of Brownstown, Precinct 1",184,72,0,1631122000001
"Charter Township of Brownstown, Precinct 2",190,60,0,1631122000002
"Charter Township of Brownstown, Precinct 3",285,93,0,1631122000003
"Charter Township of Brownstown, Precinct 4",284,107,0,1631122000004
"Charter Township of Brownstown, Precinct 5",230,73,0,1631122000005
"Charter Township of Brownstown, Precinct 6",266,104,1,1631122000006
"Charter Township of Brownstown, Precinct 7",215,97,0,1631122000007
"Charter Township of Brownstown, Precinct 8",283,105,1,1631122000008
"Charter Township of Brownstown, Precinct 9",199,65,1,1631122000009
"Charter Township of Brownstown, Precinct 10",260,84,0,1631122000010
"Charter Township of Brownstown, Precinct 11",210,104,1,1631122000011
"Charter Township of Brownstown, Precinct 12",240,88,1,1631122000012
"Canton Township, Precinct 1",299,66,0,1631312000001
"Canton Township, Precinct 2",356,82,0,1631312000002
"Canton Township, Precinct 3",523,94,2,1631312000003
"Canton Township, Precinct 4",411,82,1,1631312000004
"Canton Township, Precinct 5",318,74,0,1631312000005
"Canton Township, Precinct 6",221,49,0,1631312000006
"Canton Township, Precinct 7",461,87,1,1631312000007
"Canton Township, Precinct 8",517,71,0,1631312000008
"Canton Township, Precinct 9",383,64,0,1631312000009
"Canton Township, Precinct 10",376,72,0,1631312000010
"Canton Township, Precinct 11",319,76,0,1631312000011
"Canton Township, Precinct 12",399,110,0,1631312000012
"Canton Township, Precinct 13",435,123,0,1631312000013
"Canton Township, Precinct 14",494,139,0,1631312000014
"Canton Township, Precinct 15",605,156,0,1631312000015
"Canton Township, Precinct 16",615,110,0,1631312000016
"Canton Township, Precinct 17",660,97,0,1631312000017
"Canton Township, Precinct 18",581,97,1,1631312000018
"Canton Township, Precinct 19",486,110,0,1631312000019
"Canton Township, Precinct 20",428,101,0,1631312000020
"City of Flat Rock, Precinct 1",215,89,0,1632836000001
"City of Flat Rock, Precinct 2",335,131,0,1632836000002
"City of Flat Rock, Precinct 3",374,165,1,1632836000003
"City of Gibraltar, Precinct 1",272,145,1,1633202000001
"City of Gibraltar, Precinct 2",220,114,2,1633202000002
"Grosse Ile Township, Precinct 1",701,334,0,1633542000001
"Grosse Ile Township, Precinct 2",268,139,0,1633542000002
"Grosse Ile Township, Precinct 3",338,168,0,1633542000003
"Charter Township of Huron, Precinct 1",335,167,2,1634004000001
"Charter Township of Huron, Precinct 2",343,183,2,1634004000002
"Charter Township of Huron, Precinct 3",439,222,1,1634004000003
"Charter Township of Huron, Precinct 4",364,186,1,1634004000004
"City of Northville, Precinct 1",400,119,0,1635898000001
"Charter Township of Northville, Precinct 1",380,121,3,1635900000001
"Charter Township of Northville, Precinct 2",573,129,0,1635900000002
"Charter Township of Northville, Precinct 3",300,92,0,1635900000003
"Charter Township of Northville, Precinct 4",241,89,0,1635900000004
"Charter Township of Northville, Precinct 5",250,80,1,1635900000005
"Charter Township of Northville, Precinct 6",375,130,1,1635900000006
"Charter Township of Northville, Precinct 7",245,86,0,1635900000007
"Charter Township of Northville, Precinct 8",270,71,0,1635900000008
"Charter Township of Northville, Precinct 9",236,65,0,1635900000009
"Charter Township of Northville, Precinct 10",322,115,0,1635900000010
"City of Plymouth, Precinct 1",362,79,1,1636506000001
"City of Plymouth, Precinct 2",247,40,0,1636506000002
"City of Plymouth, Precinct 3",431,103,0,1636506000003
"City of Plymouth, Precinct 4",273,76,0,1636506000004
"Plymouth Township, Precinct 1",548,182,1,1636508000001
"Plymouth Township, Precinct 2",504,161,0,1636508000002
"Plymouth Township, Precinct 3",517,147,0,1636508000003
"Plymouth Township, Precinct 4",558,205,0,1636508000004
"Plymouth Township, Precinct 5",573,201,4,1636508000005
"Plymouth Township, Precinct 6",604,200,0,1636508000006
"City of Riverview, Precinct 1",315,155,1,1636888000001
"City of Riverview, Precinct 2",333,113,0,1636888000002
"City of Riverview, Precinct 3",427,148,0,1636888000003
"City of Rockwood, Precinct 1",258,85,0,1636918000001
"City of Rockwood, Precinct 2",422,198,0,1636918000002
"Township of Sumpter, Precinct 1",167,93,0,1637736000001
"Township of Sumpter, Precinct 2",287,120,2,1637736000002
"Township of Sumpter, Precinct 3",294,158,1,1637736000003
"Township of Sumpter, Precinct 4",287,170,0,1637736000004
"City of Trenton, Precinct 1",258,94,2,1638042000001
"City of Trenton, Precinct 2",589,265,0,1638042000002
"City of Trenton, Precinct 3",577,244,0,1638042000003
"City of Trenton, Precinct 4",513,221,0,1638042000004
"Van Buren Township, Precinct 1",336,88,0,1638166000001
"Van Buren Township, Precinct 2",464,129,0,1638166000002
"Van Buren Township, Precinct 3",343,55,0,1638166000003
"Van Buren Township, Precinct 4",410,63,0,1638166000004
"Van Buren Township, Precinct 5",402,57,0,1638166000005
"Van Buren Township, Precinct 6",477,113,2,1638166000006
"Van Buren Township, Precinct 7",115,27,0,1638166000007
"City of Woodhaven, Precinct 1",241,97,0,1638838000001
"City of Woodhaven, Precinct 2",357,155,2,1638838000002
"City of Woodhaven, Precinct 3",466,179,3,1638838000003
"City of Woodhaven, Precinct 4",176,70,0,1638838000004
