name,ballots,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in,id
"Canton Township, Precinct 1",947,214,24,437,0,1631312000001.0
"Canton Township, Precinct 10",754,218,18,294,0,1631312000010.0
"Canton Township, Precinct 11",563,166,17,226,0,1631312000011.0
"Canton Township, Precinct 12",1018,231,24,409,0,1631312000012.0
"Canton Township, Precinct 13",1060,296,20,406,1,1631312000013.0
"Canton Township, Precinct 14",1175,303,26,456,0,1631312000014.0
"Canton Township, Precinct 15",1290,368,25,461,0,1631312000015.0
"Canton Township, Precinct 16",1083,458,21,303,0,1631312000016.0
"Canton Township, Precinct 17",1119,537,22,336,0,1631312000017.0
"Canton Township, Precinct 18",1180,498,19,332,0,1631312000018.0
"Canton Township, Precinct 19",934,281,20,296,0,1631312000019.0
"Canton Township, Precinct 2",1082,241,25,455,0,1631312000002.0
"Canton Township, Precinct 20",903,204,20,258,0,1631312000020.0
"Canton Township, Precinct 3",1234,400,30,451,0,1631312000003.0
"Canton Township, Precinct 4",963,313,24,366,0,1631312000004.0
"Canton Township, Precinct 5",679,197,19,275,0,1631312000005.0
"Canton Township, Precinct 6",350,93,7,156,0,1631312000006.0
"Canton Township, Precinct 7",909,317,17,321,0,1631312000007.0
"Canton Township, Precinct 8",904,423,17,249,0,1631312000008.0
"Canton Township, Precinct 9",798,214,12,317,0,1631312000009.0
"Charter Township of Brownstown, Precinct 1",501,121,14,166,0,1631122000001.0
"Charter Township of Brownstown, Precinct 10",436,88,12,134,0,1631122000010.0
"Charter Township of Brownstown, Precinct 11",263,48,3,98,0,1631122000011.0
"Charter Township of Brownstown, Precinct 12",374,52,10,112,0,1631122000012.0
"Charter Township of Brownstown, Precinct 2",384,105,10,134,1,1631122000002.0
"Charter Township of Brownstown, Precinct 3",570,143,12,214,2,1631122000003.0
"Charter Township of Brownstown, Precinct 4",952,112,33,366,0,1631122000004.0
"Charter Township of Brownstown, Precinct 5",406,89,18,136,0,1631122000005.0
"Charter Township of Brownstown, Precinct 6",540,90,17,203,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",401,87,20,132,0,1631122000007.0
"Charter Township of Brownstown, Precinct 8",369,91,14,148,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",379,79,10,185,0,1631122000009.0
"Charter Township of Huron, Precinct 1",586,95,17,204,0,1634004000001.0
"Charter Township of Huron, Precinct 2",518,92,16,156,0,1634004000002.0
"Charter Township of Huron, Precinct 3",872,148,20,323,0,1634004000003.0
"Charter Township of Huron, Precinct 4",474,80,6,170,0,1634004000004.0
"Charter Township of Northville, Precinct 1",1006,253,26,343,1,1635900000001.0
"Charter Township of Northville, Precinct 10",776,158,20,270,0,1635900000010.0
"Charter Township of Northville, Precinct 2",811,277,13,245,0,1635900000002.0
"Charter Township of Northville, Precinct 3",644,174,16,217,0,1635900000003.0
"Charter Township of Northville, Precinct 4",818,129,22,287,0,1635900000004.0
"Charter Township of Northville, Precinct 5",625,121,21,250,0,1635900000005.0
"Charter Township of Northville, Precinct 6",851,166,17,309,0,1635900000006.0
"Charter Township of Northville, Precinct 7",875,160,26,347,0,1635900000007.0
"Charter Township of Northville, Precinct 8",619,168,13,232,0,1635900000008.0
"Charter Township of Northville, Precinct 9",470,124,9,200,0,1635900000009.0
"City of Allen Park, Precinct 1",229,72,5,95,0,1630138000001.0
"City of Allen Park, Precinct 2",581,166,23,219,0,1630138000002.0
"City of Allen Park, Precinct 3",776,194,29,320,1,1630138000003.0
"City of Allen Park, Precinct 4",607,201,22,199,0,1630138000004.0
"City of Allen Park, Precinct 5",577,169,30,216,0,1630138000005.0
"City of Allen Park, Precinct 6",778,198,30,314,0,1630138000006.0
"City of Allen Park, Precinct 7",675,169,16,277,1,1630138000007.0
"City of Allen Park, Precinct 8",235,46,7,97,0,1630138000008.0
"City of Belleville, Precinct 1",570,177,6,245,0,1630702000001.0
"City of Dearborn Heights, Precinct 1",380,190,7,116,0,1632102000001.0
