name,ballots,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in,id
"City of Allen Park, Precinct 1",459,188,9,140,0,1630138000001.0
"City of Allen Park, Precinct 2",988,331,32,314,0,1630138000002.0
"City of Allen Park, Precinct 3",1296,418,34,423,2,1630138000003.0
"City of Allen Park, Precinct 4",982,359,24,292,0,1630138000004.0
"City of Allen Park, Precinct 5",954,328,35,306,0,1630138000005.0
"City of Allen Park, Precinct 6",1229,367,36,421,0,1630138000006.0
"City of Allen Park, Precinct 7",1192,379,26,384,1,1630138000007.0
"City of Allen Park, Precinct 8",425,99,15,152,0,1630138000008.0
"City of Belleville, Precinct 1",981,358,13,327,1,1630702000001.0
"Charter Township of Brownstown, Precinct 1",685,191,15,198,1,1631122000001.0
"Charter Township of Brownstown, Precinct 2",574,182,12,178,1,1631122000002.0
"Charter Township of Brownstown, Precinct 3",855,254,14,282,2,1631122000003.0
"Charter Township of Brownstown, Precinct 4",1236,201,34,438,0,1631122000004.0
"Charter Township of Brownstown, Precinct 5",636,183,22,190,0,1631122000005.0
"Charter Township of Brownstown, Precinct 6",806,184,19,260,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",616,152,23,171,0,1631122000007.0
"Charter Township of Brownstown, Precinct 8",652,194,18,201,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",578,151,15,232,0,1631122000009.0
"Charter Township of Brownstown, Precinct 10",696,193,14,194,0,1631122000010.0
"Charter Township of Brownstown, Precinct 11",473,106,8,132,0,1631122000011.0
"Charter Township of Brownstown, Precinct 12",614,127,13,174,0,1631122000012.0
"Canton Township, Precinct 1",1246,343,26,532,0,1631312000001.0
"Canton Township, Precinct 2",1438,396,27,563,0,1631312000002.0
"Canton Township, Precinct 3",1757,678,30,589,0,1631312000003.0
"Canton Township, Precinct 4",1374,542,28,452,0,1631312000004.0
"Canton Township, Precinct 5",997,357,21,345,0,1631312000005.0
"Canton Township, Precinct 6",571,199,14,210,0,1631312000006.0
"Canton Township, Precinct 7",1370,604,21,394,0,1631312000007.0
"Canton Township, Precinct 8",1421,767,20,340,0,1631312000008.0
"Canton Township, Precinct 9",1181,442,14,395,0,1631312000009.0
"Canton Township, Precinct 10",1130,432,24,361,0,1631312000010.0
"Canton Township, Precinct 11",882,327,21,298,0,1631312000011.0
"Canton Township, Precinct 12",1417,416,25,499,0,1631312000012.0
"Canton Township, Precinct 13",1495,511,22,485,1,1631312000013.0
"Canton Township, Precinct 14",1669,529,30,563,0,1631312000014.0
"Canton Township, Precinct 15",1895,678,31,575,0,1631312000015.0
"Canton Township, Precinct 16",1698,838,23,403,1,1631312000016.0
"Canton Township, Precinct 17",1779,889,27,518,0,1631312000017.0
"Canton Township, Precinct 18",1761,842,25,448,0,1631312000018.0
"Canton Township, Precinct 19",1420,545,24,394,0,1631312000019.0
"Canton Township, Precinct 20",1331,398,25,361,3,1631312000020.0
"City of Dearborn, Precinct 1",485,432,3,23,0,1632100000001.0
"City of Dearborn, Precinct 2",440,390,2,13,0,1632100000002.0
"City of Dearborn, Precinct 3",667,568,2,50,1,1632100000003.0
"City of Dearborn, Precinct 4",678,598,9,28,1,1632100000004.0
"City of Dearborn, Precinct 6",546,502,4,20,0,1632100000006.0
"City of Dearborn, Precinct 7",645,570,2,23,2,1632100000007.0
"City of Dearborn, Precinct 8",437,378,3,18,0,1632100000008.0
"City of Dearborn, Precinct 9",458,405,3,32,0,1632100000009.0
"City of Dearborn, Precinct 10",420,341,4,42,0,1632100000010.0
"City of Dearborn, Precinct 11",327,294,0,11,0,1632100000011.0
"City of Dearborn, Precinct 12",464,388,6,36,0,1632100000012.0
"City of Dearborn, Precinct 13",279,53,15,152,0,1632100000013.0
"City of Dearborn, Precinct 15",446,371,2,30,0,1632100000015.0
"City of Dearborn, Precinct 16",512,422,3,37,1,1632100000016.0
"City of Dearborn, Precinct 17",619,492,7,55,0,1632100000017.0
"City of Dearborn, Precinct 18",637,492,4,84,1,1632100000018.0
"City of Dearborn, Precinct 19",448,404,4,23,2,1632100000019.0
"City of Dearborn, Precinct 20",306,281,6,9,1,1632100000020.0
"City of Dearborn, Precinct 21",422,388,1,7,0,1632100000021.0
