name,ballots,Heather Smiley,Write-in,id
"Canton Township, Precinct 1",947,203,0,1631312000001
"Canton Township, Precinct 10",754,167,0,1631312000010
"Canton Township, Precinct 11",563,126,0,1631312000011
"Canton Township, Precinct 12",1018,267,0,1631312000012
"Canton Township, Precinct 13",1060,261,0,1631312000013
"Canton Township, Precinct 14",1175,322,0,1631312000014
"Canton Township, Precinct 15",1290,335,2,1631312000015
"Canton Township, Precinct 16",1083,175,0,1631312000016
"Canton Township, Precinct 17",1119,112,0,1631312000017
"Canton Township, Precinct 18",1180,109,0,1631312000018
"Canton Township, Precinct 19",934,90,0,1631312000019
"Canton Township, Precinct 2",1082,274,0,1631312000002
"Canton Township, Precinct 20",903,128,0,1631312000020
"Canton Township, Precinct 3",1234,283,0,1631312000003
"Canton Township, Precinct 4",963,195,0,1631312000004
"Canton Township, Precinct 5",679,147,0,1631312000005
"Canton Township, Precinct 6",350,70,0,1631312000006
"Canton Township, Precinct 7",909,214,0,1631312000007
"Canton Township, Precinct 8",904,167,0,1631312000008
"Canton Township, Precinct 9",798,173,0,1631312000009
"Charter Township of Brownstown, Precinct 1",501,123,0,1631122000001
"Charter Township of Brownstown, Precinct 10",436,44,0,1631122000010
"Charter Township of Brownstown, Precinct 11",263,59,0,1631122000011
"Charter Township of Brownstown, Precinct 12",374,56,0,1631122000012
"Charter Township of Brownstown, Precinct 2",384,68,1,1631122000002
"Charter Township of Brownstown, Precinct 3",570,113,1,1631122000003
"Charter Township of Brownstown, Precinct 4",952,283,1,1631122000004
"Charter Township of Brownstown, Precinct 5",406,105,2,1631122000005
"Charter Township of Brownstown, Precinct 6",540,136,0,1631122000006
"Charter Township of Brownstown, Precinct 7",401,100,0,1631122000007
"Charter Township of Brownstown, Precinct 8",369,70,0,1631122000008
"Charter Township of Brownstown, Precinct 9",379,64,0,1631122000009
"Charter Township of Huron, Precinct 1",586,224,0,1634004000001
"Charter Township of Huron, Precinct 2",518,201,0,1634004000002
"Charter Township of Huron, Precinct 3",872,297,2,1634004000003
"Charter Township of Huron, Precinct 4",474,164,1,1634004000004
"Charter Township of Northville, Precinct 1",1006,287,0,1635900000001
"Charter Township of Northville, Precinct 10",776,247,0,1635900000010
"Charter Township of Northville, Precinct 2",811,191,0,1635900000002
"Charter Township of Northville, Precinct 3",644,182,0,1635900000003
"Charter Township of Northville, Precinct 4",818,302,0,1635900000004
"Charter Township of Northville, Precinct 5",625,183,0,1635900000005
"Charter Township of Northville, Precinct 6",851,287,0,1635900000006
"Charter Township of Northville, Precinct 7",875,276,0,1635900000007
"Charter Township of Northville, Precinct 8",619,160,0,1635900000008
"Charter Township of Northville, Precinct 9",470,104,0,1635900000009
"City of Belleville, Precinct 1",570,111,1,1630702000001
"City of Flat Rock, Precinct 1",281,76,1,1632836000001
"City of Flat Rock, Precinct 2",433,119,0,1632836000002
"City of Flat Rock, Precinct 3",451,141,0,1632836000003
"City of Gibraltar, Precinct 1",357,135,0,1633202000001
"City of Gibraltar, Precinct 2",419,148,3,1633202000002
"City of Northville, Precinct 1",724,168,0,1635898000001
"City of Plymouth, Precinct 1",660,118,0,1636506000001
"City of Plymouth, Precinct 2",306,34,0,1636506000002
"City of Plymouth, Precinct 3",726,147,0,1636506000003
"City of Plymouth, Precinct 4",554,119,0,1636506000004
"City of Riverview, Precinct 1",617,173,0,1636888000001
"City of Riverview, Precinct 2",594,173,0,1636888000002
"City of Riverview, Precinct 3",864,271,4,1636888000003
"City of Rockwood, Precinct 1",16,7,0,1636918000001
"City of Rockwood, Precinct 2",35,12,0,1636918000002
"City of Trenton, Precinct 1",502,128,0,1638042000001
"City of Trenton, Precinct 2",1096,337,0,1638042000002
"City of Trenton, Precinct 3",956,271,0,1638042000003
"City of Trenton, Precinct 4",1024,290,3,1638042000004
"City of Woodhaven, Precinct 1",412,127,0,1638838000001
"City of Woodhaven, Precinct 2",500,173,3,1638838000002
"City of Woodhaven, Precinct 3",935,235,0,1638838000003
"City of Woodhaven, Precinct 4",243,67,0,1638838000004
"Grosse Ile Township, Precinct 1",1440,504,0,1633542000001
"Grosse Ile Township, Precinct 2",676,238,2,1633542000002
"Grosse Ile Township, Precinct 3",925,398,0,1633542000003
"Plymouth Township, Precinct 1",987,270,0,1636508000001
"Plymouth Township, Precinct 2",1206,340,0,1636508000002
"Plymouth Township, Precinct 3",1171,294,0,1636508000003
"Plymouth Township, Precinct 4",1373,430,0,1636508000004
"Plymouth Township, Precinct 5",1119,343,0,1636508000005
"Plymouth Township, Precinct 6",1396,456,0,1636508000006
"Township of Sumpter, Precinct 1",185,63,1,1637736000001
"Township of Sumpter, Precinct 2",366,103,2,1637736000002
"Township of Sumpter, Precinct 3",398,136,1,1637736000003
"Township of Sumpter, Precinct 4",384,120,0,1637736000004
"Van Buren Township, Precinct 1",758,171,0,1638166000001
"Van Buren Township, Precinct 2",1066,251,0,1638166000002
"Van Buren Township, Precinct 3",928,179,0,1638166000003
"Van Buren Township, Precinct 4",843,153,1,1638166000004
"Van Buren Township, Precinct 5",651,110,0,1638166000005
"Van Buren Township, Precinct 6",852,176,1,1638166000006
"Van Buren Township, Precinct 7",245,62,0,1638166000007
