name,ballots,Debbie Dingell,Write-in,id
"City of Belleville, Precinct 1",411,248,4,1630702000001
"Charter Township of Brownstown, Precinct 1",184,94,3,1631122000001
"Charter Township of Brownstown, Precinct 2",190,120,1,1631122000002
"Charter Township of Brownstown, Precinct 3",285,164,1,1631122000003
"Charter Township of Brownstown, Precinct 4",284,139,3,1631122000004
"Charter Township of Brownstown, Precinct 5",230,136,3,1631122000005
"Charter Township of Brownstown, Precinct 6",266,135,4,1631122000006
"Charter Township of Brownstown, Precinct 7",215,98,1,1631122000007
"Charter Township of Brownstown, Precinct 8",283,144,1,1631122000008
"Charter Township of Brownstown, Precinct 9",199,113,3,1631122000009
"Charter Township of Brownstown, Precinct 10",260,155,2,1631122000010
"Charter Township of Brownstown, Precinct 11",210,77,3,1631122000011
"Charter Township of Brownstown, Precinct 12",240,123,1,1631122000012
"Canton Township, Precinct 1",299,208,2,1631312000001
"Canton Township, Precinct 2",356,220,7,1631312000002
"Canton Township, Precinct 3",523,343,7,1631312000003
"Canton Township, Precinct 4",411,269,8,1631312000004
"Canton Township, Precinct 5",318,208,4,1631312000005
"Canton Township, Precinct 6",221,157,4,1631312000006
"Canton Township, Precinct 7",461,313,6,1631312000007
"Canton Township, Precinct 8",517,355,13,1631312000008
"Canton Township, Precinct 9",383,248,9,1631312000009
"Canton Township, Precinct 10",376,233,8,1631312000010
"Canton Township, Precinct 11",319,216,1,1631312000011
"Canton Township, Precinct 12",399,241,3,1631312000012
"Canton Township, Precinct 13",435,252,1,1631312000013
"Canton Township, Precinct 14",494,282,10,1631312000014
"Canton Township, Precinct 15",605,360,6,1631312000015
"Canton Township, Precinct 16",615,386,5,1631312000016
"Canton Township, Precinct 17",660,463,8,1631312000017
"Canton Township, Precinct 18",581,390,9,1631312000018
"Canton Township, Precinct 19",486,287,13,1631312000019
"Canton Township, Precinct 20",428,263,6,1631312000020
"City of Flat Rock, Precinct 1",215,111,0,1632836000001
"City of Flat Rock, Precinct 2",335,147,4,1632836000002
"City of Flat Rock, Precinct 3",374,160,3,1632836000003
"City of Gibraltar, Precinct 1",272,97,1,1633202000001
"City of Gibraltar, Precinct 2",220,88,3,1633202000002
"Grosse Ile Township, Precinct 1",701,281,0,1633542000001
"Grosse Ile Township, Precinct 2",268,89,1,1633542000002
"Grosse Ile Township, Precinct 3",338,110,1,1633542000003
"Charter Township of Huron, Precinct 1",335,107,2,1634004000001
"Charter Township of Huron, Precinct 2",343,112,3,1634004000002
"Charter Township of Huron, Precinct 3",439,168,2,1634004000003
"Charter Township of Huron, Precinct 4",364,133,1,1634004000004
"City of Northville, Precinct 1",400,196,2,1635898000001
"Charter Township of Northville, Precinct 1",380,199,5,1635900000001
"Charter Township of Northville, Precinct 2",573,332,10,1635900000002
"Charter Township of Northville, Precinct 3",300,154,4,1635900000003
"Charter Township of Northville, Precinct 4",241,110,6,1635900000004
"Charter Township of Northville, Precinct 5",250,119,5,1635900000005
"Charter Township of Northville, Precinct 6",375,182,2,1635900000006
"Charter Township of Northville, Precinct 7",245,123,1,1635900000007
"Charter Township of Northville, Precinct 8",270,161,6,1635900000008
"Charter Township of Northville, Precinct 9",236,140,3,1635900000009
"Charter Township of Northville, Precinct 10",322,161,2,1635900000010
"City of Plymouth, Precinct 1",362,233,3,1636506000001
"City of Plymouth, Precinct 2",247,177,2,1636506000002
"City of Plymouth, Precinct 3",431,258,2,1636506000003
"City of Plymouth, Precinct 4",273,163,1,1636506000004
"Plymouth Township, Precinct 1",548,297,4,1636508000001
"Plymouth Township, Precinct 2",504,278,3,1636508000002
"Plymouth Township, Precinct 3",517,296,2,1636508000003
"Plymouth Township, Precinct 4",558,286,3,1636508000004
"Plymouth Township, Precinct 5",573,286,6,1636508000005
"Plymouth Township, Precinct 6",604,320,4,1636508000006
"City of Riverview, Precinct 1",315,125,2,1636888000001
"City of Riverview, Precinct 2",333,189,2,1636888000002
"City of Riverview, Precinct 3",427,219,1,1636888000003
"City of Rockwood, Precinct 1",258,144,1,1636918000001
"City of Rockwood, Precinct 2",422,167,1,1636918000002
"Township of Sumpter, Precinct 1",167,58,0,1637736000001
"Township of Sumpter, Precinct 2",287,134,1,1637736000002
"Township of Sumpter, Precinct 3",294,93,2,1637736000003
"Township of Sumpter, Precinct 4",287,80,1,1637736000004
"City of Trenton, Precinct 1",258,125,3,1638042000001
"City of Trenton, Precinct 2",589,256,2,1638042000002
"City of Trenton, Precinct 3",577,276,2,1638042000003
"City of Trenton, Precinct 4",513,244,0,1638042000004
"Van Buren Township, Precinct 1",336,215,2,1638166000001
"Van Buren Township, Precinct 2",464,299,3,1638166000002
"Van Buren Township, Precinct 3",343,248,5,1638166000003
"Van Buren Township, Precinct 4",410,324,4,1638166000004
"Van Buren Township, Precinct 5",402,299,6,1638166000005
"Van Buren Township, Precinct 6",477,330,3,1638166000006
"Van Buren Township, Precinct 7",115,67,0,1638166000007
"City of Woodhaven, Precinct 1",241,109,2,1638838000001
"City of Woodhaven, Precinct 2",357,168,1,1638838000002
"City of Woodhaven, Precinct 3",466,223,6,1638838000003
"City of Woodhaven, Precinct 4",176,91,0,1638838000004
