name,ballots,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in,id
"City of Allen Park, Precinct 1",202,60,5,88,0,1630138000001.0
"City of Allen Park, Precinct 2",513,142,20,195,0,1630138000002.0
"City of Allen Park, Precinct 3",695,158,29,302,1,1630138000003.0
"City of Allen Park, Precinct 4",530,160,19,188,0,1630138000004.0
"City of Allen Park, Precinct 5",506,132,27,207,0,1630138000005.0
"City of Allen Park, Precinct 6",692,170,28,280,0,1630138000006.0
"City of Allen Park, Precinct 7",591,136,15,254,1,1630138000007.0
"City of Allen Park, Precinct 8",215,37,7,89,0,1630138000008.0
"City of Belleville, Precinct 1",517,153,6,236,0,1630702000001.0
"Charter Township of Brownstown, Precinct 1",415,84,13,151,0,1631122000001.0
"Charter Township of Brownstown, Precinct 2",345,84,10,126,1,1631122000002.0
"Charter Township of Brownstown, Precinct 3",527,115,12,210,2,1631122000003.0
"Charter Township of Brownstown, Precinct 4",903,98,32,352,0,1631122000004.0
"Charter Township of Brownstown, Precinct 5",378,73,18,133,0,1631122000005.0
"Charter Township of Brownstown, Precinct 6",516,80,17,198,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",374,72,20,125,0,1631122000007.0
"Charter Township of Brownstown, Precinct 8",333,73,14,140,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",327,61,10,164,0,1631122000009.0
"Charter Township of Brownstown, Precinct 10",395,73,12,123,0,1631122000010.0
"Charter Township of Brownstown, Precinct 11",244,44,3,94,0,1631122000011.0
"Charter Township of Brownstown, Precinct 12",347,44,9,103,0,1631122000012.0
"Canton Township, Precinct 1",878,182,23,412,0,1631312000001.0
"Canton Township, Precinct 2",982,175,25,437,0,1631312000002.0
"Canton Township, Precinct 3",1073,282,29,429,0,1631312000003.0
"Canton Township, Precinct 4",844,246,24,338,0,1631312000004.0
"Canton Township, Precinct 5",595,145,18,256,0,1631312000005.0
"Canton Township, Precinct 6",315,71,7,148,0,1631312000006.0
"Canton Township, Precinct 7",800,243,15,311,0,1631312000007.0
"Canton Township, Precinct 8",710,255,17,236,0,1631312000008.0
"Canton Township, Precinct 9",721,167,12,303,0,1631312000009.0
"Canton Township, Precinct 10",696,177,18,286,0,1631312000010.0
"Canton Township, Precinct 11",518,140,17,216,0,1631312000011.0
"Canton Township, Precinct 12",954,203,23,391,0,1631312000012.0
"Canton Township, Precinct 13",955,235,20,382,0,1631312000013.0
"Canton Township, Precinct 14",1075,265,26,425,0,1631312000014.0
"Canton Township, Precinct 15",1173,296,25,439,0,1631312000015.0
"Canton Township, Precinct 16",881,305,20,267,0,1631312000016.0
"Canton Township, Precinct 17",877,361,22,299,0,1631312000017.0
"Canton Township, Precinct 18",941,317,19,302,0,1631312000018.0
"Canton Township, Precinct 19",788,183,20,268,0,1631312000019.0
"Canton Township, Precinct 20",809,143,20,252,0,1631312000020.0
"City of Dearborn, Precinct 1",59,35,1,14,0,1632100000001.0
"City of Dearborn, Precinct 2",74,47,2,6,0,1632100000002.0
"City of Dearborn, Precinct 3",109,59,2,29,0,1632100000003.0
"City of Dearborn, Precinct 4",81,39,3,20,0,1632100000004.0
"City of Dearborn, Precinct 6",83,54,2,17,0,1632100000006.0
"City of Dearborn, Precinct 7",102,71,0,14,0,1632100000007.0
"City of Dearborn, Precinct 8",84,47,3,10,0,1632100000008.0
"City of Dearborn, Precinct 9",65,35,3,16,0,1632100000009.0
"City of Dearborn, Precinct 10",87,51,2,18,0,1632100000010.0
"City of Dearborn, Precinct 11",50,34,0,6,0,1632100000011.0
"City of Dearborn, Precinct 12",87,50,2,19,0,1632100000012.0
"City of Dearborn, Precinct 13",174,34,11,89,0,1632100000013.0
"City of Dearborn, Precinct 15",102,57,2,22,0,1632100000015.0
"City of Dearborn, Precinct 16",124,69,1,26,0,1632100000016.0
"City of Dearborn, Precinct 17",134,72,4,34,0,1632100000017.0
"City of Dearborn, Precinct 18",135,56,1,50,0,1632100000018.0
"City of Dearborn, Precinct 19",82,61,1,13,0,1632100000019.0
"City of Dearborn, Precinct 20",42,33,2,4,0,1632100000020.0
"City of Dearborn, Precinct 21",41,23,0,2,0,1632100000021.0
"City of Dearborn, Precinct 22",323,113,14,114,1,1632100000022.0
"City of Dearborn, Precinct 24",181,68,11,62,0,1632100000024.0
"City of Dearborn, Precinct 25",294,72,10,108,0,1632100000025.0
"City of Dearborn, Precinct 26",235,67,7,87,0,1632100000026.0
"City of Dearborn, Precinct 27",240,82,5,88,0,1632100000027.0
"City of Dearborn, Precinct 28",131,47,3,37,0,1632100000028.0
"City of Dearborn, Precinct 29",221,66,6,87,0,1632100000029.0
"City of Dearborn, Precinct 31",329,119,22,106,0,1632100000031.0
"City of Dearborn, Precinct 32",195,81,6,55,0,1632100000032.0
"City of Dearborn, Precinct 33",202,81,9,58,0,1632100000033.0
"City of Dearborn, Precinct 34",221,74,7,83,0,1632100000034.0
"City of Dearborn, Precinct 35",352,133,16,123,1,1632100000035.0
"City of Dearborn, Precinct 37",253,81,11,94,0,1632100000037.0
"City of Dearborn, Precinct 38",244,80,10,92,0,1632100000038.0
"City of Dearborn, Precinct 40",151,65,2,49,0,1632100000040.0
"City of Dearborn, Precinct 41",260,89,8,92,0,1632100000041.0
"City of Dearborn, Precinct 42",409,126,26,174,0,1632100000042.0
"City of Dearborn, Precinct 44",245,88,10,90,0,1632100000044.0
"City of Dearborn, Precinct 45",221,84,16,77,0,1632100000045.0
"City of Dearborn, Precinct 46",247,83,7,98,0,1632100000046.0
"City of Dearborn, Precinct 47",328,95,7,136,0,1632100000047.0
"City of Dearborn, Precinct 49",270,86,15,93,0,1632100000049.0
"City of Dearborn, Precinct 50",184,53,8,72,0,1632100000050.0
"City of Dearborn Heights, Precinct 1",303,116,7,114,0,1632102000001.0
"City of Dearborn Heights, Precinct 2",335,121,8,114,0,1632102000002.0
"City of Dearborn Heights, Precinct 3",310,69,6,133,0,1632102000003.0
"City of Dearborn Heights, Precinct 4",475,120,10,163,0,1632102000004.0
"City of Dearborn Heights, Precinct 5",332,107,10,118,0,1632102000005.0
"City of Dearborn Heights, Precinct 6",331,94,11,114,0,1632102000006.0
"City of Dearborn Heights, Precinct 7",175,66,4,53,0,1632102000007.0
"City of Dearborn Heights, Precinct 8",287,90,9,101,0,1632102000008.0
"City of Dearborn Heights, Precinct 9",291,143,4,43,0,1632102000009.0
"City of Dearborn Heights, Precinct 10",374,154,9,112,0,1632102000010.0
"City of Dearborn Heights, Precinct 11",260,55,14,103,0,1632102000011.0
"City of Dearborn Heights, Precinct 12",405,111,5,149,0,1632102000012.0
"City of Dearborn Heights, Precinct 13",458,118,12,189,0,1632102000013.0
"City of Dearborn Heights, Precinct 14",271,62,16,95,0,1632102000014.0
"City of Dearborn Heights, Precinct 15",348,96,24,126,0,1632102000015.0
"City of Detroit, Precinct 1",45,13,3,18,0,1632200004001.0
"City of Detroit, Precinct 2",42,10,1,26,0,1632200004002.0
"City of Detroit, Precinct 4",17,6,0,8,0,1632200004004.0
"City of Detroit, Precinct 5",24,7,1,11,0,1632200004005.0
"City of Detroit, Precinct 6",31,7,1,18,0,1632200004006.0
"City of Detroit, Precinct 7",71,35,1,27,0,1632200004007.0
"City of Detroit, Precinct 8",51,31,1,14,0,1632200004008.0
"City of Detroit, Precinct 9",26,6,0,17,0,1632200004009.0
"City of Detroit, Precinct 10",6,0,0,5,0,1632200004010.0
"City of Detroit, Precinct 11",81,32,0,41,0,1632200004011.0
"City of Detroit, Precinct 12",52,14,1,31,0,1632200004012.0
"City of Detroit, Precinct 14",4,0,0,4,0,1632200004014.0
"City of Detroit, Precinct 15",30,5,0,22,0,1632200004015.0
"City of Detroit, Precinct 16",24,8,1,11,0,1632200004016.0
"City of Detroit, Precinct 18",27,9,1,16,0,1632200004018.0
"City of Detroit, Precinct 19",29,6,0,20,0,1632200004019.0
"City of Detroit, Precinct 20",52,21,2,24,0,1632200004020.0
"City of Detroit, Precinct 22",29,7,1,16,0,1632200004022.0
"City of Detroit, Precinct 23",82,39,0,37,0,1632200004023.0
"City of Detroit, Precinct 25",11,5,1,5,0,1632200004025.0
"City of Detroit, Precinct 26",6,1,0,4,0,1632200004026.0
"City of Detroit, Precinct 27",27,2,2,18,0,1632200004027.0
"City of Detroit, Precinct 29",20,4,0,15,0,1632200004029.0
"City of Detroit, Precinct 32",86,39,4,30,0,1632200004032.0
"City of Detroit, Precinct 33",60,24,2,31,0,1632200004033.0
"City of Detroit, Precinct 34",90,47,3,35,0,1632200004034.0
"City of Detroit, Precinct 35",44,5,3,35,0,1632200004035.0
"City of Detroit, Precinct 36",21,2,1,18,0,1632200004036.0
"City of Detroit, Precinct 38",28,8,0,15,0,1632200004038.0
"City of Detroit, Precinct 39",31,8,0,18,0,1632200004039.0
"City of Detroit, Precinct 40",25,6,0,15,0,1632200004040.0
"City of Detroit, Precinct 41",25,5,1,17,0,1632200004041.0
"City of Detroit, Precinct 43",36,11,0,20,0,1632200004043.0
"City of Detroit, Precinct 44",44,11,2,27,0,1632200004044.0
"City of Detroit, Precinct 45",20,7,1,10,0,1632200004045.0
"City of Detroit, Precinct 46",3,1,0,2,0,1632200004046.0
"City of Detroit, Precinct 47",62,9,0,43,0,1632200004047.0
"City of Detroit, Precinct 49",11,3,0,5,0,1632200004049.0
"City of Detroit, Precinct 50",41,7,0,30,0,1632200004050.0
"City of Detroit, Precinct 51",7,1,0,5,0,1632200004051.0
"City of Detroit, Precinct 52",21,3,2,13,0,1632200004052.0
"City of Detroit, Precinct 53",31,8,4,15,0,1632200004053.0
"City of Detroit, Precinct 55",21,3,0,12,0,1632200004055.0
"City of Detroit, Precinct 56",18,6,0,11,0,1632200004056.0
"City of Detroit, Precinct 59",0,0,0,0,0,1632200003059.0
"City of Detroit, Precinct 60",3,0,0,3,0,1632200007060.0
"City of Detroit, Precinct 61",49,14,0,26,0,1632200003061.0
"City of Detroit, Precinct 62",43,15,0,23,0,1632200003062.0
"City of Detroit, Precinct 64",21,5,0,12,0,1632200003064.0
"City of Detroit, Precinct 65",27,9,0,13,0,1632200003065.0
"City of Detroit, Precinct 66",12,4,1,6,0,1632200003066.0
"City of Detroit, Precinct 68",61,16,1,34,0,1632200003068.0
"City of Detroit, Precinct 69",0,0,0,0,0,1632200006069.0
"City of Detroit, Precinct 70",18,4,0,12,0,1632200003070.0
"City of Detroit, Precinct 71",9,6,0,1,0,1632200003071.0
"City of Detroit, Precinct 72",7,1,0,3,0,1632200003072.0
"City of Detroit, Precinct 73",17,4,0,7,0,1632200003073.0
"City of Detroit, Precinct 74",18,3,0,11,0,1632200003074.0
"City of Detroit, Precinct 75",35,7,1,19,0,1632200003075.0
"City of Detroit, Precinct 77",22,1,0,20,0,1632200003077.0
"City of Detroit, Precinct 78",13,6,0,5,0,1632200003078.0
"City of Detroit, Precinct 79",60,13,1,39,0,1632200003079.0
"City of Detroit, Precinct 80",18,6,0,12,0,1632200003080.0
"City of Detroit, Precinct 81",50,6,1,34,0,1632200003081.0
"City of Detroit, Precinct 82",23,11,0,11,0,1632200003082.0
"City of Detroit, Precinct 83",17,5,0,9,0,1632200003083.0
"City of Detroit, Precinct 84",53,15,1,33,0,1632200003084.0
"City of Detroit, Precinct 85",20,5,0,13,0,1632200003085.0
"City of Detroit, Precinct 86",32,4,1,23,0,1632200003086.0
"City of Detroit, Precinct 88",42,5,2,31,0,1632200003088.0
"City of Detroit, Precinct 89",16,15,0,1,0,1632200003089.0
"City of Detroit, Precinct 90",12,4,0,7,0,1632200003090.0
"City of Detroit, Precinct 91",28,24,1,1,0,1632200003091.0
"City of Detroit, Precinct 92",42,29,2,10,0,1632200003092.0
"City of Detroit, Precinct 93",14,6,0,8,0,1632200003093.0
"City of Detroit, Precinct 94",19,16,0,3,0,1632200003094.0
"City of Detroit, Precinct 95",27,9,0,15,0,1632200003095.0
"City of Detroit, Precinct 97",18,8,2,6,0,1632200003097.0
"City of Detroit, Precinct 98",30,19,0,8,0,1632200003098.0
"City of Detroit, Precinct 100",5,1,0,3,0,1632200003100.0
"City of Detroit, Precinct 101",14,2,1,8,0,1632200004101.0
"City of Detroit, Precinct 102",8,0,0,7,0,1632200003102.0
"City of Detroit, Precinct 103",22,2,2,18,0,1632200004103.0
"City of Detroit, Precinct 105",25,3,1,17,0,1632200004105.0
"City of Detroit, Precinct 107",4,0,0,3,0,1632200003107.0
"City of Detroit, Precinct 111",25,5,0,17,0,1632200004111.0
"City of Detroit, Precinct 112",36,9,2,21,0,1632200004112.0
"City of Detroit, Precinct 115",61,20,3,29,0,1632200004115.0
"City of Detroit, Precinct 116",44,8,0,32,0,1632200004116.0
"City of Detroit, Precinct 120",52,23,0,20,0,1632200005120.0
"City of Detroit, Precinct 121",44,9,0,25,0,1632200003121.0
"City of Detroit, Precinct 122",11,5,1,4,0,1632200005122.0
"City of Detroit, Precinct 123",7,4,0,2,0,1632200005123.0
"City of Detroit, Precinct 124",179,95,1,68,0,1632200005124.0
"City of Detroit, Precinct 125",139,49,4,76,1,1632200005125.0
"City of Detroit, Precinct 126",58,21,2,25,0,1632200005126.0
"City of Detroit, Precinct 128",33,19,1,9,0,1632200005128.0
"City of Detroit, Precinct 129",21,9,0,12,0,1632200005129.0
"City of Detroit, Precinct 130",15,3,0,9,0,1632200005130.0
"City of Detroit, Precinct 132",82,22,0,53,0,1632200005132.0
"City of Detroit, Precinct 133",107,59,1,43,0,1632200005133.0
"City of Detroit, Precinct 134",85,48,0,27,0,1632200005134.0
"City of Detroit, Precinct 135",42,17,0,20,0,1632200004135.0
"City of Detroit, Precinct 136",95,47,0,41,0,1632200005136.0
"City of Detroit, Precinct 137",22,10,1,5,0,1632200005137.0
"City of Detroit, Precinct 138",39,20,0,12,0,1632200005138.0
"City of Detroit, Precinct 139",42,7,0,31,0,1632200005139.0
"City of Detroit, Precinct 140",38,15,0,17,0,1632200005140.0
"City of Detroit, Precinct 143",39,19,0,13,0,1632200006143.0
"City of Detroit, Precinct 144",62,51,2,6,0,1632200006144.0
"City of Detroit, Precinct 145",22,11,0,9,0,1632200006145.0
"City of Detroit, Precinct 146",53,31,0,17,0,1632200006146.0
"City of Detroit, Precinct 147",28,13,1,10,0,1632200005147.0
"City of Detroit, Precinct 148",30,22,0,8,0,1632200006148.0
"City of Detroit, Precinct 150",52,29,1,18,0,1632200006150.0
"City of Detroit, Precinct 151",88,40,1,35,0,1632200006151.0
"City of Detroit, Precinct 156",19,0,0,14,0,1632200005156.0
"City of Detroit, Precinct 157",49,37,1,9,0,1632200006157.0
"City of Detroit, Precinct 158",97,63,1,29,0,1632200005158.0
"City of Detroit, Precinct 159",70,50,1,14,0,1632200005159.0
"City of Detroit, Precinct 161",76,43,1,26,0,1632200005161.0
"City of Detroit, Precinct 162",76,27,6,33,0,1632200005162.0
"City of Detroit, Precinct 164",12,4,0,6,0,1632200005164.0
"City of Detroit, Precinct 165",106,50,5,37,0,1632200005165.0
"City of Detroit, Precinct 166",4,1,1,2,0,1632200007166.0
"City of Detroit, Precinct 167",62,22,0,36,0,1632200005167.0
"City of Detroit, Precinct 168",57,23,0,27,0,1632200005168.0
"City of Detroit, Precinct 169",46,29,1,9,0,1632200005169.0
"City of Detroit, Precinct 172",27,6,1,17,0,1632200003172.0
"City of Detroit, Precinct 173",46,9,1,28,1,1632200003173.0
