name,ballots,Jocelyn Benson,Christopher Robert Swanson,Write-in,id
"City of Allen Park, Precinct 1",202,132,15,0,1630138000001.0
"City of Allen Park, Precinct 2",513,298,56,0,1630138000002.0
"City of Allen Park, Precinct 3",695,430,53,2,1630138000003.0
"City of Allen Park, Precinct 4",530,328,38,0,1630138000004.0
"City of Allen Park, Precinct 5",506,318,42,1,1630138000005.0
"City of Allen Park, Precinct 6",692,411,56,0,1630138000006.0
"City of Allen Park, Precinct 7",591,339,57,4,1630138000007.0
"City of Allen Park, Precinct 8",215,120,15,0,1630138000008.0
"City of Belleville, Precinct 1",517,342,49,0,1630702000001.0
"Charter Township of Brownstown, Precinct 1",415,218,26,1,1631122000001.0
"Charter Township of Brownstown, Precinct 2",345,194,25,0,1631122000002.0
"Charter Township of Brownstown, Precinct 3",527,320,24,0,1631122000003.0
"Charter Township of Brownstown, Precinct 4",903,448,32,1,1631122000004.0
"Charter Township of Brownstown, Precinct 5",378,199,21,1,1631122000005.0
"Charter Township of Brownstown, Precinct 6",516,265,30,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",374,181,32,1,1631122000007.0
"Charter Township of Brownstown, Precinct 8",333,206,20,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",327,208,26,0,1631122000009.0
"Charter Township of Brownstown, Precinct 10",395,191,15,1,1631122000010.0
"Charter Township of Brownstown, Precinct 11",244,119,24,0,1631122000011.0
"Charter Township of Brownstown, Precinct 12",347,140,13,0,1631122000012.0
"Canton Township, Precinct 1",878,564,50,1,1631312000001.0
"Canton Township, Precinct 2",982,575,52,0,1631312000002.0
"Canton Township, Precinct 3",1073,641,78,1,1631312000003.0
"Canton Township, Precinct 4",844,530,70,0,1631312000004.0
"Canton Township, Precinct 5",595,360,49,0,1631312000005.0
"Canton Township, Precinct 6",315,199,26,0,1631312000006.0
"Canton Township, Precinct 7",800,485,67,0,1631312000007.0
"Canton Township, Precinct 8",710,447,51,1,1631312000008.0
"Canton Township, Precinct 9",721,412,56,0,1631312000009.0
"Canton Township, Precinct 10",696,423,47,0,1631312000010.0
"Canton Township, Precinct 11",518,322,45,0,1631312000011.0
"Canton Township, Precinct 12",954,565,40,0,1631312000012.0
"Canton Township, Precinct 13",955,555,75,0,1631312000013.0
"Canton Township, Precinct 14",1075,656,52,1,1631312000014.0
"Canton Township, Precinct 15",1173,674,83,0,1631312000015.0
"Canton Township, Precinct 16",881,522,53,0,1631312000016.0
"Canton Township, Precinct 17",877,567,83,2,1631312000017.0
"Canton Township, Precinct 18",941,566,59,0,1631312000018.0
"Canton Township, Precinct 19",788,397,60,0,1631312000019.0
"Canton Township, Precinct 20",809,374,37,1,1631312000020.0
"City of Dearborn, Precinct 1",59,34,14,0,1632100000001.0
"City of Dearborn, Precinct 2",74,33,14,0,1632100000002.0
"City of Dearborn, Precinct 3",109,65,23,0,1632100000003.0
"City of Dearborn, Precinct 4",81,44,12,0,1632100000004.0
"City of Dearborn, Precinct 6",83,50,17,0,1632100000006.0
"City of Dearborn, Precinct 7",102,56,16,0,1632100000007.0
"City of Dearborn, Precinct 8",84,42,13,1,1632100000008.0
"City of Dearborn, Precinct 9",65,40,11,0,1632100000009.0
"City of Dearborn, Precinct 10",87,46,14,3,1632100000010.0
"City of Dearborn, Precinct 11",50,21,13,0,1632100000011.0
"City of Dearborn, Precinct 12",87,53,13,1,1632100000012.0
"City of Dearborn, Precinct 13",174,131,4,0,1632100000013.0
"City of Dearborn, Precinct 15",102,55,17,0,1632100000015.0
"City of Dearborn, Precinct 16",124,57,26,1,1632100000016.0
"City of Dearborn, Precinct 17",134,87,11,0,1632100000017.0
"City of Dearborn, Precinct 18",135,76,23,0,1632100000018.0
"City of Dearborn, Precinct 19",82,44,25,0,1632100000019.0
"City of Dearborn, Precinct 20",42,25,12,0,1632100000020.0
"City of Dearborn, Precinct 21",41,19,6,0,1632100000021.0
"City of Dearborn, Precinct 22",323,199,27,2,1632100000022.0
"City of Dearborn, Precinct 24",181,125,15,0,1632100000024.0
"City of Dearborn, Precinct 25",294,166,17,0,1632100000025.0
"City of Dearborn, Precinct 26",235,137,20,0,1632100000026.0
"City of Dearborn, Precinct 27",240,152,20,0,1632100000027.0
"City of Dearborn, Precinct 28",131,73,12,0,1632100000028.0
"City of Dearborn, Precinct 29",221,132,21,0,1632100000029.0
"City of Dearborn, Precinct 31",329,204,29,0,1632100000031.0
"City of Dearborn, Precinct 32",195,121,12,1,1632100000032.0
"City of Dearborn, Precinct 33",202,108,19,3,1632100000033.0
"City of Dearborn, Precinct 34",221,142,19,1,1632100000034.0
"City of Dearborn, Precinct 35",352,232,36,2,1632100000035.0
"City of Dearborn, Precinct 37",253,163,22,0,1632100000037.0
"City of Dearborn, Precinct 38",244,155,20,0,1632100000038.0
"City of Dearborn, Precinct 40",151,86,26,1,1632100000040.0
"City of Dearborn, Precinct 41",260,164,21,0,1632100000041.0
"City of Dearborn, Precinct 42",409,287,34,0,1632100000042.0
"City of Dearborn, Precinct 44",245,163,19,0,1632100000044.0
"City of Dearborn, Precinct 45",221,160,12,0,1632100000045.0
"City of Dearborn, Precinct 46",247,159,26,0,1632100000046.0
"City of Dearborn, Precinct 47",328,203,33,2,1632100000047.0
"City of Dearborn, Precinct 49",270,171,20,0,1632100000049.0
"City of Dearborn, Precinct 50",184,117,12,0,1632100000050.0
"City of Dearborn Heights, Precinct 1",303,192,35,0,1632102000001.0
"City of Dearborn Heights, Precinct 2",335,205,32,0,1632102000002.0
"City of Dearborn Heights, Precinct 3",310,181,23,0,1632102000003.0
"City of Dearborn Heights, Precinct 4",475,247,37,0,1632102000004.0
"City of Dearborn Heights, Precinct 5",332,187,47,0,1632102000005.0
"City of Dearborn Heights, Precinct 6",331,188,25,0,1632102000006.0
"City of Dearborn Heights, Precinct 7",175,95,21,0,1632102000007.0
"City of Dearborn Heights, Precinct 8",287,159,32,0,1632102000008.0
"City of Dearborn Heights, Precinct 9",291,106,52,0,1632102000009.0
"City of Dearborn Heights, Precinct 10",374,211,42,0,1632102000010.0
"City of Dearborn Heights, Precinct 11",260,145,20,0,1632102000011.0
"City of Dearborn Heights, Precinct 12",405,232,32,0,1632102000012.0
"City of Dearborn Heights, Precinct 13",458,267,47,0,1632102000013.0
"City of Dearborn Heights, Precinct 14",271,139,26,0,1632102000014.0
"City of Dearborn Heights, Precinct 15",348,225,19,0,1632102000015.0
"City of Detroit, Precinct 1",45,25,4,0,1632200004001.0
"City of Detroit, Precinct 2",42,35,2,0,1632200004002.0
"City of Detroit, Precinct 4",17,12,2,0,1632200004004.0
"City of Detroit, Precinct 5",24,18,1,0,1632200004005.0
"City of Detroit, Precinct 6",31,26,0,0,1632200004006.0
"City of Detroit, Precinct 7",71,58,4,1,1632200004007.0
"City of Detroit, Precinct 8",51,37,7,0,1632200004008.0
"City of Detroit, Precinct 9",26,19,3,0,1632200004009.0
"City of Detroit, Precinct 10",6,5,0,0,1632200004010.0
"City of Detroit, Precinct 11",81,63,9,0,1632200004011.0
"City of Detroit, Precinct 12",52,44,2,0,1632200004012.0
"City of Detroit, Precinct 14",4,4,0,0,1632200004014.0
"City of Detroit, Precinct 15",30,26,1,0,1632200004015.0
"City of Detroit, Precinct 16",24,18,1,0,1632200004016.0
"City of Detroit, Precinct 18",27,23,1,0,1632200004018.0
