name,ballots,Jocelyn Benson,Christopher Robert Swanson,Write-in,id
"City of Allen Park, Precinct 1",459,241,80,1,1630138000001.0
"City of Allen Park, Precinct 2",988,528,136,2,1630138000002.0
"City of Allen Park, Precinct 3",1296,719,130,7,1630138000003.0
"City of Allen Park, Precinct 4",982,550,116,2,1630138000004.0
"City of Allen Park, Precinct 5",954,551,103,2,1630138000005.0
"City of Allen Park, Precinct 6",1229,663,136,3,1630138000006.0
"City of Allen Park, Precinct 7",1192,625,143,4,1630138000007.0
"City of Allen Park, Precinct 8",425,223,42,1,1630138000008.0
"City of Belleville, Precinct 1",981,574,115,2,1630702000001.0
"Charter Township of Brownstown, Precinct 1",685,341,57,2,1631122000001.0
"Charter Township of Brownstown, Precinct 2",574,326,42,1,1631122000002.0
"Charter Township of Brownstown, Precinct 3",855,478,67,1,1631122000003.0
"Charter Township of Brownstown, Precinct 4",1236,597,63,4,1631122000004.0
"Charter Township of Brownstown, Precinct 5",636,327,55,4,1631122000005.0
"Charter Township of Brownstown, Precinct 6",806,392,67,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",616,279,59,2,1631122000007.0
"Charter Township of Brownstown, Precinct 8",652,343,61,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",578,329,65,1,1631122000009.0
"Charter Township of Brownstown, Precinct 10",696,348,48,3,1631122000010.0
"Charter Township of Brownstown, Precinct 11",473,185,54,1,1631122000011.0
"Charter Township of Brownstown, Precinct 12",614,264,42,0,1631122000012.0
"Canton Township, Precinct 1",1246,784,102,3,1631312000001.0
"Canton Township, Precinct 2",1438,832,119,1,1631312000002.0
"Canton Township, Precinct 3",1757,979,258,7,1631312000003.0
"Canton Township, Precinct 4",1374,818,164,8,1631312000004.0
"Canton Township, Precinct 5",997,576,122,3,1631312000005.0
"Canton Township, Precinct 6",571,345,69,2,1631312000006.0
"Canton Township, Precinct 7",1370,801,173,5,1631312000007.0
"Canton Township, Precinct 8",1421,802,249,12,1631312000008.0
"Canton Township, Precinct 9",1181,653,154,5,1631312000009.0
"Canton Township, Precinct 10",1130,659,120,2,1631312000010.0
"Canton Township, Precinct 11",882,536,89,2,1631312000011.0
