name,ballots,T. P. Nykoriak,Write-in,id
"City of Detroit, Precinct 238",144,1,0,1632200002238
"City of Detroit, Precinct 239",154,3,0,1632200002239
"City of Detroit, Precinct 25",100,1,0,1632200004025
"City of Detroit, Precinct 259",175,3,0,1632200002259
"City of Detroit, Precinct 26",66,1,0,1632200004026
"City of Detroit, Precinct 260",174,2,0,1632200002260
"City of Detroit, Precinct 27",147,2,0,1632200004027
"City of Detroit, Precinct 29",72,0,0,1632200004029
"City of Detroit, Precinct 32",377,9,0,1632200004032
"City of Detroit, Precinct 33",203,6,0,1632200004033
"City of Detroit, Precinct 34",368,8,4,1632200004034
"City of Detroit, Precinct 35",166,1,0,1632200004035
"City of Detroit, Precinct 36",132,0,0,1632200004036
"City of Detroit, Precinct 360",9,0,0,1632200006360
"City of Detroit, Precinct 38",151,1,1,1632200004038
"City of Detroit, Precinct 386",171,1,0,1632200002386
"City of Detroit, Precinct 387",97,1,0,1632200002387
"City of Detroit, Precinct 39",137,1,0,1632200004039
"City of Detroit, Precinct 390",91,0,1,1632200002390
"City of Detroit, Precinct 396",168,0,0,1632200007396
"City of Detroit, Precinct 398",158,0,0,1632200007398
"City of Detroit, Precinct 399",159,2,0,1632200007399
"City of Detroit, Precinct 4",76,2,0,1632200004004
"City of Detroit, Precinct 40",107,2,0,1632200004040
"City of Detroit, Precinct 400",143,1,0,1632200007400
"City of Detroit, Precinct 402",83,1,0,1632200002402
"City of Detroit, Precinct 405",111,0,1,1632200007405
"City of Detroit, Precinct 409",137,2,0,1632200007409
"City of Detroit, Precinct 41",108,1,0,1632200004041
"City of Detroit, Precinct 414",71,1,0,1632200007414
"City of Detroit, Precinct 415",158,0,0,1632200007415
"City of Detroit, Precinct 416",58,0,0,1632200006416
"City of Detroit, Precinct 417",50,1,0,1632200006417
"City of Detroit, Precinct 418",133,2,0,1632200006418
"City of Detroit, Precinct 419",141,0,0,1632200006419
"City of Detroit, Precinct 420",82,0,0,1632200006420
"City of Detroit, Precinct 421",23,0,0,1632200006421
"City of Detroit, Precinct 422",89,3,0,1632200006422
"City of Detroit, Precinct 423",82,2,0,1632200006423
"City of Detroit, Precinct 424",47,7,0,1632200006424
"City of Detroit, Precinct 425",121,6,0,1632200006425
"City of Detroit, Precinct 426",162,1,0,1632200005426
"City of Detroit, Precinct 428",160,1,0,1632200005428
"City of Detroit, Precinct 429",95,1,0,1632200005429
"City of Detroit, Precinct 43",225,1,0,1632200004043
"City of Detroit, Precinct 430",157,2,2,1632200005430
"City of Detroit, Precinct 432",145,2,0,1632200005432
"City of Detroit, Precinct 433",99,1,0,1632200005433
"City of Detroit, Precinct 434",82,0,1,1632200005434
"City of Detroit, Precinct 435",37,0,0,1632200005435
"City of Detroit, Precinct 436",223,6,0,1632200005436
"City of Detroit, Precinct 437",98,0,0,1632200005437
"City of Detroit, Precinct 438",91,1,0,1632200005438
"City of Detroit, Precinct 439",104,2,0,1632200005439
"City of Detroit, Precinct 44",180,1,0,1632200004044
"City of Detroit, Precinct 440",46,0,0,1632200005440
"City of Detroit, Precinct 441",178,3,0,1632200005441
"City of Detroit, Precinct 442",264,3,0,1632200005442
"City of Detroit, Precinct 443",4,0,0,1632200005443
"City of Detroit, Precinct 444",0,0,0,1632200006444
"City of Detroit, Precinct 446",105,0,0,1632200005446
"City of Detroit, Precinct 447",110,2,0,1632200005447
"City of Detroit, Precinct 448",70,2,0,1632200005448
"City of Detroit, Precinct 449",102,3,0,1632200005449
"City of Detroit, Precinct 45",126,3,0,1632200004045
"City of Detroit, Precinct 450",0,0,0,1632200005450
"City of Detroit, Precinct 452",60,2,0,1632200005452
"City of Detroit, Precinct 453",82,0,1,1632200006453
"City of Detroit, Precinct 457",89,1,0,1632200006457
"City of Detroit, Precinct 458",70,1,0,1632200006458
"City of Detroit, Precinct 46",86,0,0,1632200004046
"City of Detroit, Precinct 460",90,2,1,1632200006460
"City of Detroit, Precinct 461",343,11,1,1632200006461
"City of Detroit, Precinct 462",148,3,0,1632200006462
"City of Detroit, Precinct 464",238,9,0,1632200006464
"City of Detroit, Precinct 466",202,4,0,1632200006466
"City of Detroit, Precinct 47",255,3,0,1632200004047
"City of Detroit, Precinct 470",135,4,0,1632200006470
"City of Detroit, Precinct 471",86,2,1,1632200006471
"City of Detroit, Precinct 472",100,7,0,1632200006472
"City of Detroit, Precinct 473",152,12,1,1632200006473
"City of Detroit, Precinct 474",65,6,1,1632200006474
"City of Detroit, Precinct 475",59,3,0,1632200006475
"City of Detroit, Precinct 477",177,21,0,1632200006477
"City of Detroit, Precinct 479",50,7,0,1632200006479
"City of Detroit, Precinct 480",108,5,0,1632200006480
"City of Detroit, Precinct 481",151,7,0,1632200006481
"City of Detroit, Precinct 482",164,1,0,1632200006482
"City of Detroit, Precinct 483",203,2,0,1632200006483
"City of Detroit, Precinct 484",158,4,0,1632200006484
"City of Detroit, Precinct 485",170,0,0,1632200006485
"City of Detroit, Precinct 49",56,2,0,1632200004049
"City of Detroit, Precinct 490",11,0,0,1632200002490
"City of Detroit, Precinct 491",191,2,0,1632200004491
"City of Detroit, Precinct 493",155,2,0,1632200005493
"City of Detroit, Precinct 496",253,4,0,1632200005496
"City of Detroit, Precinct 497",107,1,0,1632200005497
"City of Detroit, Precinct 5",188,1,0,1632200004005
"City of Detroit, Precinct 50",196,4,0,1632200004050
"City of Detroit, Precinct 500",87,1,0,1632200006500
"City of Detroit, Precinct 502",105,3,0,1632200004502
"City of Detroit, Precinct 51",78,0,0,1632200004051
"City of Detroit, Precinct 52",123,1,0,1632200004052
"City of Detroit, Precinct 53",170,3,0,1632200004053
"City of Detroit, Precinct 55",147,2,1,1632200004055
"City of Detroit, Precinct 56",93,3,0,1632200004056
"City of Detroit, Precinct 59",0,0,0,1632200003059
"City of Detroit, Precinct 6",191,0,0,1632200004006
"City of Detroit, Precinct 61",174,1,0,1632200003061
"City of Detroit, Precinct 62",209,4,0,1632200003062
"City of Detroit, Precinct 64",84,1,0,1632200003064
"City of Detroit, Precinct 65",201,5,0,1632200003065
"City of Detroit, Precinct 66",77,2,0,1632200003066
"City of Detroit, Precinct 68",355,2,0,1632200003068
"City of Detroit, Precinct 69",12,1,0,1632200006069
"City of Detroit, Precinct 7",324,15,0,1632200004007
"City of Detroit, Precinct 70",87,1,0,1632200003070
"City of Detroit, Precinct 71",93,6,0,1632200003071
"City of Detroit, Precinct 72",81,6,0,1632200003072
"City of Detroit, Precinct 73",79,0,0,1632200003073
"City of Detroit, Precinct 74",90,3,0,1632200003074
"City of Detroit, Precinct 75",171,3,0,1632200003075
"City of Detroit, Precinct 77",141,5,0,1632200003077
"City of Detroit, Precinct 78",83,0,0,1632200003078
"City of Detroit, Precinct 79",217,1,0,1632200003079
"City of Detroit, Precinct 8",222,7,0,1632200004008
"City of Detroit, Precinct 80",111,1,0,1632200003080
"City of Detroit, Precinct 81",204,5,0,1632200003081
"City of Detroit, Precinct 82",129,6,0,1632200003082
"City of Detroit, Precinct 83",136,1,0,1632200003083
"City of Detroit, Precinct 84",186,1,0,1632200003084
"City of Detroit, Precinct 85",73,2,1,1632200003085
"City of Detroit, Precinct 86",171,3,0,1632200003086
"City of Detroit, Precinct 88",186,2,0,1632200003088
