name,ballots,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in,id
"City of Allen Park, Precinct 1",27,1,2,4,0,0,1630138000001.0
"City of Allen Park, Precinct 2",68,1,8,8,0,0,1630138000002.0
"City of Allen Park, Precinct 3",81,3,7,16,0,0,1630138000003.0
"City of Allen Park, Precinct 4",77,3,9,9,0,0,1630138000004.0
"City of Allen Park, Precinct 5",71,4,7,10,0,0,1630138000005.0
"City of Allen Park, Precinct 6",86,3,9,8,0,0,1630138000006.0
"City of Allen Park, Precinct 7",84,6,10,6,2,0,1630138000007.0
"City of Allen Park, Precinct 8",20,1,1,0,0,0,1630138000008.0
"City of Belleville, Precinct 1",53,6,5,7,1,0,1630702000001.0
"Charter Township of Brownstown, Precinct 1",86,3,9,21,0,0,1631122000001.0
"Charter Township of Brownstown, Precinct 2",39,1,4,5,0,0,1631122000002.0
"Charter Township of Brownstown, Precinct 3",43,2,7,2,0,0,1631122000003.0
"Charter Township of Brownstown, Precinct 4",49,0,11,8,0,0,1631122000004.0
"Charter Township of Brownstown, Precinct 5",28,0,2,7,0,0,1631122000005.0
"Charter Township of Brownstown, Precinct 6",24,0,5,4,0,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",27,1,1,3,0,0,1631122000007.0
"Charter Township of Brownstown, Precinct 8",36,1,8,1,0,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",52,0,10,3,0,0,1631122000009.0
"Charter Township of Brownstown, Precinct 10",41,0,10,4,0,0,1631122000010.0
"Charter Township of Brownstown, Precinct 11",19,0,7,3,0,0,1631122000011.0
"Charter Township of Brownstown, Precinct 12",27,1,7,1,0,0,1631122000012.0
"Canton Township, Precinct 1",69,0,6,5,0,0,1631312000001.0
"Canton Township, Precinct 2",100,3,10,1,0,0,1631312000002.0
"Canton Township, Precinct 3",161,0,16,4,0,0,1631312000003.0
"Canton Township, Precinct 4",119,1,15,7,0,0,1631312000004.0
"Canton Township, Precinct 5",84,2,5,4,0,0,1631312000005.0
"Canton Township, Precinct 6",35,0,1,4,0,0,1631312000006.0
"Canton Township, Precinct 7",109,0,16,7,0,0,1631312000007.0
"Canton Township, Precinct 8",194,1,8,3,0,0,1631312000008.0
"Canton Township, Precinct 9",77,1,10,4,0,0,1631312000009.0
"Canton Township, Precinct 10",58,1,4,3,0,0,1631312000010.0
"Canton Township, Precinct 11",45,0,2,6,0,0,1631312000011.0
"Canton Township, Precinct 12",64,3,9,5,0,0,1631312000012.0
"Canton Township, Precinct 13",105,2,9,7,0,0,1631312000013.0
"Canton Township, Precinct 14",100,1,25,5,0,0,1631312000014.0
"Canton Township, Precinct 15",117,1,14,6,0,0,1631312000015.0
"Canton Township, Precinct 16",202,2,4,1,0,0,1631312000016.0
"Canton Township, Precinct 17",242,2,21,5,0,0,1631312000017.0
"Canton Township, Precinct 18",239,0,21,5,0,0,1631312000018.0
"Canton Township, Precinct 19",146,0,13,5,2,0,1631312000019.0
"Canton Township, Precinct 20",94,4,13,9,0,0,1631312000020.0
"City of Dearborn, Precinct 1",60,0,0,0,0,0,1632100000001.0
"City of Dearborn, Precinct 2",87,0,0,0,0,0,1632100000002.0
"City of Dearborn, Precinct 3",101,0,0,2,0,0,1632100000003.0
"City of Dearborn, Precinct 4",79,0,0,0,0,0,1632100000004.0
"City of Dearborn, Precinct 6",89,0,2,0,0,0,1632100000006.0
"City of Dearborn, Precinct 7",104,0,0,0,0,0,1632100000007.0
"City of Dearborn, Precinct 8",87,0,1,0,0,0,1632100000008.0
"City of Dearborn, Precinct 9",83,0,0,0,0,0,1632100000009.0
"City of Dearborn, Precinct 10",70,0,0,0,0,0,1632100000010.0
"City of Dearborn, Precinct 11",55,1,2,0,0,0,1632100000011.0
"City of Dearborn, Precinct 12",65,0,0,0,0,0,1632100000012.0
"City of Dearborn, Precinct 13",1,0,0,0,0,0,1632100000013.0
"City of Dearborn, Precinct 15",82,0,0,0,0,0,1632100000015.0
"City of Dearborn, Precinct 16",67,0,0,0,0,0,1632100000016.0
"City of Dearborn, Precinct 17",111,1,1,2,0,0,1632100000017.0
"City of Dearborn, Precinct 18",104,0,0,1,0,0,1632100000018.0
"City of Dearborn, Precinct 19",74,0,0,0,0,0,1632100000019.0
"City of Dearborn, Precinct 20",47,0,0,0,0,0,1632100000020.0
"City of Dearborn, Precinct 21",46,0,0,0,0,0,1632100000021.0
"City of Dearborn, Precinct 22",93,0,1,2,0,0,1632100000022.0
"City of Dearborn, Precinct 24",40,1,3,3,0,0,1632100000024.0
"City of Dearborn, Precinct 25",67,1,2,2,0,0,1632100000025.0
"City of Dearborn, Precinct 26",63,3,5,2,1,0,1632100000026.0
"City of Dearborn, Precinct 27",53,1,7,2,0,0,1632100000027.0
"City of Dearborn, Precinct 28",41,1,2,2,0,0,1632100000028.0
"City of Dearborn, Precinct 29",49,0,4,9,0,0,1632100000029.0
"City of Dearborn, Precinct 31",79,1,5,4,0,0,1632100000031.0
"City of Dearborn, Precinct 32",66,0,9,3,0,0,1632100000032.0
"City of Dearborn, Precinct 33",84,0,3,3,0,0,1632100000033.0
"City of Dearborn, Precinct 34",59,0,0,4,0,0,1632100000034.0
"City of Dearborn, Precinct 35",103,1,4,4,0,0,1632100000035.0
"City of Dearborn, Precinct 37",72,0,4,0,0,0,1632100000037.0
"City of Dearborn, Precinct 38",58,1,6,2,0,0,1632100000038.0
"City of Dearborn, Precinct 40",68,3,2,3,0,0,1632100000040.0
"City of Dearborn, Precinct 41",52,0,2,2,0,0,1632100000041.0
"City of Dearborn, Precinct 42",127,0,6,8,0,0,1632100000042.0
"City of Dearborn, Precinct 44",52,0,3,3,0,0,1632100000044.0
"City of Dearborn, Precinct 45",75,0,5,5,0,0,1632100000045.0
"City of Dearborn, Precinct 46",37,0,1,2,0,0,1632100000046.0
"City of Dearborn, Precinct 47",61,0,9,3,0,0,1632100000047.0
"City of Dearborn, Precinct 49",51,0,3,0,0,0,1632100000049.0
"City of Dearborn, Precinct 50",33,0,2,2,0,0,1632100000050.0
"City of Dearborn Heights, Precinct 1",77,0,0,0,0,0,1632102000001.0
"City of Dearborn Heights, Precinct 2",83,0,0,0,0,0,1632102000002.0
"City of Dearborn Heights, Precinct 3",50,1,4,3,0,0,1632102000003.0
"City of Dearborn Heights, Precinct 4",53,1,1,4,0,0,1632102000004.0
"City of Dearborn Heights, Precinct 5",87,0,2,5,0,0,1632102000005.0
"City of Dearborn Heights, Precinct 6",71,0,0,1,0,0,1632102000006.0
"City of Dearborn Heights, Precinct 7",47,0,0,5,0,0,1632102000007.0
"City of Dearborn Heights, Precinct 8",57,0,0,2,0,0,1632102000008.0
"City of Dearborn Heights, Precinct 9",136,0,2,1,1,0,1632102000009.0
"City of Dearborn Heights, Precinct 10",194,0,1,0,0,0,1632102000010.0
"City of Dearborn Heights, Precinct 11",43,0,1,1,0,0,1632102000011.0
"City of Dearborn Heights, Precinct 12",21,1,7,0,0,0,1632102000012.0
"City of Dearborn Heights, Precinct 13",39,1,6,0,0,0,1632102000013.0
"City of Dearborn Heights, Precinct 14",18,0,1,0,0,1,1632102000014.0
"City of Dearborn Heights, Precinct 15",31,0,1,7,0,0,1632102000015.0
"City of Detroit, Precinct 1",9,0,0,0,0,0,1632200004001.0
"City of Detroit, Precinct 2",7,0,0,0,0,0,1632200004002.0
"City of Detroit, Precinct 4",7,0,0,0,0,0,1632200004004.0
"City of Detroit, Precinct 5",1,0,0,0,0,0,1632200004005.0
"City of Detroit, Precinct 6",8,0,0,0,0,0,1632200004006.0
"City of Detroit, Precinct 7",29,0,2,0,0,0,1632200004007.0
"City of Detroit, Precinct 8",12,0,0,1,0,0,1632200004008.0
"City of Detroit, Precinct 9",11,0,0,0,0,0,1632200004009.0
