name,ballots,Donavan McKinney,Shri Thanedar,Write-in,id
"City of Allen Park, Precinct 1",202,51,95,1,1630138000001
"City of Allen Park, Precinct 2",513,137,219,0,1630138000002
"City of Allen Park, Precinct 3",695,152,326,2,1630138000003
"City of Allen Park, Precinct 4",530,149,206,0,1630138000004
"City of Allen Park, Precinct 5",506,124,234,2,1630138000005
"City of Allen Park, Precinct 6",692,176,287,1,1630138000006
"City of Allen Park, Precinct 7",591,145,240,4,1630138000007
"City of Allen Park, Precinct 8",215,35,98,0,1630138000008
"City of Dearborn Heights, Precinct 11",131,33,41,0,1632102000011
"City of Dearborn Heights, Precinct 12",405,90,164,0,1632102000012
"City of Dearborn Heights, Precinct 13",458,110,194,0,1632102000013
"City of Dearborn Heights, Precinct 14",271,61,102,0,1632102000014
"City of Dearborn Heights, Precinct 15",348,86,154,0,1632102000015
"City of Detroit, Precinct 1",45,19,14,0,1632200004001
"City of Detroit, Precinct 2",42,20,15,0,1632200004002
"City of Detroit, Precinct 4",17,6,7,1,1632200004004
"City of Detroit, Precinct 5",24,9,10,0,1632200004005
"City of Detroit, Precinct 6",31,14,10,0,1632200004006
"City of Detroit, Precinct 7",71,36,24,0,1632200004007
"City of Detroit, Precinct 8",51,37,9,0,1632200004008
"City of Detroit, Precinct 9",26,10,14,0,1632200004009
"City of Detroit, Precinct 10",6,1,4,0,1632200004010
"City of Detroit, Precinct 11",81,48,21,1,1632200004011
"City of Detroit, Precinct 12",52,17,25,1,1632200004012
"City of Detroit, Precinct 14",4,2,2,0,1632200004014
"City of Detroit, Precinct 15",30,12,15,0,1632200004015
"City of Detroit, Precinct 16",24,6,10,1,1632200004016
"City of Detroit, Precinct 18",27,9,13,1,1632200004018
"City of Detroit, Precinct 19",29,13,12,0,1632200004019
"City of Detroit, Precinct 20",52,27,20,0,1632200004020
"City of Detroit, Precinct 22",29,5,19,0,1632200004022
"City of Detroit, Precinct 23",82,40,35,0,1632200004023
"City of Detroit, Precinct 25",11,4,6,0,1632200004025
"City of Detroit, Precinct 26",6,0,5,0,1632200004026
"City of Detroit, Precinct 27",27,6,14,1,1632200004027
