name,ballots,T. P. Nykoriak,Write-in,id
"City of Detroit, Precinct 137",55,1,0,1632200005137
"City of Detroit, Precinct 138",122,6,0,1632200005138
"City of Detroit, Precinct 139",73,0,0,1632200005139
"City of Detroit, Precinct 140",89,1,1,1632200005140
"City of Detroit, Precinct 143",93,3,0,1632200006143
"City of Detroit, Precinct 144",218,6,0,1632200006144
"City of Detroit, Precinct 145",91,4,0,1632200006145
"City of Detroit, Precinct 146",194,6,0,1632200006146
"City of Detroit, Precinct 147",120,7,0,1632200005147
"City of Detroit, Precinct 148",100,2,0,1632200006148
"City of Detroit, Precinct 150",171,2,0,1632200006150
"City of Detroit, Precinct 151",240,2,0,1632200006151
"City of Detroit, Precinct 156",63,1,0,1632200005156
"City of Detroit, Precinct 157",158,6,0,1632200006157
"City of Detroit, Precinct 158",247,5,0,1632200005158
"City of Detroit, Precinct 159",139,2,0,1632200005159
"City of Detroit, Precinct 161",252,4,1,1632200005161
"City of Detroit, Precinct 162",209,1,0,1632200005162
"City of Detroit, Precinct 164",52,0,0,1632200005164
"City of Detroit, Precinct 165",223,3,0,1632200005165
"City of Detroit, Precinct 166",21,0,0,1632200007166
"City of Detroit, Precinct 167",248,1,0,1632200005167
"City of Detroit, Precinct 168",222,1,0,1632200005168
"City of Detroit, Precinct 169",182,2,0,1632200005169
"City of Detroit, Precinct 172",57,2,0,1632200003172
"City of Detroit, Precinct 173",81,4,0,1632200003173
"City of Detroit, Precinct 174",74,4,0,1632200003174
"City of Detroit, Precinct 175",31,0,0,1632200003175
"City of Detroit, Precinct 176",50,0,0,1632200003176
"City of Detroit, Precinct 177",84,1,0,1632200003177
"City of Detroit, Precinct 178",49,0,0,1632200003178
"City of Detroit, Precinct 180",80,1,0,1632200003180
"City of Detroit, Precinct 182",120,3,0,1632200003182
"City of Detroit, Precinct 183",51,0,0,1632200003183
"City of Detroit, Precinct 184",122,1,0,1632200003184
"City of Detroit, Precinct 185",90,4,0,1632200003185
"City of Detroit, Precinct 188",67,0,0,1632200003188
"City of Detroit, Precinct 189",65,2,1,1632200003189
"City of Detroit, Precinct 190",39,0,0,1632200003190
"City of Detroit, Precinct 191",79,2,0,1632200003191
"City of Detroit, Precinct 192",67,3,1,1632200003192
"City of Detroit, Precinct 193",42,4,0,1632200003193
"City of Detroit, Precinct 194",63,3,0,1632200003194
"City of Detroit, Precinct 195",103,3,0,1632200003195
"City of Detroit, Precinct 197",39,0,1,1632200003197
"City of Detroit, Precinct 198",108,3,0,1632200003198
"City of Detroit, Precinct 199",21,1,0,1632200003199
"City of Detroit, Precinct 200",124,3,0,1632200002200
"City of Detroit, Precinct 201",426,11,1,1632200002201
"City of Detroit, Precinct 203",274,4,0,1632200002203
"City of Detroit, Precinct 204",238,2,0,1632200002204
"City of Detroit, Precinct 207",252,2,0,1632200002207
"City of Detroit, Precinct 208",267,6,0,1632200002208
"City of Detroit, Precinct 209",40,0,0,1632200002209
"City of Detroit, Precinct 210",93,1,0,1632200002210
"City of Detroit, Precinct 211",178,5,2,1632200002211
"City of Detroit, Precinct 212",108,2,0,1632200005212
"City of Detroit, Precinct 215",59,0,0,1632200005215
"City of Detroit, Precinct 216",55,1,0,1632200005216
"City of Detroit, Precinct 217",131,4,0,1632200005217
"City of Detroit, Precinct 218",44,2,0,1632200005218
"City of Detroit, Precinct 219",55,2,0,1632200005219
"City of Detroit, Precinct 220",63,1,1,1632200005220
"City of Detroit, Precinct 221",231,2,0,1632200002221
"City of Detroit, Precinct 222",75,2,0,1632200002222
"City of Detroit, Precinct 238",116,3,0,1632200002238
"City of Detroit, Precinct 239",141,4,0,1632200002239
"City of Detroit, Precinct 259",122,2,0,1632200002259
"City of Detroit, Precinct 260",118,3,1,1632200002260
"City of Detroit, Precinct 360",2,0,0,1632200006360
"City of Detroit, Precinct 386",140,3,0,1632200002386
"City of Detroit, Precinct 387",72,2,0,1632200002387
"City of Detroit, Precinct 390",59,3,2,1632200002390
"City of Detroit, Precinct 396",89,2,0,1632200007396
"City of Detroit, Precinct 398",97,4,0,1632200007398
"City of Detroit, Precinct 399",60,3,0,1632200007399
"City of Detroit, Precinct 400",107,2,0,1632200007400
"City of Detroit, Precinct 402",52,1,0,1632200002402
"City of Detroit, Precinct 405",63,0,1,1632200007405
"City of Detroit, Precinct 409",82,2,0,1632200007409
"City of Detroit, Precinct 414",57,0,0,1632200007414
"City of Detroit, Precinct 415",74,1,0,1632200007415
"City of Detroit, Precinct 416",33,2,0,1632200006416
"City of Detroit, Precinct 417",28,0,0,1632200006417
"City of Detroit, Precinct 418",101,1,0,1632200006418
"City of Detroit, Precinct 419",82,0,1,1632200006419
"City of Detroit, Precinct 420",73,3,0,1632200006420
"City of Detroit, Precinct 421",17,0,0,1632200006421
"City of Detroit, Precinct 422",88,1,0,1632200006422
"City of Detroit, Precinct 423",76,2,0,1632200006423
"City of Detroit, Precinct 424",108,1,0,1632200006424
"City of Detroit, Precinct 425",140,5,0,1632200006425
"City of Detroit, Precinct 426",151,2,0,1632200005426
"City of Detroit, Precinct 428",139,0,0,1632200005428
"City of Detroit, Precinct 429",39,0,0,1632200005429
"City of Detroit, Precinct 430",87,0,0,1632200005430
"City of Detroit, Precinct 432",61,1,0,1632200005432
"City of Detroit, Precinct 433",71,0,0,1632200005433
"City of Detroit, Precinct 434",43,2,0,1632200005434
"City of Detroit, Precinct 435",35,2,0,1632200005435
"City of Detroit, Precinct 436",119,3,0,1632200005436
"City of Detroit, Precinct 437",79,1,0,1632200005437
"City of Detroit, Precinct 438",75,1,0,1632200005438
"City of Detroit, Precinct 439",82,1,0,1632200005439
"City of Detroit, Precinct 440",18,0,0,1632200005440
"City of Detroit, Precinct 441",61,0,0,1632200005441
"City of Detroit, Precinct 442",199,6,0,1632200005442
"City of Detroit, Precinct 443",4,0,0,1632200005443
"City of Detroit, Precinct 444",0,0,0,1632200006444
"City of Detroit, Precinct 446",49,1,0,1632200005446
"City of Detroit, Precinct 447",114,1,0,1632200005447
"City of Detroit, Precinct 448",49,2,0,1632200005448
"City of Detroit, Precinct 449",80,1,0,1632200005449
"City of Detroit, Precinct 450",1,0,0,1632200005450
"City of Detroit, Precinct 452",49,6,0,1632200005452
"City of Detroit, Precinct 453",71,2,0,1632200006453
"City of Detroit, Precinct 457",33,1,0,1632200006457
