name,ballots,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in,id
"City of Dearborn Heights, Precinct 9",136,129,0,2,0,1632102000009.0
"City of Dearborn Heights, Precinct 10",194,187,0,3,0,1632102000010.0
"City of Dearborn Heights, Precinct 11",43,38,1,2,0,1632102000011.0
"City of Dearborn Heights, Precinct 12",21,9,1,3,0,1632102000012.0
"City of Dearborn Heights, Precinct 13",39,22,1,9,0,1632102000013.0
"City of Dearborn Heights, Precinct 14",18,13,0,3,0,1632102000014.0
"City of Dearborn Heights, Precinct 15",31,14,0,9,0,1632102000015.0
"City of Detroit, Precinct 1",9,5,1,3,0,1632200004001.0
"City of Detroit, Precinct 2",7,1,0,5,0,1632200004002.0
"City of Detroit, Precinct 4",7,4,1,2,0,1632200004004.0
"City of Detroit, Precinct 5",1,0,0,1,0,1632200004005.0
"City of Detroit, Precinct 6",8,3,0,4,0,1632200004006.0
"City of Detroit, Precinct 7",29,11,0,16,0,1632200004007.0
"City of Detroit, Precinct 8",12,7,0,3,0,1632200004008.0
"City of Detroit, Precinct 9",11,2,1,8,0,1632200004009.0
"City of Detroit, Precinct 10",4,1,0,3,0,1632200004010.0
"City of Detroit, Precinct 11",41,28,0,12,0,1632200004011.0
"City of Detroit, Precinct 12",15,1,1,12,0,1632200004012.0
"City of Detroit, Precinct 14",4,1,0,3,0,1632200004014.0
"City of Detroit, Precinct 15",10,2,0,7,0,1632200004015.0
"City of Detroit, Precinct 16",11,3,0,7,0,1632200004016.0
"City of Detroit, Precinct 18",9,3,1,3,0,1632200004018.0
"City of Detroit, Precinct 19",8,3,0,5,0,1632200004019.0
"City of Detroit, Precinct 20",19,9,0,9,0,1632200004020.0
"City of Detroit, Precinct 22",13,11,0,0,0,1632200004022.0
"City of Detroit, Precinct 23",26,13,0,12,0,1632200004023.0
"City of Detroit, Precinct 25",7,3,0,4,0,1632200004025.0
"City of Detroit, Precinct 26",3,3,0,0,0,1632200004026.0
