name,ballots,Debbie Dingell,Write-in,id
"City of Belleville, Precinct 1",517,362,3,1630702000001
"Charter Township of Brownstown, Precinct 1",415,241,1,1631122000001
"Charter Township of Brownstown, Precinct 2",345,195,4,1631122000002
"Charter Township of Brownstown, Precinct 3",527,328,3,1631122000003
"Charter Township of Brownstown, Precinct 4",903,460,3,1631122000004
"Charter Township of Brownstown, Precinct 5",378,214,1,1631122000005
"Charter Township of Brownstown, Precinct 6",516,287,1,1631122000006
"Charter Township of Brownstown, Precinct 7",374,202,1,1631122000007
"Charter Township of Brownstown, Precinct 8",333,213,0,1631122000008
"Charter Township of Brownstown, Precinct 9",327,221,0,1631122000009
"Charter Township of Brownstown, Precinct 10",395,202,0,1631122000010
"Charter Township of Brownstown, Precinct 11",244,135,0,1631122000011
"Charter Township of Brownstown, Precinct 12",347,145,0,1631122000012
"Canton Township, Precinct 1",878,590,0,1631312000001
"Canton Township, Precinct 2",982,601,0,1631312000002
"Canton Township, Precinct 3",1073,650,0,1631312000003
"Canton Township, Precinct 4",844,547,0,1631312000004
"Canton Township, Precinct 5",595,383,0,1631312000005
"Canton Township, Precinct 6",315,214,0,1631312000006
"Canton Township, Precinct 7",800,517,1,1631312000007
"Canton Township, Precinct 8",710,451,2,1631312000008
"Canton Township, Precinct 9",721,446,0,1631312000009
"Canton Township, Precinct 10",696,440,2,1631312000010
"Canton Township, Precinct 11",518,350,0,1631312000011
"Canton Township, Precinct 12",954,572,0,1631312000012
"Canton Township, Precinct 13",955,581,2,1631312000013
"Canton Township, Precinct 14",1075,667,4,1631312000014
"Canton Township, Precinct 15",1173,704,0,1631312000015
"Canton Township, Precinct 16",881,520,0,1631312000016
"Canton Township, Precinct 17",877,585,3,1631312000017
"Canton Township, Precinct 18",941,558,0,1631312000018
"Canton Township, Precinct 19",788,417,0,1631312000019
"Canton Township, Precinct 20",809,383,1,1631312000020
"City of Flat Rock, Precinct 1",268,166,0,1632836000001
"City of Flat Rock, Precinct 2",393,211,2,1632836000002
"City of Flat Rock, Precinct 3",417,232,0,1632836000003
"City of Gibraltar, Precinct 1",283,135,0,1633202000001
"City of Gibraltar, Precinct 2",360,187,0,1633202000002
"Grosse Ile Township, Precinct 1",1204,614,0,1633542000001
"Grosse Ile Township, Precinct 2",580,300,2,1633542000002
"Grosse Ile Township, Precinct 3",787,328,1,1633542000003
"Charter Township of Huron, Precinct 1",530,270,2,1634004000001
"Charter Township of Huron, Precinct 2",475,225,2,1634004000002
"Charter Township of Huron, Precinct 3",793,419,2,1634004000003
"Charter Township of Huron, Precinct 4",434,220,0,1634004000004
"City of Northville, Precinct 1",707,400,0,1635898000001
"Charter Township of Northville, Precinct 1",881,438,0,1635900000001
"Charter Township of Northville, Precinct 2",649,345,0,1635900000002
"Charter Township of Northville, Precinct 3",533,279,0,1635900000003
"Charter Township of Northville, Precinct 4",704,324,0,1635900000004
"Charter Township of Northville, Precinct 5",540,298,0,1635900000005
"Charter Township of Northville, Precinct 6",768,386,0,1635900000006
"Charter Township of Northville, Precinct 7",806,449,2,1635900000007
"Charter Township of Northville, Precinct 8",558,335,0,1635900000008
"Charter Township of Northville, Precinct 9",414,275,0,1635900000009
"Charter Township of Northville, Precinct 10",696,350,0,1635900000010
"City of Plymouth, Precinct 1",603,406,1,1636506000001
"City of Plymouth, Precinct 2",262,194,1,1636506000002
"City of Plymouth, Precinct 3",647,434,1,1636506000003
"City of Plymouth, Precinct 4",503,325,0,1636506000004
"Plymouth Township, Precinct 1",877,526,0,1636508000001
"Plymouth Township, Precinct 2",1080,646,0,1636508000002
"Plymouth Township, Precinct 3",1046,656,0,1636508000003
"Plymouth Township, Precinct 4",1234,672,0,1636508000004
"Plymouth Township, Precinct 5",1004,550,0,1636508000005
"Plymouth Township, Precinct 6",1234,650,0,1636508000006
"City of Riverview, Precinct 1",582,351,0,1636888000001
"City of Riverview, Precinct 2",542,324,1,1636888000002
"City of Riverview, Precinct 3",819,435,0,1636888000003
"City of Rockwood, Precinct 1",0,0,0,1636918000001
"City of Rockwood, Precinct 2",0,0,0,1636918000002
"Township of Sumpter, Precinct 1",160,93,0,1637736000001
"Township of Sumpter, Precinct 2",308,192,0,1637736000002
"Township of Sumpter, Precinct 3",350,180,0,1637736000003
"Township of Sumpter, Precinct 4",331,184,0,1637736000004
"City of Trenton, Precinct 1",475,302,0,1638042000001
"City of Trenton, Precinct 2",1025,584,2,1638042000002
"City of Trenton, Precinct 3",885,514,1,1638042000003
"City of Trenton, Precinct 4",959,555,3,1638042000004
"Van Buren Township, Precinct 1",652,441,2,1638166000001
"Van Buren Township, Precinct 2",991,636,2,1638166000002
"Van Buren Township, Precinct 3",848,561,1,1638166000003
"Van Buren Township, Precinct 4",735,522,4,1638166000004
"Van Buren Township, Precinct 5",587,420,2,1638166000005
"Van Buren Township, Precinct 6",777,521,0,1638166000006
"Van Buren Township, Precinct 7",218,151,0,1638166000007
"City of Woodhaven, Precinct 1",384,232,0,1638838000001
"City of Woodhaven, Precinct 2",440,236,0,1638838000002
"City of Woodhaven, Precinct 3",824,521,0,1638838000003
"City of Woodhaven, Precinct 4",218,128,0,1638838000004
