name,ballots,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in,id
"Canton Township, Precinct 1",947,42,108,69,0,0,1631312000001.0
"Canton Township, Precinct 10",754,38,85,61,1,0,1631312000010.0
"Canton Township, Precinct 11",563,34,52,47,0,0,1631312000011.0
"Canton Township, Precinct 12",1018,66,162,73,2,0,1631312000012.0
"Canton Township, Precinct 13",1060,47,141,103,0,0,1631312000013.0
"Canton Township, Precinct 14",1175,47,178,125,1,0,1631312000014.0
"Canton Township, Precinct 15",1290,76,178,102,6,1,1631312000015.0
"Canton Township, Precinct 16",1083,43,102,49,2,0,1631312000016.0
"Canton Township, Precinct 17",1119,8,74,40,1,0,1631312000017.0
"Canton Township, Precinct 18",1180,22,77,28,0,0,1631312000018.0
"Canton Township, Precinct 19",934,10,52,33,3,0,1631312000019.0
"Canton Township, Precinct 2",1082,66,155,92,1,0,1631312000002.0
"Canton Township, Precinct 20",903,31,65,46,0,0,1631312000020.0
"Canton Township, Precinct 3",1234,52,160,102,2,0,1631312000003.0
"Canton Township, Precinct 4",963,31,114,63,3,1,1631312000004.0
"Canton Township, Precinct 5",679,21,75,53,2,0,1631312000005.0
"Canton Township, Precinct 6",350,17,25,33,0,0,1631312000006.0
"Canton Township, Precinct 7",909,29,120,79,2,0,1631312000007.0
"Canton Township, Precinct 8",904,26,94,60,0,0,1631312000008.0
"Canton Township, Precinct 9",798,33,88,67,0,0,1631312000009.0
"Charter Township of Brownstown, Precinct 1",501,20,59,64,1,0,1631122000001.0
"Charter Township of Brownstown, Precinct 10",436,1,24,21,0,0,1631122000010.0
"Charter Township of Brownstown, Precinct 11",263,6,30,29,0,0,1631122000011.0
"Charter Township of Brownstown, Precinct 12",374,19,22,22,0,0,1631122000012.0
"Charter Township of Brownstown, Precinct 2",384,15,26,33,0,0,1631122000002.0
"Charter Township of Brownstown, Precinct 3",570,20,54,45,2,0,1631122000003.0
"Charter Township of Brownstown, Precinct 4",952,55,150,97,2,0,1631122000004.0
"Charter Township of Brownstown, Precinct 5",406,20,48,47,1,0,1631122000005.0
"Charter Township of Brownstown, Precinct 6",540,28,68,52,2,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",401,20,46,41,1,0,1631122000007.0
"Charter Township of Brownstown, Precinct 8",369,14,40,23,1,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",379,9,33,27,0,0,1631122000009.0
"Charter Township of Huron, Precinct 1",586,38,106,96,2,2,1634004000001.0
"Charter Township of Huron, Precinct 2",518,32,106,83,2,1,1634004000002.0
"Charter Township of Huron, Precinct 3",872,61,147,113,3,1,1634004000003.0
"Charter Township of Huron, Precinct 4",474,27,72,78,0,0,1634004000004.0
"Charter Township of Northville, Precinct 1",1006,61,185,75,1,0,1635900000001.0
"Charter Township of Northville, Precinct 10",776,40,180,73,1,0,1635900000010.0
"Charter Township of Northville, Precinct 2",811,35,127,55,0,0,1635900000002.0
"Charter Township of Northville, Precinct 3",644,41,101,57,1,0,1635900000003.0
"Charter Township of Northville, Precinct 4",818,73,189,81,4,0,1635900000004.0
"Charter Township of Northville, Precinct 5",625,46,114,48,1,0,1635900000005.0
"Charter Township of Northville, Precinct 6",851,50,168,89,3,0,1635900000006.0
"Charter Township of Northville, Precinct 7",875,61,159,83,4,0,1635900000007.0
"Charter Township of Northville, Precinct 8",619,38,93,42,2,0,1635900000008.0
"Charter Township of Northville, Precinct 9",470,24,62,28,2,0,1635900000009.0
"City of Allen Park, Precinct 1",229,9,25,17,0,0,1630138000001.0
"City of Allen Park, Precinct 2",581,21,53,53,3,0,1630138000002.0
"City of Allen Park, Precinct 3",776,31,69,81,8,0,1630138000003.0
"City of Allen Park, Precinct 4",607,34,63,53,3,0,1630138000004.0
"City of Allen Park, Precinct 5",577,24,60,49,2,0,1630138000005.0
"City of Allen Park, Precinct 6",778,34,89,71,4,0,1630138000006.0
"City of Allen Park, Precinct 7",675,38,60,80,3,0,1630138000007.0
"City of Allen Park, Precinct 8",235,9,37,26,0,0,1630138000008.0
"City of Belleville, Precinct 1",570,15,48,59,2,0,1630702000001.0
"City of Dearborn Heights, Precinct 1",380,5,12,17,1,0,1632102000001.0
"City of Dearborn Heights, Precinct 10",568,7,28,26,0,0,1632102000010.0
"City of Dearborn Heights, Precinct 11",303,14,26,14,0,0,1632102000011.0
"City of Dearborn Heights, Precinct 12",426,22,51,34,4,0,1632102000012.0
"City of Dearborn Heights, Precinct 13",497,21,43,43,0,0,1632102000013.0
"City of Dearborn Heights, Precinct 14",289,23,24,34,0,1,1632102000014.0
"City of Dearborn Heights, Precinct 15",379,9,33,36,1,0,1632102000015.0
"City of Dearborn Heights, Precinct 2",418,10,23,24,1,0,1632102000002.0
"City of Dearborn Heights, Precinct 3",360,20,28,37,0,0,1632102000003.0
"City of Dearborn Heights, Precinct 4",528,28,50,65,1,0,1632102000004.0
"City of Dearborn Heights, Precinct 5",419,12,32,27,0,0,1632102000005.0
"City of Dearborn Heights, Precinct 6",402,18,30,36,0,0,1632102000006.0
"City of Dearborn Heights, Precinct 7",222,7,16,20,0,0,1632102000007.0
"City of Dearborn Heights, Precinct 8",344,11,25,30,0,0,1632102000008.0
"City of Dearborn Heights, Precinct 9",427,9,38,23,1,0,1632102000009.0
"City of Dearborn, Precinct 1",119,0,2,1,0,0,1632100000001.0
"City of Dearborn, Precinct 10",157,1,2,2,0,0,1632100000010.0
"City of Dearborn, Precinct 11",105,1,3,4,0,0,1632100000011.0
"City of Dearborn, Precinct 12",152,3,4,3,0,0,1632100000012.0
"City of Dearborn, Precinct 13",175,2,15,8,1,0,1632100000013.0
"City of Dearborn, Precinct 15",184,1,2,7,0,0,1632100000015.0
"City of Dearborn, Precinct 16",191,1,8,5,0,1,1632100000016.0
"City of Dearborn, Precinct 17",245,4,4,10,1,1,1632100000017.0
"City of Dearborn, Precinct 18",239,2,7,10,1,0,1632100000018.0
"City of Dearborn, Precinct 19",156,0,0,6,0,0,1632100000019.0
"City of Dearborn, Precinct 2",161,4,4,4,1,0,1632100000002.0
"City of Dearborn, Precinct 20",89,0,0,0,0,0,1632100000020.0
"City of Dearborn, Precinct 21",87,2,0,1,0,0,1632100000021.0
"City of Dearborn, Precinct 22",416,16,28,22,0,0,1632100000022.0
"City of Dearborn, Precinct 24",221,5,14,15,1,0,1632100000024.0
"City of Dearborn, Precinct 25",361,17,30,39,1,0,1632100000025.0
"City of Dearborn, Precinct 26",298,14,40,15,1,1,1632100000026.0
"City of Dearborn, Precinct 27",293,16,23,17,0,0,1632100000027.0
"City of Dearborn, Precinct 28",172,8,22,15,0,0,1632100000028.0
"City of Dearborn, Precinct 29",270,4,29,26,0,0,1632100000029.0
"City of Dearborn, Precinct 3",210,3,4,5,0,0,1632100000003.0
"City of Dearborn, Precinct 31",408,16,36,26,0,0,1632100000031.0
"City of Dearborn, Precinct 32",261,5,32,19,0,0,1632100000032.0
"City of Dearborn, Precinct 33",286,4,21,21,3,0,1632100000033.0
"City of Dearborn, Precinct 34",280,9,13,22,0,0,1632100000034.0
"City of Dearborn, Precinct 35",455,17,34,17,0,0,1632100000035.0
"City of Dearborn, Precinct 37",325,9,32,11,0,0,1632100000037.0
"City of Dearborn, Precinct 38",302,3,36,16,0,0,1632100000038.0
"City of Dearborn, Precinct 4",160,3,1,3,1,0,1632100000004.0
"City of Dearborn, Precinct 40",219,6,8,17,0,0,1632100000040.0
"City of Dearborn, Precinct 41",312,9,26,25,1,0,1632100000041.0
"City of Dearborn, Precinct 42",536,15,37,19,0,1,1632100000042.0
"City of Dearborn, Precinct 44",297,6,23,19,0,0,1632100000044.0
"City of Dearborn, Precinct 45",296,4,20,15,0,0,1632100000045.0
"City of Dearborn, Precinct 46",284,13,15,9,1,0,1632100000046.0
"City of Dearborn, Precinct 47",389,11,42,21,1,0,1632100000047.0
"City of Dearborn, Precinct 49",321,3,33,20,1,0,1632100000049.0
"City of Dearborn, Precinct 50",217,3,20,21,2,0,1632100000050.0
"City of Dearborn, Precinct 6",172,0,4,2,0,0,1632100000006.0
"City of Dearborn, Precinct 7",206,2,4,6,0,0,1632100000007.0
"City of Dearborn, Precinct 8",171,3,9,2,0,0,1632100000008.0
"City of Dearborn, Precinct 9",148,4,2,1,0,0,1632100000009.0
"City of Detroit, Precinct 1",206,0,2,1,0,0,1632200004001.0
"City of Detroit, Precinct 10",76,1,0,0,0,0,1632200004010.0
"City of Detroit, Precinct 100",69,0,0,0,0,0,1632200003100.0
"City of Detroit, Precinct 101",102,0,0,0,0,0,1632200004101.0
"City of Detroit, Precinct 102",64,0,0,0,0,0,1632200003102.0
"City of Detroit, Precinct 103",101,0,3,1,0,0,1632200004103.0
"City of Detroit, Precinct 105",195,1,2,0,1,0,1632200004105.0
"City of Detroit, Precinct 107",31,0,1,1,0,0,1632200003107.0
"City of Detroit, Precinct 11",327,1,4,0,0,0,1632200004011.0
"City of Detroit, Precinct 111",133,0,1,0,0,0,1632200004111.0
"City of Detroit, Precinct 112",179,1,2,1,0,0,1632200004112.0
"City of Detroit, Precinct 115",266,1,3,0,0,0,1632200004115.0
