name,ballots,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in,id
"City of Dearborn Heights, Precinct 5",488,8,33,26,0,0,1632102000005.0
"City of Dearborn Heights, Precinct 6",385,6,15,34,0,0,1632102000006.0
"City of Dearborn Heights, Precinct 7",289,4,15,21,0,0,1632102000007.0
"City of Dearborn Heights, Precinct 8",389,6,20,27,2,0,1632102000008.0
"City of Dearborn Heights, Precinct 9",541,1,12,7,1,0,1632102000009.0
"City of Dearborn Heights, Precinct 10",692,8,10,14,0,0,1632102000010.0
"City of Dearborn Heights, Precinct 11",317,10,43,36,0,1,1632102000011.0
"City of Dearborn Heights, Precinct 12",321,8,44,43,0,0,1632102000012.0
"City of Dearborn Heights, Precinct 13",442,22,51,79,1,1,1632102000013.0
"City of Dearborn Heights, Precinct 14",353,25,39,42,0,1,1632102000014.0
"City of Dearborn Heights, Precinct 15",375,4,49,49,1,0,1632102000015.0
"City of Detroit, Precinct 1",163,0,0,0,0,0,1632200004001.0
"City of Detroit, Precinct 2",120,0,4,0,0,1,1632200004002.0
"City of Detroit, Precinct 4",62,0,0,0,0,0,1632200004004.0
"City of Detroit, Precinct 5",67,0,3,0,0,0,1632200004005.0
"City of Detroit, Precinct 6",113,0,3,1,0,0,1632200004006.0
"City of Detroit, Precinct 7",246,0,7,1,0,0,1632200004007.0
"City of Detroit, Precinct 8",148,0,1,0,0,0,1632200004008.0
"City of Detroit, Precinct 9",87,0,1,3,0,0,1632200004009.0
"City of Detroit, Precinct 10",40,1,0,0,0,0,1632200004010.0
"City of Detroit, Precinct 11",220,0,4,1,0,0,1632200004011.0
"City of Detroit, Precinct 12",94,0,1,0,0,1,1632200004012.0
"City of Detroit, Precinct 14",31,0,2,1,0,0,1632200004014.0
"City of Detroit, Precinct 15",127,1,0,0,0,0,1632200004015.0
"City of Detroit, Precinct 16",76,0,0,1,0,0,1632200004016.0
"City of Detroit, Precinct 18",136,0,3,2,0,0,1632200004018.0
"City of Detroit, Precinct 19",72,0,1,0,0,0,1632200004019.0
"City of Detroit, Precinct 20",270,4,9,5,0,0,1632200004020.0
"City of Detroit, Precinct 22",106,3,3,4,0,0,1632200004022.0
"City of Detroit, Precinct 23",236,2,1,3,0,0,1632200004023.0
"City of Detroit, Precinct 25",104,0,0,0,0,0,1632200004025.0
"City of Detroit, Precinct 26",29,0,0,0,0,0,1632200004026.0
"City of Detroit, Precinct 27",84,0,1,1,0,0,1632200004027.0
"City of Detroit, Precinct 29",37,0,2,1,0,0,1632200004029.0
"City of Detroit, Precinct 32",251,1,8,5,0,0,1632200004032.0
"City of Detroit, Precinct 33",150,0,5,1,0,0,1632200004033.0
"City of Detroit, Precinct 34",226,2,5,3,1,0,1632200004034.0
"City of Detroit, Precinct 35",101,0,2,0,0,0,1632200004035.0
"City of Detroit, Precinct 36",66,1,1,0,0,0,1632200004036.0
"City of Detroit, Precinct 38",75,0,0,1,0,0,1632200004038.0
"City of Detroit, Precinct 39",76,0,2,0,0,0,1632200004039.0
"City of Detroit, Precinct 40",57,0,1,4,0,0,1632200004040.0
"City of Detroit, Precinct 41",89,0,1,0,0,0,1632200004041.0
"City of Detroit, Precinct 43",116,0,4,1,0,0,1632200004043.0
"City of Detroit, Precinct 44",85,0,1,1,0,0,1632200004044.0
"City of Detroit, Precinct 45",85,0,4,0,0,0,1632200004045.0
"City of Detroit, Precinct 46",51,0,2,0,0,0,1632200004046.0
"City of Detroit, Precinct 47",165,0,1,1,0,0,1632200004047.0
"City of Detroit, Precinct 49",21,1,0,0,0,1,1632200004049.0
"City of Detroit, Precinct 50",101,0,1,0,0,0,1632200004050.0
"City of Detroit, Precinct 51",50,0,0,0,0,0,1632200004051.0
"City of Detroit, Precinct 52",54,0,1,2,0,0,1632200004052.0
"City of Detroit, Precinct 53",87,0,1,1,0,0,1632200004053.0
"City of Detroit, Precinct 55",79,1,0,1,0,0,1632200004055.0
"City of Detroit, Precinct 56",65,0,3,0,0,0,1632200004056.0
"City of Detroit, Precinct 59",0,0,0,0,0,0,1632200003059.0
"City of Detroit, Precinct 60",14,1,1,0,0,0,1632200007060.0
"City of Detroit, Precinct 61",65,0,0,0,0,0,1632200003061.0
"City of Detroit, Precinct 62",140,2,1,2,1,0,1632200003062.0
"City of Detroit, Precinct 64",58,0,1,2,0,1,1632200003064.0
"City of Detroit, Precinct 65",118,0,4,0,0,0,1632200003065.0
"City of Detroit, Precinct 66",34,0,2,0,0,0,1632200003066.0
"City of Detroit, Precinct 68",184,0,1,0,0,0,1632200003068.0
"City of Detroit, Precinct 69",2,0,0,0,0,0,1632200006069.0
"City of Detroit, Precinct 70",56,0,3,0,0,0,1632200003070.0
"City of Detroit, Precinct 71",67,0,1,1,0,0,1632200003071.0
"City of Detroit, Precinct 72",40,1,2,0,0,0,1632200003072.0
"City of Detroit, Precinct 73",50,0,1,0,0,0,1632200003073.0
"City of Detroit, Precinct 74",53,0,1,0,0,0,1632200003074.0
"City of Detroit, Precinct 75",56,0,4,0,0,0,1632200003075.0
"City of Detroit, Precinct 77",84,0,4,1,0,0,1632200003077.0
"City of Detroit, Precinct 78",25,0,0,0,0,0,1632200003078.0
"City of Detroit, Precinct 79",110,0,2,4,0,0,1632200003079.0
"City of Detroit, Precinct 80",66,0,2,2,0,0,1632200003080.0
"City of Detroit, Precinct 81",99,0,0,1,0,0,1632200003081.0
"City of Detroit, Precinct 82",76,0,0,0,0,1,1632200003082.0
"City of Detroit, Precinct 83",75,0,1,4,0,0,1632200003083.0
"City of Detroit, Precinct 84",94,1,1,3,0,0,1632200003084.0
"City of Detroit, Precinct 85",40,0,1,0,0,0,1632200003085.0
"City of Detroit, Precinct 86",76,0,2,0,0,0,1632200003086.0
"City of Detroit, Precinct 88",82,0,2,1,0,0,1632200003088.0
"City of Detroit, Precinct 89",86,1,1,0,0,0,1632200003089.0
"City of Detroit, Precinct 90",48,0,0,0,0,0,1632200003090.0
"City of Detroit, Precinct 91",278,0,1,1,0,0,1632200003091.0
"City of Detroit, Precinct 92",235,0,4,0,1,0,1632200003092.0
"City of Detroit, Precinct 93",29,0,1,0,0,0,1632200003093.0
"City of Detroit, Precinct 94",152,0,1,2,0,0,1632200003094.0
"City of Detroit, Precinct 95",121,0,0,2,1,0,1632200003095.0
"City of Detroit, Precinct 97",48,0,0,0,0,0,1632200003097.0
"City of Detroit, Precinct 98",93,0,0,0,0,0,1632200003098.0
"City of Detroit, Precinct 100",21,0,1,0,0,0,1632200003100.0
"City of Detroit, Precinct 101",47,0,0,0,0,0,1632200004101.0
"City of Detroit, Precinct 102",43,0,1,3,0,0,1632200003102.0
"City of Detroit, Precinct 103",51,2,1,0,0,0,1632200004103.0
"City of Detroit, Precinct 105",76,0,3,0,0,0,1632200004105.0
"City of Detroit, Precinct 107",17,1,0,0,1,0,1632200003107.0
"City of Detroit, Precinct 111",53,0,0,0,0,0,1632200004111.0
"City of Detroit, Precinct 112",138,0,0,1,0,0,1632200004112.0
"City of Detroit, Precinct 115",194,0,1,2,0,1,1632200004115.0
"City of Detroit, Precinct 116",132,0,2,2,0,0,1632200004116.0
"City of Detroit, Precinct 120",222,1,1,2,0,0,1632200005120.0
"City of Detroit, Precinct 121",61,0,1,0,0,0,1632200003121.0
"City of Detroit, Precinct 122",37,1,0,2,0,0,1632200005122.0
"City of Detroit, Precinct 123",43,0,2,0,0,0,1632200005123.0
"City of Detroit, Precinct 124",555,1,12,7,0,0,1632200005124.0
"City of Detroit, Precinct 125",252,1,6,0,0,0,1632200005125.0
"City of Detroit, Precinct 126",220,0,1,3,0,0,1632200005126.0
"City of Detroit, Precinct 128",103,1,3,1,0,0,1632200005128.0
"City of Detroit, Precinct 129",110,0,4,0,0,0,1632200005129.0
"City of Detroit, Precinct 130",61,1,4,2,0,0,1632200005130.0
"City of Detroit, Precinct 132",150,0,4,0,0,0,1632200005132.0
"City of Detroit, Precinct 133",271,1,7,5,0,0,1632200005133.0
"City of Detroit, Precinct 134",236,0,4,1,0,0,1632200005134.0
"City of Detroit, Precinct 135",188,1,7,4,0,0,1632200004135.0
"City of Detroit, Precinct 136",335,0,5,0,0,0,1632200005136.0
