name,ballots,Heather Smiley,Write-in,id
"City of Belleville, Precinct 1",517,94,1,1630702000001
"Charter Township of Brownstown, Precinct 1",415,96,0,1631122000001
"Charter Township of Brownstown, Precinct 2",345,59,1,1631122000002
"Charter Township of Brownstown, Precinct 3",527,103,1,1631122000003
"Charter Township of Brownstown, Precinct 4",903,265,1,1631122000004
"Charter Township of Brownstown, Precinct 5",378,97,2,1631122000005
"Charter Township of Brownstown, Precinct 6",516,130,0,1631122000006
"Charter Township of Brownstown, Precinct 7",374,96,0,1631122000007
"Charter Township of Brownstown, Precinct 8",333,61,0,1631122000008
"Charter Township of Brownstown, Precinct 9",327,53,0,1631122000009
"Charter Township of Brownstown, Precinct 10",395,31,0,1631122000010
"Charter Township of Brownstown, Precinct 11",244,50,0,1631122000011
"Charter Township of Brownstown, Precinct 12",347,48,0,1631122000012
"Canton Township, Precinct 1",878,193,0,1631312000001
"Canton Township, Precinct 2",982,262,0,1631312000002
"Canton Township, Precinct 3",1073,265,0,1631312000003
"Canton Township, Precinct 4",844,172,0,1631312000004
"Canton Township, Precinct 5",595,137,0,1631312000005
"Canton Township, Precinct 6",315,65,0,1631312000006
"Canton Township, Precinct 7",800,191,0,1631312000007
"Canton Township, Precinct 8",710,155,0,1631312000008
"Canton Township, Precinct 9",721,159,0,1631312000009
"Canton Township, Precinct 10",696,159,0,1631312000010
"Canton Township, Precinct 11",518,118,0,1631312000011
"Canton Township, Precinct 12",954,252,0,1631312000012
"Canton Township, Precinct 13",955,244,0,1631312000013
"Canton Township, Precinct 14",1075,292,0,1631312000014
"Canton Township, Precinct 15",1173,316,1,1631312000015
"Canton Township, Precinct 16",881,168,0,1631312000016
"Canton Township, Precinct 17",877,86,0,1631312000017
"Canton Township, Precinct 18",941,86,0,1631312000018
"Canton Township, Precinct 19",788,71,0,1631312000019
"Canton Township, Precinct 20",809,104,0,1631312000020
"City of Flat Rock, Precinct 1",268,71,1,1632836000001
"City of Flat Rock, Precinct 2",393,103,0,1632836000002
"City of Flat Rock, Precinct 3",417,127,0,1632836000003
"City of Gibraltar, Precinct 1",283,100,0,1633202000001
"City of Gibraltar, Precinct 2",360,125,2,1633202000002
"Grosse Ile Township, Precinct 1",1204,421,0,1633542000001
"Grosse Ile Township, Precinct 2",580,201,2,1633542000002
"Grosse Ile Township, Precinct 3",787,338,0,1633542000003
"Charter Township of Huron, Precinct 1",530,198,0,1634004000001
"Charter Township of Huron, Precinct 2",475,182,0,1634004000002
"Charter Township of Huron, Precinct 3",793,265,2,1634004000003
"Charter Township of Huron, Precinct 4",434,146,1,1634004000004
"City of Northville, Precinct 1",707,167,0,1635898000001
"Charter Township of Northville, Precinct 1",881,264,0,1635900000001
"Charter Township of Northville, Precinct 2",649,167,0,1635900000002
"Charter Township of Northville, Precinct 3",533,157,0,1635900000003
"Charter Township of Northville, Precinct 4",704,265,0,1635900000004
"Charter Township of Northville, Precinct 5",540,152,0,1635900000005
"Charter Township of Northville, Precinct 6",768,271,0,1635900000006
"Charter Township of Northville, Precinct 7",806,260,0,1635900000007
"Charter Township of Northville, Precinct 8",558,144,0,1635900000008
"Charter Township of Northville, Precinct 9",414,90,0,1635900000009
"Charter Township of Northville, Precinct 10",696,223,0,1635900000010
"City of Plymouth, Precinct 1",603,111,0,1636506000001
"City of Plymouth, Precinct 2",262,33,0,1636506000002
"City of Plymouth, Precinct 3",647,130,0,1636506000003
"City of Plymouth, Precinct 4",503,111,0,1636506000004
"Plymouth Township, Precinct 1",877,241,0,1636508000001
"Plymouth Township, Precinct 2",1080,314,0,1636508000002
"Plymouth Township, Precinct 3",1046,262,0,1636508000003
"Plymouth Township, Precinct 4",1234,398,0,1636508000004
"Plymouth Township, Precinct 5",1004,311,0,1636508000005
"Plymouth Township, Precinct 6",1234,413,0,1636508000006
"City of Riverview, Precinct 1",582,159,0,1636888000001
"City of Riverview, Precinct 2",542,155,0,1636888000002
"City of Riverview, Precinct 3",819,264,4,1636888000003
"City of Rockwood, Precinct 1",0,0,0,1636918000001
"City of Rockwood, Precinct 2",0,0,0,1636918000002
"Township of Sumpter, Precinct 1",160,49,1,1637736000001
"Township of Sumpter, Precinct 2",308,77,1,1637736000002
"Township of Sumpter, Precinct 3",350,118,1,1637736000003
"Township of Sumpter, Precinct 4",331,102,0,1637736000004
"City of Trenton, Precinct 1",475,120,0,1638042000001
"City of Trenton, Precinct 2",1025,311,0,1638042000002
"City of Trenton, Precinct 3",885,247,0,1638042000003
"City of Trenton, Precinct 4",959,276,2,1638042000004
"Van Buren Township, Precinct 1",652,138,0,1638166000001
"Van Buren Township, Precinct 2",991,236,0,1638166000002
"Van Buren Township, Precinct 3",848,164,0,1638166000003
"Van Buren Township, Precinct 4",735,136,1,1638166000004
"Van Buren Township, Precinct 5",587,97,0,1638166000005
"Van Buren Township, Precinct 6",777,158,1,1638166000006
"Van Buren Township, Precinct 7",218,49,0,1638166000007
"City of Woodhaven, Precinct 1",384,118,0,1638838000001
"City of Woodhaven, Precinct 2",440,147,3,1638838000002
"City of Woodhaven, Precinct 3",824,200,0,1638838000003
"City of Woodhaven, Precinct 4",218,61,0,1638838000004
