name,ballots,Donavan McKinney,Shri Thanedar,Write-in,id
"City of Allen Park, Precinct 1",230,110,46,2,1630138000001
"City of Allen Park, Precinct 2",407,155,100,4,1630138000002
"City of Allen Park, Precinct 3",520,201,118,3,1630138000003
"City of Allen Park, Precinct 4",375,130,109,4,1630138000004
"City of Allen Park, Precinct 5",377,150,92,2,1630138000005
"City of Allen Park, Precinct 6",451,160,109,5,1630138000006
"City of Allen Park, Precinct 7",517,192,123,1,1630138000007
"City of Allen Park, Precinct 8",190,51,54,0,1630138000008
"City of Dearborn Heights, Precinct 11",141,48,38,0,1632102000011
"City of Dearborn Heights, Precinct 12",321,125,83,5,1632102000012
"City of Dearborn Heights, Precinct 13",442,169,97,4,1632102000013
"City of Dearborn Heights, Precinct 14",353,124,95,2,1632102000014
"City of Dearborn Heights, Precinct 15",375,152,98,2,1632102000015
"City of Detroit, Precinct 1",163,105,50,0,1632200004001
"City of Detroit, Precinct 2",120,72,38,3,1632200004002
"City of Detroit, Precinct 4",62,31,24,4,1632200004004
"City of Detroit, Precinct 5",67,28,31,2,1632200004005
"City of Detroit, Precinct 6",113,73,29,0,1632200004006
"City of Detroit, Precinct 7",246,170,63,0,1632200004007
"City of Detroit, Precinct 8",148,112,30,2,1632200004008
"City of Detroit, Precinct 9",87,44,34,0,1632200004009
"City of Detroit, Precinct 10",40,26,13,0,1632200004010
"City of Detroit, Precinct 11",220,150,56,0,1632200004011
"City of Detroit, Precinct 12",94,54,30,1,1632200004012
"City of Detroit, Precinct 14",31,15,12,0,1632200004014
"City of Detroit, Precinct 15",127,61,61,1,1632200004015
"City of Detroit, Precinct 16",76,40,30,0,1632200004016
"City of Detroit, Precinct 18",136,61,61,1,1632200004018
"City of Detroit, Precinct 19",72,42,25,0,1632200004019
"City of Detroit, Precinct 20",270,135,105,1,1632200004020
"City of Detroit, Precinct 22",106,54,40,0,1632200004022
"City of Detroit, Precinct 23",236,137,87,1,1632200004023
"City of Detroit, Precinct 25",104,54,43,2,1632200004025
"City of Detroit, Precinct 26",29,13,16,0,1632200004026
"City of Detroit, Precinct 27",84,39,41,0,1632200004027
"City of Detroit, Precinct 29",37,13,18,1,1632200004029
"City of Detroit, Precinct 32",251,176,51,0,1632200004032
"City of Detroit, Precinct 33",150,88,50,0,1632200004033
"City of Detroit, Precinct 34",226,131,69,3,1632200004034
"City of Detroit, Precinct 35",101,45,46,0,1632200004035
"City of Detroit, Precinct 36",66,37,24,1,1632200004036
"City of Detroit, Precinct 38",75,46,26,1,1632200004038
"City of Detroit, Precinct 39",76,43,26,1,1632200004039
"City of Detroit, Precinct 40",57,33,18,0,1632200004040
"City of Detroit, Precinct 41",89,46,37,2,1632200004041
"City of Detroit, Precinct 43",116,61,43,2,1632200004043
"City of Detroit, Precinct 44",85,34,46,0,1632200004044
"City of Detroit, Precinct 45",85,47,32,0,1632200004045
"City of Detroit, Precinct 46",51,28,20,0,1632200004046
"City of Detroit, Precinct 47",165,82,72,0,1632200004047
"City of Detroit, Precinct 49",21,12,7,0,1632200004049
"City of Detroit, Precinct 50",101,50,46,0,1632200004050
"City of Detroit, Precinct 51",50,24,19,0,1632200004051
"City of Detroit, Precinct 52",54,14,33,1,1632200004052
"City of Detroit, Precinct 53",87,40,33,1,1632200004053
"City of Detroit, Precinct 55",79,34,41,1,1632200004055
"City of Detroit, Precinct 56",65,22,31,0,1632200004056
"City of Detroit, Precinct 59",0,0,0,0,1632200003059
"City of Detroit, Precinct 61",65,39,24,2,1632200003061
"City of Detroit, Precinct 62",140,68,64,1,1632200003062
"City of Detroit, Precinct 64",58,37,13,2,1632200003064
"City of Detroit, Precinct 65",118,60,51,0,1632200003065
"City of Detroit, Precinct 66",34,13,18,0,1632200003066
"City of Detroit, Precinct 68",184,95,76,0,1632200003068
"City of Detroit, Precinct 69",2,0,1,1,1632200006069
"City of Detroit, Precinct 70",56,27,24,0,1632200003070
"City of Detroit, Precinct 71",67,37,26,1,1632200003071
"City of Detroit, Precinct 72",40,18,17,0,1632200003072
"City of Detroit, Precinct 73",50,21,27,0,1632200003073
"City of Detroit, Precinct 74",53,30,19,2,1632200003074
"City of Detroit, Precinct 75",56,22,24,0,1632200003075
"City of Detroit, Precinct 77",84,52,25,1,1632200003077
"City of Detroit, Precinct 78",25,10,12,0,1632200003078
"City of Detroit, Precinct 79",110,48,54,0,1632200003079
"City of Detroit, Precinct 80",66,22,38,0,1632200003080
"City of Detroit, Precinct 81",99,43,49,1,1632200003081
"City of Detroit, Precinct 82",76,38,35,1,1632200003082
"City of Detroit, Precinct 83",75,32,36,0,1632200003083
"City of Detroit, Precinct 84",94,49,38,0,1632200003084
"City of Detroit, Precinct 85",40,22,17,0,1632200003085
"City of Detroit, Precinct 86",76,43,27,1,1632200003086
