name,ballots,Donavan McKinney,Shri Thanedar,Write-in,id
"City of Detroit, Precinct 217",165,62,83,1,1632200005217
"City of Detroit, Precinct 218",66,27,31,0,1632200005218
"City of Detroit, Precinct 219",92,37,44,0,1632200005219
"City of Detroit, Precinct 22",143,50,71,0,1632200004022
"City of Detroit, Precinct 220",95,35,52,0,1632200005220
"City of Detroit, Precinct 221",380,159,181,1,1632200002221
"City of Detroit, Precinct 222",142,48,65,1,1632200002222
"City of Detroit, Precinct 23",319,113,162,1,1632200004023
"City of Detroit, Precinct 238",144,65,66,2,1632200002238
"City of Detroit, Precinct 239",154,65,78,1,1632200002239
"City of Detroit, Precinct 25",100,28,61,1,1632200004025
"City of Detroit, Precinct 259",175,75,86,1,1632200002259
"City of Detroit, Precinct 26",66,22,36,0,1632200004026
"City of Detroit, Precinct 260",174,58,99,1,1632200002260
"City of Detroit, Precinct 27",147,37,87,1,1632200004027
"City of Detroit, Precinct 29",72,16,47,0,1632200004029
"City of Detroit, Precinct 32",377,179,153,1,1632200004032
"City of Detroit, Precinct 33",203,83,95,4,1632200004033
"City of Detroit, Precinct 34",368,168,169,1,1632200004034
"City of Detroit, Precinct 35",166,48,98,2,1632200004035
"City of Detroit, Precinct 36",132,39,80,1,1632200004036
"City of Detroit, Precinct 360",9,2,5,0,1632200006360
"City of Detroit, Precinct 38",151,48,80,0,1632200004038
"City of Detroit, Precinct 386",171,59,90,1,1632200002386
"City of Detroit, Precinct 387",97,37,36,0,1632200002387
"City of Detroit, Precinct 39",137,42,70,1,1632200004039
"City of Detroit, Precinct 390",91,36,44,0,1632200002390
"City of Detroit, Precinct 396",168,48,96,2,1632200007396
"City of Detroit, Precinct 398",158,59,70,2,1632200007398
"City of Detroit, Precinct 399",159,48,96,1,1632200007399
"City of Detroit, Precinct 4",76,29,32,2,1632200004004
"City of Detroit, Precinct 40",107,26,64,0,1632200004040
"City of Detroit, Precinct 400",143,38,84,3,1632200007400
"City of Detroit, Precinct 402",83,27,46,0,1632200002402
"City of Detroit, Precinct 405",111,22,71,1,1632200007405
"City of Detroit, Precinct 409",137,46,64,0,1632200007409
"City of Detroit, Precinct 41",108,29,64,0,1632200004041
"City of Detroit, Precinct 414",71,18,43,0,1632200007414
"City of Detroit, Precinct 415",158,41,95,0,1632200007415
"City of Detroit, Precinct 416",58,27,25,0,1632200006416
"City of Detroit, Precinct 417",50,20,23,0,1632200006417
"City of Detroit, Precinct 418",133,46,69,0,1632200006418
"City of Detroit, Precinct 419",141,46,73,0,1632200006419
"City of Detroit, Precinct 420",82,24,41,1,1632200006420
"City of Detroit, Precinct 421",23,9,13,0,1632200006421
"City of Detroit, Precinct 422",89,29,45,1,1632200006422
"City of Detroit, Precinct 423",82,23,40,1,1632200006423
"City of Detroit, Precinct 424",47,12,22,0,1632200006424
"City of Detroit, Precinct 425",121,59,42,0,1632200006425
"City of Detroit, Precinct 426",162,58,82,0,1632200005426
"City of Detroit, Precinct 428",160,75,68,0,1632200005428
"City of Detroit, Precinct 429",95,20,55,1,1632200005429
"City of Detroit, Precinct 43",225,68,131,2,1632200004043
"City of Detroit, Precinct 430",157,33,94,1,1632200005430
"City of Detroit, Precinct 432",145,46,68,1,1632200005432
"City of Detroit, Precinct 433",99,42,44,1,1632200005433
"City of Detroit, Precinct 434",82,24,49,1,1632200005434
"City of Detroit, Precinct 435",37,14,20,0,1632200005435
"City of Detroit, Precinct 436",223,134,57,2,1632200005436
"City of Detroit, Precinct 437",98,46,48,0,1632200005437
"City of Detroit, Precinct 438",91,47,33,1,1632200005438
"City of Detroit, Precinct 439",104,38,59,0,1632200005439
"City of Detroit, Precinct 44",180,51,103,0,1632200004044
"City of Detroit, Precinct 440",46,17,21,0,1632200005440
"City of Detroit, Precinct 441",178,57,85,2,1632200005441
"City of Detroit, Precinct 442",264,135,95,0,1632200005442
"City of Detroit, Precinct 443",4,0,4,0,1632200005443
"City of Detroit, Precinct 444",0,0,0,0,1632200006444
"City of Detroit, Precinct 446",105,36,64,0,1632200005446
"City of Detroit, Precinct 447",110,40,57,1,1632200005447
"City of Detroit, Precinct 448",70,25,30,0,1632200005448
"City of Detroit, Precinct 449",102,32,58,1,1632200005449
"City of Detroit, Precinct 45",126,34,71,1,1632200004045
"City of Detroit, Precinct 450",0,0,0,0,1632200005450
"City of Detroit, Precinct 452",60,14,37,0,1632200005452
"City of Detroit, Precinct 453",82,24,51,0,1632200006453
"City of Detroit, Precinct 457",89,27,47,0,1632200006457
"City of Detroit, Precinct 458",70,16,38,0,1632200006458
"City of Detroit, Precinct 46",86,25,52,0,1632200004046
"City of Detroit, Precinct 460",90,38,36,0,1632200006460
"City of Detroit, Precinct 461",343,192,109,1,1632200006461
"City of Detroit, Precinct 462",148,72,57,1,1632200006462
"City of Detroit, Precinct 464",238,173,42,5,1632200006464
"City of Detroit, Precinct 466",202,60,107,0,1632200006466
"City of Detroit, Precinct 47",255,64,149,5,1632200004047
"City of Detroit, Precinct 470",135,61,58,1,1632200006470
"City of Detroit, Precinct 471",86,46,28,0,1632200006471
"City of Detroit, Precinct 472",100,39,39,2,1632200006472
"City of Detroit, Precinct 473",152,61,62,0,1632200006473
"City of Detroit, Precinct 474",65,25,26,0,1632200006474
"City of Detroit, Precinct 475",59,40,12,0,1632200006475
"City of Detroit, Precinct 477",177,59,75,1,1632200006477
"City of Detroit, Precinct 479",50,16,20,4,1632200006479
"City of Detroit, Precinct 480",108,36,52,2,1632200006480
"City of Detroit, Precinct 481",151,70,60,2,1632200006481
"City of Detroit, Precinct 482",164,57,85,7,1632200006482
"City of Detroit, Precinct 483",203,67,109,1,1632200006483
"City of Detroit, Precinct 484",158,41,89,1,1632200006484
"City of Detroit, Precinct 485",170,48,107,4,1632200006485
"City of Detroit, Precinct 49",56,16,35,0,1632200004049
"City of Detroit, Precinct 490",11,3,3,0,1632200002490
"City of Detroit, Precinct 491",191,46,119,3,1632200004491
"City of Detroit, Precinct 493",155,29,96,2,1632200005493
"City of Detroit, Precinct 496",253,99,123,0,1632200005496
"City of Detroit, Precinct 497",107,29,59,1,1632200005497
"City of Detroit, Precinct 5",188,62,95,3,1632200004005
"City of Detroit, Precinct 50",196,58,116,0,1632200004050
"City of Detroit, Precinct 500",87,61,20,1,1632200006500
"City of Detroit, Precinct 502",105,31,47,0,1632200004502
"City of Detroit, Precinct 51",78,19,48,0,1632200004051
"City of Detroit, Precinct 52",123,38,73,0,1632200004052
"City of Detroit, Precinct 53",170,54,95,2,1632200004053
"City of Detroit, Precinct 55",147,37,92,0,1632200004055
"City of Detroit, Precinct 56",93,27,57,0,1632200004056
"City of Detroit, Precinct 59",0,0,0,0,1632200003059
"City of Detroit, Precinct 6",191,72,96,3,1632200004006
"City of Detroit, Precinct 61",174,79,71,2,1632200003061
"City of Detroit, Precinct 62",209,84,100,0,1632200003062
"City of Detroit, Precinct 64",84,31,40,1,1632200003064
"City of Detroit, Precinct 65",201,53,111,4,1632200003065
"City of Detroit, Precinct 66",77,17,48,0,1632200003066
"City of Detroit, Precinct 68",355,107,191,1,1632200003068
"City of Detroit, Precinct 69",12,2,6,1,1632200006069
"City of Detroit, Precinct 7",324,141,127,0,1632200004007
"City of Detroit, Precinct 70",87,20,57,0,1632200003070
"City of Detroit, Precinct 71",93,27,45,0,1632200003071
"City of Detroit, Precinct 72",81,14,49,2,1632200003072
"City of Detroit, Precinct 73",79,24,42,1,1632200003073
"City of Detroit, Precinct 74",90,36,36,0,1632200003074
"City of Detroit, Precinct 75",171,51,90,0,1632200003075
"City of Detroit, Precinct 77",141,31,86,3,1632200003077
"City of Detroit, Precinct 78",83,16,54,2,1632200003078
"City of Detroit, Precinct 79",217,69,130,0,1632200003079
"City of Detroit, Precinct 8",222,97,93,2,1632200004008
"City of Detroit, Precinct 80",111,40,58,1,1632200003080
"City of Detroit, Precinct 81",204,61,110,1,1632200003081
"City of Detroit, Precinct 82",129,52,55,0,1632200003082
"City of Detroit, Precinct 83",136,38,77,1,1632200003083
"City of Detroit, Precinct 84",186,57,99,2,1632200003084
"City of Detroit, Precinct 85",73,28,31,0,1632200003085
"City of Detroit, Precinct 86",171,83,70,0,1632200003086
"City of Detroit, Precinct 88",186,62,95,2,1632200003088
"City of Detroit, Precinct 89",102,53,37,0,1632200003089
"City of Detroit, Precinct 9",128,50,60,2,1632200004009
"City of Detroit, Precinct 90",77,22,46,0,1632200003090
"City of Detroit, Precinct 91",169,82,54,0,1632200003091
"City of Detroit, Precinct 92",196,89,59,0,1632200003092
"City of Detroit, Precinct 93",58,14,34,1,1632200003093
"City of Detroit, Precinct 94",151,71,46,1,1632200003094
"City of Detroit, Precinct 95",157,71,56,5,1632200003095
"City of Detroit, Precinct 97",78,24,43,0,1632200003097
"City of Detroit, Precinct 98",109,75,17,0,1632200003098
"City of Ecorse, Precinct 1",107,25,62,1,1632474000001
"City of Ecorse, Precinct 2",199,53,123,1,1632474000002
"City of Ecorse, Precinct 3",53,13,27,0,1632474000003
"City of Ecorse, Precinct 4",188,51,124,1,1632474000004
"City of Grosse Pointe Farms, Precinct 1",1202,296,392,0,1633552000001
"City of Grosse Pointe Farms, Precinct 2",1232,343,441,2,1633552000002
"City of Grosse Pointe Park, Precinct 1",444,184,157,0,1633554000001
"City of Grosse Pointe Park, Precinct 2",480,149,191,0,1633554000002
"City of Grosse Pointe Park, Precinct 4",445,191,129,0,1633554000004
"City of Grosse Pointe Park, Precinct 5",407,188,132,2,1633554000005
"City of Grosse Pointe Park, Precinct 6",426,176,136,0,1633554000006
"City of Grosse Pointe Park, Precinct 7",460,161,174,1,1633554000007
"City of Grosse Pointe Woods, Precinct 1",1464,394,511,2,1633558000001
"City of Grosse Pointe Woods, Precinct 2",1342,382,441,0,1633558000002
"City of Grosse Pointe Woods, Precinct 3",1518,426,527,1,1633558000003
"City of Grosse Pointe, Precinct 1",632,196,248,1,1633548000001
"City of Grosse Pointe, Precinct 2",674,201,257,3,1633548000002
"City of Hamtramck, Precinct 1",164,75,58,3,1633628000001
"City of Hamtramck, Precinct 2",679,318,178,4,1633628000002
"City of Hamtramck, Precinct 3",690,359,150,3,1633628000003
"City of Hamtramck, Precinct 4",310,182,66,1,1633628000004
"City of Hamtramck, Precinct 5",233,124,47,1,1633628000005
"City of Harper Woods, Precinct 1",383,112,187,2,1633670000001
"City of Harper Woods, Precinct 2",616,238,280,0,1633670000002
"City of Harper Woods, Precinct 3",849,312,353,1,1633670000003
"City of Highland Park, Precinct 1",140,40,84,0,1633818000001
"City of Highland Park, Precinct 2",196,81,91,0,1633818000002
"City of Highland Park, Precinct 3",176,57,89,2,1633818000003
"City of Highland Park, Precinct 4",154,45,82,0,1633818000004
"City of Highland Park, Precinct 5",73,26,35,1,1633818000005
"City of Highland Park, Precinct 6",94,19,54,0,1633818000006
"City of Lincoln Park, Precinct 1",590,175,246,1,1634780000001
"City of Lincoln Park, Precinct 11",785,181,321,1,1634780000011
"City of Lincoln Park, Precinct 3",545,151,258,3,1634780000003
"City of Lincoln Park, Precinct 5",678,176,280,3,1634780000005
"City of Lincoln Park, Precinct 7",644,207,241,3,1634780000007
"City of Lincoln Park, Precinct 9",686,198,277,3,1634780000009
"City of Melvindale, Precinct 1",228,83,84,0,1635294000001
"City of Melvindale, Precinct 2",166,56,58,0,1635294000002
"City of Melvindale, Precinct 3",159,52,63,0,1635294000003
"City of Melvindale, Precinct 4",136,42,51,0,1635294000004
"City of Melvindale, Precinct 5",175,69,62,0,1635294000005
"City of River Rouge, Precinct 1",73,21,31,1,1636876000001
"City of River Rouge, Precinct 2",69,13,31,0,1636876000002
"City of River Rouge, Precinct 3",56,13,27,0,1636876000003
"City of River Rouge, Precinct 4",117,34,73,1,1636876000004
"City of River Rouge, Precinct 5",92,36,39,1,1636876000005
"City of Romulus, Precinct 1",266,53,131,3,1636942000001
"City of Romulus, Precinct 10",311,87,169,1,1636942000010
