name,ballots,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in,id
"City of Allen Park, Precinct 1",202,8,23,13,0,0,1630138000001.0
"City of Allen Park, Precinct 2",513,20,45,45,3,0,1630138000002.0
"City of Allen Park, Precinct 3",695,28,62,65,8,0,1630138000003.0
"City of Allen Park, Precinct 4",530,31,54,44,3,0,1630138000004.0
"City of Allen Park, Precinct 5",506,20,53,39,2,0,1630138000005.0
"City of Allen Park, Precinct 6",692,31,80,63,4,0,1630138000006.0
"City of Allen Park, Precinct 7",591,32,50,74,1,0,1630138000007.0
"City of Allen Park, Precinct 8",215,8,36,26,0,0,1630138000008.0
"City of Belleville, Precinct 1",517,9,43,52,1,0,1630702000001.0
"Charter Township of Brownstown, Precinct 1",415,17,50,43,1,0,1631122000001.0
"Charter Township of Brownstown, Precinct 2",345,14,22,28,0,0,1631122000002.0
"Charter Township of Brownstown, Precinct 3",527,18,47,43,2,0,1631122000003.0
"Charter Township of Brownstown, Precinct 4",903,55,139,89,2,0,1631122000004.0
"Charter Township of Brownstown, Precinct 5",378,20,46,40,1,0,1631122000005.0
"Charter Township of Brownstown, Precinct 6",516,28,63,48,2,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",374,19,45,38,1,0,1631122000007.0
"Charter Township of Brownstown, Precinct 8",333,13,32,22,1,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",327,9,23,24,0,0,1631122000009.0
"Charter Township of Brownstown, Precinct 10",395,1,14,17,0,0,1631122000010.0
"Charter Township of Brownstown, Precinct 11",244,6,23,26,0,0,1631122000011.0
"Charter Township of Brownstown, Precinct 12",347,18,15,21,0,0,1631122000012.0
"Canton Township, Precinct 1",878,42,102,64,0,0,1631312000001.0
"Canton Township, Precinct 2",982,63,145,91,1,0,1631312000002.0
"Canton Township, Precinct 3",1073,52,144,98,2,0,1631312000003.0
"Canton Township, Precinct 4",844,30,99,56,3,1,1631312000004.0
"Canton Township, Precinct 5",595,19,70,49,2,0,1631312000005.0
"Canton Township, Precinct 6",315,17,24,29,0,0,1631312000006.0
"Canton Township, Precinct 7",800,29,104,72,2,0,1631312000007.0
"Canton Township, Precinct 8",710,25,86,57,0,0,1631312000008.0
"Canton Township, Precinct 9",721,32,78,63,0,0,1631312000009.0
"Canton Township, Precinct 10",696,37,81,58,1,0,1631312000010.0
"Canton Township, Precinct 11",518,34,50,41,0,0,1631312000011.0
"Canton Township, Precinct 12",954,63,153,68,2,0,1631312000012.0
"Canton Township, Precinct 13",955,45,132,96,0,0,1631312000013.0
"Canton Township, Precinct 14",1075,46,153,120,1,0,1631312000014.0
"Canton Township, Precinct 15",1173,75,164,96,6,1,1631312000015.0
"Canton Township, Precinct 16",881,41,98,48,2,0,1631312000016.0
"Canton Township, Precinct 17",877,6,53,35,1,0,1631312000017.0
"Canton Township, Precinct 18",941,22,56,23,0,0,1631312000018.0
"Canton Township, Precinct 19",788,10,39,28,1,0,1631312000019.0
"Canton Township, Precinct 20",809,27,52,37,0,0,1631312000020.0
"City of Dearborn, Precinct 1",59,0,2,1,0,0,1632100000001.0
"City of Dearborn, Precinct 2",74,4,4,4,1,0,1632100000002.0
"City of Dearborn, Precinct 3",109,3,4,3,0,0,1632100000003.0
"City of Dearborn, Precinct 4",81,3,1,3,1,0,1632100000004.0
"City of Dearborn, Precinct 6",83,0,2,2,0,0,1632100000006.0
"City of Dearborn, Precinct 7",102,2,4,6,0,0,1632100000007.0
"City of Dearborn, Precinct 8",84,3,8,2,0,0,1632100000008.0
"City of Dearborn, Precinct 9",65,4,2,1,0,0,1632100000009.0
"City of Dearborn, Precinct 10",87,1,2,2,0,0,1632100000010.0
"City of Dearborn, Precinct 11",50,0,1,4,0,0,1632100000011.0
"City of Dearborn, Precinct 12",87,3,4,3,0,0,1632100000012.0
"City of Dearborn, Precinct 13",174,2,15,8,1,0,1632100000013.0
"City of Dearborn, Precinct 15",102,1,2,7,0,0,1632100000015.0
"City of Dearborn, Precinct 16",124,1,8,5,0,1,1632100000016.0
"City of Dearborn, Precinct 17",134,3,3,8,1,1,1632100000017.0
"City of Dearborn, Precinct 18",135,2,7,9,1,0,1632100000018.0
"City of Dearborn, Precinct 19",82,0,0,6,0,0,1632100000019.0
"City of Dearborn, Precinct 20",42,0,0,0,0,0,1632100000020.0
"City of Dearborn, Precinct 21",41,2,0,1,0,0,1632100000021.0
"City of Dearborn, Precinct 22",323,16,27,20,0,0,1632100000022.0
"City of Dearborn, Precinct 24",181,4,11,12,1,0,1632100000024.0
"City of Dearborn, Precinct 25",294,16,28,37,1,0,1632100000025.0
"City of Dearborn, Precinct 26",235,11,35,13,0,1,1632100000026.0
"City of Dearborn, Precinct 27",240,15,16,15,0,0,1632100000027.0
"City of Dearborn, Precinct 28",131,7,20,13,0,0,1632100000028.0
"City of Dearborn, Precinct 29",221,4,25,17,0,0,1632100000029.0
"City of Dearborn, Precinct 31",329,15,31,22,0,0,1632100000031.0
"City of Dearborn, Precinct 32",195,5,23,16,0,0,1632100000032.0
"City of Dearborn, Precinct 33",202,4,18,18,3,0,1632100000033.0
"City of Dearborn, Precinct 34",221,9,13,18,0,0,1632100000034.0
"City of Dearborn, Precinct 35",352,16,30,13,0,0,1632100000035.0
"City of Dearborn, Precinct 37",253,9,28,11,0,0,1632100000037.0
"City of Dearborn, Precinct 38",244,2,30,14,0,0,1632100000038.0
"City of Dearborn, Precinct 40",151,3,6,14,0,0,1632100000040.0
"City of Dearborn, Precinct 41",260,9,24,23,1,0,1632100000041.0
"City of Dearborn, Precinct 42",409,15,31,11,0,1,1632100000042.0
"City of Dearborn, Precinct 44",245,6,20,16,0,0,1632100000044.0
"City of Dearborn, Precinct 45",221,4,15,10,0,0,1632100000045.0
"City of Dearborn, Precinct 46",247,13,14,7,1,0,1632100000046.0
"City of Dearborn, Precinct 47",328,11,33,18,1,0,1632100000047.0
"City of Dearborn, Precinct 49",270,3,30,20,1,0,1632100000049.0
"City of Dearborn, Precinct 50",184,3,18,19,2,0,1632100000050.0
"City of Dearborn Heights, Precinct 1",303,5,12,17,1,0,1632102000001.0
"City of Dearborn Heights, Precinct 2",335,10,23,24,1,0,1632102000002.0
"City of Dearborn Heights, Precinct 3",310,19,24,34,0,0,1632102000003.0
"City of Dearborn Heights, Precinct 4",475,27,49,61,1,0,1632102000004.0
"City of Dearborn Heights, Precinct 5",332,12,30,22,0,0,1632102000005.0
"City of Dearborn Heights, Precinct 6",331,18,30,35,0,0,1632102000006.0
"City of Dearborn Heights, Precinct 7",175,7,16,15,0,0,1632102000007.0
"City of Dearborn Heights, Precinct 8",287,11,25,28,0,0,1632102000008.0
"City of Dearborn Heights, Precinct 9",291,9,36,22,0,0,1632102000009.0
"City of Dearborn Heights, Precinct 10",374,7,27,26,0,0,1632102000010.0
"City of Dearborn Heights, Precinct 11",260,14,25,13,0,0,1632102000011.0
"City of Dearborn Heights, Precinct 12",405,21,44,34,4,0,1632102000012.0
"City of Dearborn Heights, Precinct 13",458,20,37,43,0,0,1632102000013.0
"City of Dearborn Heights, Precinct 14",271,23,23,34,0,0,1632102000014.0
"City of Dearborn Heights, Precinct 15",348,9,32,29,1,0,1632102000015.0
"City of Detroit, Precinct 1",45,0,2,0,0,0,1632200004001.0
"City of Detroit, Precinct 2",42,0,1,0,0,0,1632200004002.0
"City of Detroit, Precinct 4",17,0,0,0,0,0,1632200004004.0
"City of Detroit, Precinct 5",24,0,0,0,0,0,1632200004005.0
"City of Detroit, Precinct 6",31,0,0,0,0,0,1632200004006.0
"City of Detroit, Precinct 7",71,0,0,0,0,0,1632200004007.0
"City of Detroit, Precinct 8",51,0,0,0,0,0,1632200004008.0
"City of Detroit, Precinct 9",26,0,0,0,0,0,1632200004009.0
"City of Detroit, Precinct 10",6,0,0,0,0,0,1632200004010.0
"City of Detroit, Precinct 11",81,0,1,0,0,0,1632200004011.0
"City of Detroit, Precinct 12",52,0,0,0,0,0,1632200004012.0
"City of Detroit, Precinct 14",4,0,0,0,0,0,1632200004014.0
"City of Detroit, Precinct 15",30,0,0,0,0,0,1632200004015.0
"City of Detroit, Precinct 16",24,0,0,0,0,0,1632200004016.0
"City of Detroit, Precinct 18",27,0,0,0,0,0,1632200004018.0
"City of Detroit, Precinct 19",29,0,0,0,0,0,1632200004019.0
"City of Detroit, Precinct 20",52,0,0,1,0,0,1632200004020.0
"City of Detroit, Precinct 22",29,1,0,0,0,0,1632200004022.0
"City of Detroit, Precinct 23",82,0,1,0,0,0,1632200004023.0
"City of Detroit, Precinct 25",11,0,0,0,0,0,1632200004025.0
"City of Detroit, Precinct 26",6,0,0,0,0,0,1632200004026.0
"City of Detroit, Precinct 27",27,0,0,0,0,0,1632200004027.0
"City of Detroit, Precinct 29",20,0,0,0,0,0,1632200004029.0
"City of Detroit, Precinct 32",86,0,1,3,0,0,1632200004032.0
"City of Detroit, Precinct 33",60,0,1,1,0,0,1632200004033.0
"City of Detroit, Precinct 34",90,0,0,0,0,0,1632200004034.0
"City of Detroit, Precinct 35",44,0,0,0,0,0,1632200004035.0
"City of Detroit, Precinct 36",21,0,0,0,0,0,1632200004036.0
"City of Detroit, Precinct 38",28,0,1,0,0,0,1632200004038.0
"City of Detroit, Precinct 39",31,0,0,0,0,0,1632200004039.0
"City of Detroit, Precinct 40",25,0,0,0,0,0,1632200004040.0
"City of Detroit, Precinct 41",25,0,0,0,0,0,1632200004041.0
"City of Detroit, Precinct 43",36,0,0,0,0,0,1632200004043.0
"City of Detroit, Precinct 44",44,0,0,0,0,0,1632200004044.0
"City of Detroit, Precinct 45",20,0,0,0,0,0,1632200004045.0
"City of Detroit, Precinct 46",3,0,0,0,0,0,1632200004046.0
"City of Detroit, Precinct 47",62,0,0,0,0,0,1632200004047.0
"City of Detroit, Precinct 49",11,0,0,0,0,0,1632200004049.0
"City of Detroit, Precinct 50",41,0,0,0,0,0,1632200004050.0
"City of Detroit, Precinct 51",7,0,0,0,0,0,1632200004051.0
"City of Detroit, Precinct 52",21,0,0,0,0,0,1632200004052.0
"City of Detroit, Precinct 53",31,0,0,0,1,0,1632200004053.0
"City of Detroit, Precinct 55",21,0,0,0,0,0,1632200004055.0
"City of Detroit, Precinct 56",18,0,0,1,0,0,1632200004056.0
"City of Detroit, Precinct 59",0,0,0,0,0,0,1632200003059.0
"City of Detroit, Precinct 60",3,0,0,0,0,0,1632200007060.0
"City of Detroit, Precinct 61",49,0,0,0,0,0,1632200003061.0
"City of Detroit, Precinct 62",43,0,1,0,0,0,1632200003062.0
"City of Detroit, Precinct 64",21,0,0,0,0,0,1632200003064.0
"City of Detroit, Precinct 65",27,0,0,1,0,0,1632200003065.0
"City of Detroit, Precinct 66",12,0,0,0,0,0,1632200003066.0
"City of Detroit, Precinct 68",61,0,0,0,0,0,1632200003068.0
"City of Detroit, Precinct 69",0,0,0,0,0,0,1632200006069.0
"City of Detroit, Precinct 70",18,0,0,0,0,0,1632200003070.0
"City of Detroit, Precinct 71",9,0,0,0,0,0,1632200003071.0
"City of Detroit, Precinct 72",7,0,0,3,0,0,1632200003072.0
"City of Detroit, Precinct 73",17,0,0,0,0,0,1632200003073.0
"City of Detroit, Precinct 74",18,0,0,0,0,0,1632200003074.0
"City of Detroit, Precinct 75",35,0,0,1,0,0,1632200003075.0
"City of Detroit, Precinct 77",22,0,0,0,0,0,1632200003077.0
"City of Detroit, Precinct 78",13,0,0,0,0,0,1632200003078.0
"City of Detroit, Precinct 79",60,0,0,0,0,0,1632200003079.0
"City of Detroit, Precinct 80",18,0,0,0,0,0,1632200003080.0
"City of Detroit, Precinct 81",50,0,0,0,0,0,1632200003081.0
"City of Detroit, Precinct 82",23,0,0,0,0,0,1632200003082.0
"City of Detroit, Precinct 83",17,0,0,0,0,0,1632200003083.0
"City of Detroit, Precinct 84",53,0,0,0,0,0,1632200003084.0
"City of Detroit, Precinct 85",20,0,0,0,0,0,1632200003085.0
"City of Detroit, Precinct 86",32,0,0,0,0,0,1632200003086.0
"City of Detroit, Precinct 88",42,1,0,0,0,0,1632200003088.0
"City of Detroit, Precinct 89",16,0,0,0,0,0,1632200003089.0
"City of Detroit, Precinct 90",12,0,0,0,0,0,1632200003090.0
"City of Detroit, Precinct 91",28,0,0,0,0,0,1632200003091.0
"City of Detroit, Precinct 92",42,0,0,0,0,0,1632200003092.0
"City of Detroit, Precinct 93",14,0,0,0,0,0,1632200003093.0
"City of Detroit, Precinct 94",19,0,0,0,0,0,1632200003094.0
"City of Detroit, Precinct 95",27,0,1,0,0,0,1632200003095.0
"City of Detroit, Precinct 97",18,0,0,0,0,0,1632200003097.0
"City of Detroit, Precinct 98",30,0,0,0,0,0,1632200003098.0
"City of Detroit, Precinct 100",5,0,0,0,0,0,1632200003100.0
"City of Detroit, Precinct 101",14,0,0,0,0,0,1632200004101.0
"City of Detroit, Precinct 102",8,0,0,0,0,0,1632200003102.0
"City of Detroit, Precinct 103",22,0,0,0,0,0,1632200004103.0
"City of Detroit, Precinct 105",25,0,0,0,0,0,1632200004105.0
"City of Detroit, Precinct 107",4,0,0,1,0,0,1632200003107.0
"City of Detroit, Precinct 111",25,0,0,0,0,0,1632200004111.0
"City of Detroit, Precinct 112",36,0,1,0,0,0,1632200004112.0
"City of Detroit, Precinct 115",61,0,1,0,0,0,1632200004115.0
"City of Detroit, Precinct 116",44,0,0,0,0,0,1632200004116.0
"City of Detroit, Precinct 120",52,0,1,0,0,0,1632200005120.0
"City of Detroit, Precinct 121",44,0,0,0,0,0,1632200003121.0
"City of Detroit, Precinct 122",11,0,0,0,0,0,1632200005122.0
"City of Detroit, Precinct 123",7,0,0,1,0,0,1632200005123.0
"City of Detroit, Precinct 124",179,0,1,0,0,0,1632200005124.0
"City of Detroit, Precinct 125",139,0,2,1,0,0,1632200005125.0
"City of Detroit, Precinct 126",58,0,2,1,0,0,1632200005126.0
"City of Detroit, Precinct 128",33,0,0,0,0,0,1632200005128.0
"City of Detroit, Precinct 129",21,0,0,0,0,0,1632200005129.0
"City of Detroit, Precinct 130",15,0,0,0,0,0,1632200005130.0
"City of Detroit, Precinct 132",82,0,0,0,0,0,1632200005132.0
"City of Detroit, Precinct 133",107,0,3,0,0,0,1632200005133.0
"City of Detroit, Precinct 134",85,0,6,0,0,0,1632200005134.0
"City of Detroit, Precinct 135",42,1,1,0,0,0,1632200004135.0
"City of Detroit, Precinct 136",95,0,0,0,0,0,1632200005136.0
"City of Detroit, Precinct 137",22,0,0,0,0,0,1632200005137.0
"City of Detroit, Precinct 138",39,0,0,0,0,0,1632200005138.0
"City of Detroit, Precinct 139",42,0,0,0,0,0,1632200005139.0
"City of Detroit, Precinct 140",38,0,0,0,0,0,1632200005140.0
"City of Detroit, Precinct 143",39,0,4,0,0,0,1632200006143.0
"City of Detroit, Precinct 144",62,0,1,0,0,0,1632200006144.0
"City of Detroit, Precinct 145",22,0,0,0,0,0,1632200006145.0
"City of Detroit, Precinct 146",53,0,0,0,0,0,1632200006146.0
"City of Detroit, Precinct 147",28,0,0,0,0,0,1632200005147.0
"City of Detroit, Precinct 148",30,0,0,0,0,0,1632200006148.0
"City of Detroit, Precinct 150",52,1,0,0,0,0,1632200006150.0
"City of Detroit, Precinct 151",88,1,1,0,1,0,1632200006151.0
"City of Detroit, Precinct 156",19,1,0,0,0,0,1632200005156.0
"City of Detroit, Precinct 157",49,0,0,0,0,0,1632200006157.0
"City of Detroit, Precinct 158",97,1,1,1,0,0,1632200005158.0
"City of Detroit, Precinct 159",70,0,0,3,0,0,1632200005159.0
"City of Detroit, Precinct 161",76,0,0,0,0,0,1632200005161.0
"City of Detroit, Precinct 162",76,0,3,0,0,0,1632200005162.0
"City of Detroit, Precinct 164",12,0,0,0,0,0,1632200005164.0
"City of Detroit, Precinct 165",106,0,1,0,0,0,1632200005165.0
"City of Detroit, Precinct 166",4,0,0,0,0,0,1632200007166.0
"City of Detroit, Precinct 167",62,0,0,0,0,0,1632200005167.0
"City of Detroit, Precinct 168",57,0,0,0,0,0,1632200005168.0
"City of Detroit, Precinct 169",46,0,0,0,0,0,1632200005169.0
"City of Detroit, Precinct 172",27,0,1,0,0,0,1632200003172.0
"City of Detroit, Precinct 173",46,0,0,0,0,0,1632200003173.0
"City of Detroit, Precinct 174",9,0,1,0,0,0,1632200003174.0
"City of Detroit, Precinct 175",7,0,0,0,0,0,1632200003175.0
"City of Detroit, Precinct 176",23,0,0,0,0,0,1632200003176.0
"City of Detroit, Precinct 177",27,0,0,0,0,0,1632200003177.0
"City of Detroit, Precinct 178",23,0,0,0,0,0,1632200003178.0
"City of Detroit, Precinct 180",25,0,0,0,0,0,1632200003180.0
"City of Detroit, Precinct 182",59,0,2,0,0,0,1632200003182.0
"City of Detroit, Precinct 183",15,0,0,0,0,0,1632200003183.0
"City of Detroit, Precinct 184",64,0,3,0,0,0,1632200003184.0
"City of Detroit, Precinct 185",34,0,1,1,0,0,1632200003185.0
"City of Detroit, Precinct 188",17,0,0,1,0,0,1632200003188.0
"City of Detroit, Precinct 189",34,0,0,0,0,0,1632200003189.0
"City of Detroit, Precinct 190",17,0,0,0,0,0,1632200003190.0
"City of Detroit, Precinct 191",22,0,0,0,0,0,1632200003191.0
"City of Detroit, Precinct 192",29,0,0,0,0,0,1632200003192.0
"City of Detroit, Precinct 193",6,0,0,0,0,0,1632200003193.0
"City of Detroit, Precinct 194",19,0,0,0,0,0,1632200003194.0
"City of Detroit, Precinct 195",41,0,0,0,0,0,1632200003195.0
"City of Detroit, Precinct 197",8,0,1,0,0,0,1632200003197.0
"City of Detroit, Precinct 198",44,0,0,0,0,0,1632200003198.0
"City of Detroit, Precinct 199",11,0,0,0,0,0,1632200003199.0
"City of Detroit, Precinct 200",61,0,0,0,0,0,1632200002200.0
"City of Detroit, Precinct 201",116,0,2,1,0,0,1632200002201.0
"City of Detroit, Precinct 203",106,0,0,2,0,0,1632200002203.0
"City of Detroit, Precinct 204",56,0,0,0,0,0,1632200002204.0
"City of Detroit, Precinct 207",114,0,2,0,0,0,1632200002207.0
"City of Detroit, Precinct 208",134,1,0,0,0,0,1632200002208.0
"City of Detroit, Precinct 209",41,0,0,0,0,0,1632200002209.0
"City of Detroit, Precinct 210",38,0,2,0,0,0,1632200002210.0
"City of Detroit, Precinct 211",66,0,1,0,0,0,1632200002211.0
"City of Detroit, Precinct 212",32,0,1,0,0,0,1632200005212.0
"City of Detroit, Precinct 215",20,0,0,0,0,0,1632200005215.0
"City of Detroit, Precinct 216",5,0,0,0,0,0,1632200005216.0
"City of Detroit, Precinct 217",43,0,0,0,0,0,1632200005217.0
"City of Detroit, Precinct 218",16,0,0,0,0,0,1632200005218.0
"City of Detroit, Precinct 219",19,0,0,0,0,0,1632200005219.0
"City of Detroit, Precinct 220",18,0,0,0,0,0,1632200005220.0
"City of Detroit, Precinct 221",106,0,0,0,0,0,1632200002221.0
"City of Detroit, Precinct 222",30,0,0,1,0,0,1632200002222.0
"City of Detroit, Precinct 223",47,0,1,0,0,0,1632200002223.0
"City of Detroit, Precinct 224",86,0,0,0,0,0,1632200002224.0
"City of Detroit, Precinct 225",61,0,0,0,0,0,1632200002225.0
