name,ballots,Jocelyn Benson,Christopher Robert Swanson,Write-in,id
"City of Allen Park, Precinct 1",230,99,57,1,1630138000001.0
"City of Allen Park, Precinct 2",407,194,66,2,1630138000002.0
"City of Allen Park, Precinct 3",520,242,70,5,1630138000003.0
"City of Allen Park, Precinct 4",375,190,55,2,1630138000004.0
"City of Allen Park, Precinct 5",377,192,54,1,1630138000005.0
"City of Allen Park, Precinct 6",451,199,71,3,1630138000006.0
"City of Allen Park, Precinct 7",517,240,76,0,1630138000007.0
"City of Allen Park, Precinct 8",190,89,24,1,1630138000008.0
"City of Belleville, Precinct 1",411,204,61,2,1630702000001.0
"Charter Township of Brownstown, Precinct 1",184,80,21,1,1631122000001.0
"Charter Township of Brownstown, Precinct 2",190,107,14,1,1631122000002.0
"Charter Township of Brownstown, Precinct 3",285,135,37,0,1631122000003.0
"Charter Township of Brownstown, Precinct 4",284,124,28,3,1631122000004.0
"Charter Township of Brownstown, Precinct 5",230,116,27,3,1631122000005.0
"Charter Township of Brownstown, Precinct 6",266,116,33,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",215,82,22,1,1631122000007.0
"Charter Township of Brownstown, Precinct 8",283,120,32,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",199,96,27,0,1631122000009.0
"Charter Township of Brownstown, Precinct 10",260,138,27,2,1631122000010.0
"Charter Township of Brownstown, Precinct 11",210,60,28,1,1631122000011.0
"Charter Township of Brownstown, Precinct 12",240,108,28,0,1631122000012.0
"Canton Township, Precinct 1",299,182,36,1,1631312000001.0
"Canton Township, Precinct 2",356,204,42,1,1631312000002.0
"Canton Township, Precinct 3",523,252,140,5,1631312000003.0
"Canton Township, Precinct 4",411,226,67,8,1631312000004.0
"Canton Township, Precinct 5",318,168,58,2,1631312000005.0
"Canton Township, Precinct 6",221,123,39,1,1631312000006.0
"Canton Township, Precinct 7",461,270,77,4,1631312000007.0
"Canton Township, Precinct 8",517,253,151,8,1631312000008.0
"Canton Township, Precinct 9",383,205,81,3,1631312000009.0
"Canton Township, Precinct 10",376,205,62,2,1631312000010.0
"Canton Township, Precinct 11",319,186,38,1,1631312000011.0
"Canton Township, Precinct 12",399,198,65,2,1631312000012.0
"Canton Township, Precinct 13",435,215,57,0,1631312000013.0
"Canton Township, Precinct 14",494,242,80,2,1631312000014.0
"Canton Township, Precinct 15",605,285,113,3,1631312000015.0
"Canton Township, Precinct 16",615,300,123,4,1631312000016.0
"Canton Township, Precinct 17",660,375,134,3,1631312000017.0
"Canton Township, Precinct 18",581,322,113,7,1631312000018.0
"Canton Township, Precinct 19",486,240,93,6,1631312000019.0
"Canton Township, Precinct 20",428,226,66,3,1631312000020.0
"City of Dearborn, Precinct 1",366,118,115,6,1632100000001.0
"City of Dearborn, Precinct 2",279,109,82,11,1632100000002.0
"City of Dearborn, Precinct 3",457,173,111,9,1632100000003.0
"City of Dearborn, Precinct 4",518,166,160,22,1632100000004.0
"City of Dearborn, Precinct 6",374,118,110,12,1632100000006.0
"City of Dearborn, Precinct 7",439,187,105,13,1632100000007.0
"City of Dearborn, Precinct 8",266,118,75,8,1632100000008.0
"City of Dearborn, Precinct 9",310,143,99,9,1632100000009.0
"City of Dearborn, Precinct 10",263,121,52,16,1632100000010.0
"City of Dearborn, Precinct 11",222,86,60,5,1632100000011.0
"City of Dearborn, Precinct 12",312,114,89,7,1632100000012.0
"City of Dearborn, Precinct 13",104,77,4,0,1632100000013.0
"City of Dearborn, Precinct 15",262,98,76,8,1632100000015.0
"City of Dearborn, Precinct 16",321,141,80,15,1632100000016.0
"City of Dearborn, Precinct 17",374,142,119,7,1632100000017.0
"City of Dearborn, Precinct 18",398,162,97,6,1632100000018.0
"City of Dearborn, Precinct 19",292,114,86,14,1632100000019.0
"City of Dearborn, Precinct 20",217,72,79,5,1632100000020.0
"City of Dearborn, Precinct 21",335,102,120,9,1632100000021.0
"City of Dearborn, Precinct 22",429,256,73,10,1632100000022.0
"City of Dearborn, Precinct 24",219,114,34,4,1632100000024.0
"City of Dearborn, Precinct 25",303,137,55,6,1632100000025.0
"City of Dearborn, Precinct 26",297,151,70,2,1632100000026.0
"City of Dearborn, Precinct 27",284,133,49,5,1632100000027.0
"City of Dearborn, Precinct 28",195,94,55,2,1632100000028.0
"City of Dearborn, Precinct 29",369,184,55,2,1632100000029.0
"City of Dearborn, Precinct 31",296,171,47,11,1632100000031.0
"City of Dearborn, Precinct 32",376,172,64,7,1632100000032.0
"City of Dearborn, Precinct 33",341,137,84,13,1632100000033.0
"City of Dearborn, Precinct 34",320,158,63,7,1632100000034.0
"City of Dearborn, Precinct 35",528,268,86,12,1632100000035.0
"City of Dearborn, Precinct 37",319,151,63,5,1632100000037.0
"City of Dearborn, Precinct 38",342,140,78,6,1632100000038.0
"City of Dearborn, Precinct 40",375,182,68,8,1632100000040.0
"City of Dearborn, Precinct 41",320,133,76,9,1632100000041.0
"City of Dearborn, Precinct 42",571,281,107,12,1632100000042.0
"City of Dearborn, Precinct 44",396,210,61,4,1632100000044.0
"City of Dearborn, Precinct 45",369,170,78,2,1632100000045.0
"City of Dearborn, Precinct 46",332,169,58,5,1632100000046.0
"City of Dearborn, Precinct 47",448,221,69,5,1632100000047.0
"City of Dearborn, Precinct 49",300,128,52,3,1632100000049.0
"City of Dearborn, Precinct 50",263,155,20,0,1632100000050.0
"City of Dearborn Heights, Precinct 1",548,275,129,23,1632102000001.0
"City of Dearborn Heights, Precinct 2",609,304,135,20,1632102000002.0
"City of Dearborn Heights, Precinct 3",408,188,88,14,1632102000003.0
"City of Dearborn Heights, Precinct 4",442,203,91,10,1632102000004.0
"City of Dearborn Heights, Precinct 5",488,212,118,12,1632102000005.0
"City of Dearborn Heights, Precinct 6",385,157,89,18,1632102000006.0
"City of Dearborn Heights, Precinct 7",289,128,61,11,1632102000007.0
"City of Dearborn Heights, Precinct 8",389,163,77,11,1632102000008.0
"City of Dearborn Heights, Precinct 9",541,254,130,19,1632102000009.0
"City of Dearborn Heights, Precinct 10",692,338,145,26,1632102000010.0
"City of Dearborn Heights, Precinct 11",317,130,67,5,1632102000011.0
"City of Dearborn Heights, Precinct 12",321,161,45,2,1632102000012.0
"City of Dearborn Heights, Precinct 13",442,188,78,5,1632102000013.0
"City of Dearborn Heights, Precinct 14",353,173,52,3,1632102000014.0
"City of Dearborn Heights, Precinct 15",375,176,71,6,1632102000015.0
"City of Detroit, Precinct 1",163,140,13,1,1632200004001.0
"City of Detroit, Precinct 2",120,102,8,1,1632200004002.0
"City of Detroit, Precinct 4",62,51,8,1,1632200004004.0
"City of Detroit, Precinct 5",67,53,8,0,1632200004005.0
"City of Detroit, Precinct 6",113,101,5,1,1632200004006.0
"City of Detroit, Precinct 7",246,210,19,1,1632200004007.0
"City of Detroit, Precinct 8",148,120,13,0,1632200004008.0
"City of Detroit, Precinct 9",87,71,6,2,1632200004009.0
"City of Detroit, Precinct 10",40,37,2,0,1632200004010.0
"City of Detroit, Precinct 11",220,181,24,2,1632200004011.0
"City of Detroit, Precinct 12",94,78,8,0,1632200004012.0
"City of Detroit, Precinct 14",31,23,4,1,1632200004014.0
"City of Detroit, Precinct 15",127,118,5,0,1632200004015.0
"City of Detroit, Precinct 16",76,64,9,1,1632200004016.0
"City of Detroit, Precinct 18",136,114,12,0,1632200004018.0
"City of Detroit, Precinct 19",72,56,10,1,1632200004019.0
"City of Detroit, Precinct 20",270,211,28,2,1632200004020.0
"City of Detroit, Precinct 22",106,81,13,0,1632200004022.0
"City of Detroit, Precinct 23",236,199,28,0,1632200004023.0
"City of Detroit, Precinct 25",104,89,12,1,1632200004025.0
"City of Detroit, Precinct 26",29,26,1,1,1632200004026.0
"City of Detroit, Precinct 27",84,66,12,2,1632200004027.0
"City of Detroit, Precinct 29",37,32,2,0,1632200004029.0
"City of Detroit, Precinct 32",251,195,29,1,1632200004032.0
"City of Detroit, Precinct 33",150,118,13,1,1632200004033.0
"City of Detroit, Precinct 34",226,182,23,1,1632200004034.0
"City of Detroit, Precinct 35",101,83,6,1,1632200004035.0
"City of Detroit, Precinct 36",66,55,7,1,1632200004036.0
"City of Detroit, Precinct 38",75,69,5,0,1632200004038.0
"City of Detroit, Precinct 39",76,61,9,0,1632200004039.0
"City of Detroit, Precinct 40",57,40,8,2,1632200004040.0
"City of Detroit, Precinct 41",89,73,11,1,1632200004041.0
"City of Detroit, Precinct 43",116,96,9,2,1632200004043.0
"City of Detroit, Precinct 44",85,73,7,0,1632200004044.0
"City of Detroit, Precinct 45",85,74,6,0,1632200004045.0
"City of Detroit, Precinct 46",51,39,9,0,1632200004046.0
"City of Detroit, Precinct 47",165,130,19,0,1632200004047.0
"City of Detroit, Precinct 49",21,15,4,0,1632200004049.0
"City of Detroit, Precinct 50",101,90,9,0,1632200004050.0
"City of Detroit, Precinct 51",50,42,2,1,1632200004051.0
"City of Detroit, Precinct 52",54,45,3,1,1632200004052.0
"City of Detroit, Precinct 53",87,70,5,0,1632200004053.0
"City of Detroit, Precinct 55",79,61,12,0,1632200004055.0
"City of Detroit, Precinct 56",65,52,2,1,1632200004056.0
"City of Detroit, Precinct 59",0,0,0,0,1632200003059.0
"City of Detroit, Precinct 60",14,8,4,0,1632200007060.0
"City of Detroit, Precinct 61",65,58,6,0,1632200003061.0
"City of Detroit, Precinct 62",140,110,15,1,1632200003062.0
"City of Detroit, Precinct 64",58,51,3,0,1632200003064.0
"City of Detroit, Precinct 65",118,97,15,0,1632200003065.0
"City of Detroit, Precinct 66",34,29,3,0,1632200003066.0
"City of Detroit, Precinct 68",184,154,21,0,1632200003068.0
"City of Detroit, Precinct 69",2,2,0,0,1632200006069.0
"City of Detroit, Precinct 70",56,46,6,0,1632200003070.0
"City of Detroit, Precinct 71",67,57,6,1,1632200003071.0
"City of Detroit, Precinct 72",40,31,4,0,1632200003072.0
"City of Detroit, Precinct 73",50,43,3,0,1632200003073.0
"City of Detroit, Precinct 74",53,41,9,1,1632200003074.0
"City of Detroit, Precinct 75",56,44,3,0,1632200003075.0
"City of Detroit, Precinct 77",84,68,10,0,1632200003077.0
"City of Detroit, Precinct 78",25,20,4,0,1632200003078.0
"City of Detroit, Precinct 79",110,93,10,0,1632200003079.0
"City of Detroit, Precinct 80",66,54,7,0,1632200003080.0
"City of Detroit, Precinct 81",99,80,13,1,1632200003081.0
"City of Detroit, Precinct 82",76,59,14,0,1632200003082.0
"City of Detroit, Precinct 83",75,56,9,0,1632200003083.0
"City of Detroit, Precinct 84",94,72,13,1,1632200003084.0
"City of Detroit, Precinct 85",40,31,8,0,1632200003085.0
"City of Detroit, Precinct 86",76,61,10,0,1632200003086.0
"City of Detroit, Precinct 88",82,71,7,0,1632200003088.0
"City of Detroit, Precinct 89",86,60,16,0,1632200003089.0
"City of Detroit, Precinct 90",48,36,7,0,1632200003090.0
"City of Detroit, Precinct 91",278,134,64,2,1632200003091.0
"City of Detroit, Precinct 92",235,142,56,5,1632200003092.0
"City of Detroit, Precinct 93",29,21,7,0,1632200003093.0
"City of Detroit, Precinct 94",152,86,46,0,1632200003094.0
"City of Detroit, Precinct 95",121,77,26,4,1632200003095.0
"City of Detroit, Precinct 97",48,41,3,0,1632200003097.0
"City of Detroit, Precinct 98",93,36,39,2,1632200003098.0
"City of Detroit, Precinct 100",21,16,4,0,1632200003100.0
"City of Detroit, Precinct 101",47,39,8,0,1632200004101.0
"City of Detroit, Precinct 102",43,35,3,0,1632200003102.0
"City of Detroit, Precinct 103",51,37,6,0,1632200004103.0
"City of Detroit, Precinct 105",76,61,11,0,1632200004105.0
"City of Detroit, Precinct 107",17,12,0,0,1632200003107.0
"City of Detroit, Precinct 111",53,45,4,2,1632200004111.0
"City of Detroit, Precinct 112",138,119,13,0,1632200004112.0
"City of Detroit, Precinct 115",194,160,20,2,1632200004115.0
"City of Detroit, Precinct 116",132,114,8,2,1632200004116.0
"City of Detroit, Precinct 120",222,158,33,6,1632200005120.0
"City of Detroit, Precinct 121",61,50,7,1,1632200003121.0
"City of Detroit, Precinct 122",37,29,5,0,1632200005122.0
"City of Detroit, Precinct 123",43,24,15,0,1632200005123.0
"City of Detroit, Precinct 124",555,450,56,4,1632200005124.0
"City of Detroit, Precinct 125",252,225,12,2,1632200005125.0
"City of Detroit, Precinct 126",220,174,33,0,1632200005126.0
"City of Detroit, Precinct 128",103,89,5,0,1632200005128.0
"City of Detroit, Precinct 129",110,90,10,1,1632200005129.0
"City of Detroit, Precinct 130",61,45,6,0,1632200005130.0
"City of Detroit, Precinct 132",150,125,16,1,1632200005132.0
"City of Detroit, Precinct 133",271,216,25,5,1632200005133.0
"City of Detroit, Precinct 134",236,183,32,2,1632200005134.0
"City of Detroit, Precinct 135",188,150,16,2,1632200004135.0
"City of Detroit, Precinct 136",335,275,42,1,1632200005136.0
