name,ballots,Shanelle Jackson,Byron H. Nolen,Rashida Tlaib,Write-in,id
"City of Dearborn, Precinct 1",366,3,7,324,0,1632100000001
"City of Dearborn, Precinct 2",279,1,2,257,0,1632100000002
"City of Dearborn, Precinct 3",457,10,11,379,1,1632100000003
"City of Dearborn, Precinct 4",518,3,5,468,2,1632100000004
"City of Dearborn, Precinct 6",374,1,3,350,2,1632100000006
"City of Dearborn, Precinct 7",439,6,8,377,2,1632100000007
"City of Dearborn, Precinct 8",266,3,3,235,0,1632100000008
"City of Dearborn, Precinct 9",310,5,8,282,0,1632100000009
"City of Dearborn, Precinct 10",263,3,4,230,1,1632100000010
"City of Dearborn, Precinct 11",222,3,6,191,2,1632100000011
"City of Dearborn, Precinct 12",312,1,7,276,1,1632100000012
"City of Dearborn, Precinct 13",104,23,6,51,0,1632100000013
"City of Dearborn, Precinct 15",262,2,3,225,1,1632100000015
"City of Dearborn, Precinct 16",321,2,6,288,1,1632100000016
"City of Dearborn, Precinct 17",374,10,7,301,2,1632100000017
"City of Dearborn, Precinct 18",398,17,12,326,1,1632100000018
"City of Dearborn, Precinct 19",292,6,8,257,3,1632100000019
"City of Dearborn, Precinct 20",217,5,3,198,0,1632100000020
"City of Dearborn, Precinct 21",335,5,6,294,4,1632100000021
"City of Dearborn, Precinct 22",429,28,24,320,5,1632100000022
"City of Dearborn, Precinct 24",219,23,10,130,1,1632100000024
"City of Dearborn, Precinct 25",303,22,11,193,1,1632100000025
"City of Dearborn, Precinct 26",297,15,26,203,0,1632100000026
"City of Dearborn, Precinct 27",284,22,14,171,1,1632100000027
"City of Dearborn, Precinct 28",195,12,30,114,0,1632100000028
"City of Dearborn, Precinct 29",369,9,40,202,0,1632100000029
"City of Dearborn, Precinct 31",296,17,5,236,2,1632100000031
"City of Dearborn, Precinct 32",376,17,15,238,1,1632100000032
"City of Dearborn, Precinct 33",341,11,18,255,0,1632100000033
"City of Dearborn, Precinct 34",320,15,16,225,0,1632100000034
"City of Dearborn, Precinct 35",528,25,25,365,2,1632100000035
"City of Dearborn, Precinct 37",319,11,13,228,1,1632100000037
"City of Dearborn, Precinct 38",342,9,13,241,1,1632100000038
"City of Dearborn, Precinct 40",375,19,18,283,1,1632100000040
"City of Dearborn, Precinct 41",320,7,25,210,1,1632100000041
"City of Dearborn, Precinct 42",571,22,27,400,6,1632100000042
"City of Dearborn, Precinct 44",396,33,31,225,1,1632100000044
"City of Dearborn, Precinct 45",369,15,38,214,0,1632100000045
"City of Dearborn, Precinct 46",332,29,24,191,0,1632100000046
"City of Dearborn, Precinct 47",448,27,32,248,1,1632100000047
"City of Dearborn, Precinct 49",300,18,25,160,0,1632100000049
"City of Dearborn, Precinct 50",263,21,8,151,0,1632100000050
"City of Dearborn Heights, Precinct 1",548,11,12,487,3,1632102000001
"City of Dearborn Heights, Precinct 2",609,21,22,503,3,1632102000002
"City of Dearborn Heights, Precinct 3",408,26,25,269,1,1632102000003
