name,ballots,Jocelyn Benson,Christopher Robert Swanson,Write-in,id
"City of Dearborn, Precinct 37",325,195,42,0,1632100000037.0
"City of Dearborn, Precinct 38",302,185,28,0,1632100000038.0
"City of Dearborn, Precinct 4",160,70,44,1,1632100000004.0
"City of Dearborn, Precinct 40",219,116,40,5,1632100000040.0
"City of Dearborn, Precinct 41",312,199,29,1,1632100000041.0
"City of Dearborn, Precinct 42",536,352,51,3,1632100000042.0
"City of Dearborn, Precinct 44",297,195,27,1,1632100000044.0
"City of Dearborn, Precinct 45",296,213,19,0,1632100000045.0
"City of Dearborn, Precinct 46",284,178,35,0,1632100000046.0
"City of Dearborn, Precinct 47",389,235,42,2,1632100000047.0
"City of Dearborn, Precinct 49",321,204,31,0,1632100000049.0
"City of Dearborn, Precinct 50",217,135,20,0,1632100000050.0
"City of Dearborn, Precinct 6",172,74,46,3,1632100000006.0
"City of Dearborn, Precinct 7",206,95,50,2,1632100000007.0
"City of Dearborn, Precinct 8",171,89,28,4,1632100000008.0
"City of Dearborn, Precinct 9",148,78,28,1,1632100000009.0
"City of Detroit, Precinct 1",206,154,10,0,1632200004001.0
"City of Detroit, Precinct 10",76,59,4,0,1632200004010.0
"City of Detroit, Precinct 100",69,50,10,0,1632200003100.0
"City of Detroit, Precinct 101",102,82,9,0,1632200004101.0
"City of Detroit, Precinct 102",64,52,2,0,1632200003102.0
"City of Detroit, Precinct 103",101,82,1,1,1632200004103.0
"City of Detroit, Precinct 105",195,149,9,1,1632200004105.0
"City of Detroit, Precinct 107",31,23,1,0,1632200003107.0
"City of Detroit, Precinct 11",327,268,31,1,1632200004011.0
"City of Detroit, Precinct 111",133,112,10,0,1632200004111.0
"City of Detroit, Precinct 112",179,148,8,0,1632200004112.0
"City of Detroit, Precinct 115",266,216,16,2,1632200004115.0
"City of Detroit, Precinct 116",225,182,10,0,1632200004116.0
"City of Detroit, Precinct 12",245,199,20,0,1632200004012.0
"City of Detroit, Precinct 120",243,190,14,1,1632200005120.0
"City of Detroit, Precinct 121",169,129,16,0,1632200003121.0
"City of Detroit, Precinct 122",74,61,4,0,1632200005122.0
"City of Detroit, Precinct 123",45,38,4,0,1632200005123.0
"City of Detroit, Precinct 124",855,719,59,4,1632200005124.0
"City of Detroit, Precinct 125",616,541,22,1,1632200005125.0
"City of Detroit, Precinct 126",263,217,13,2,1632200005126.0
"City of Detroit, Precinct 128",145,111,11,1,1632200005128.0
"City of Detroit, Precinct 129",88,69,11,1,1632200005129.0
"City of Detroit, Precinct 130",112,83,8,0,1632200005130.0
"City of Detroit, Precinct 132",506,404,35,1,1632200005132.0
"City of Detroit, Precinct 133",377,325,16,1,1632200005133.0
"City of Detroit, Precinct 134",312,255,16,2,1632200005134.0
"City of Detroit, Precinct 135",208,179,12,0,1632200004135.0
"City of Detroit, Precinct 136",517,404,44,1,1632200005136.0
"City of Detroit, Precinct 137",74,53,3,1,1632200005137.0
"City of Detroit, Precinct 138",248,185,20,0,1632200005138.0
"City of Detroit, Precinct 139",236,190,9,0,1632200005139.0
"City of Detroit, Precinct 14",35,32,1,0,1632200004014.0
"City of Detroit, Precinct 140",154,109,16,0,1632200005140.0
"City of Detroit, Precinct 143",199,158,17,0,1632200006143.0
"City of Detroit, Precinct 144",271,212,29,1,1632200006144.0
"City of Detroit, Precinct 145",140,101,11,0,1632200006145.0
"City of Detroit, Precinct 146",267,197,18,4,1632200006146.0
"City of Detroit, Precinct 147",200,160,13,1,1632200005147.0
"City of Detroit, Precinct 148",129,102,13,0,1632200006148.0
"City of Detroit, Precinct 15",143,107,11,1,1632200004015.0
"City of Detroit, Precinct 150",231,189,14,0,1632200006150.0
"City of Detroit, Precinct 151",488,379,36,3,1632200006151.0
"City of Detroit, Precinct 156",143,108,8,2,1632200005156.0
"City of Detroit, Precinct 157",194,147,15,1,1632200006157.0
"City of Detroit, Precinct 158",309,276,15,0,1632200005158.0
"City of Detroit, Precinct 159",224,177,24,1,1632200005159.0
"City of Detroit, Precinct 16",104,82,9,0,1632200004016.0
"City of Detroit, Precinct 161",260,211,16,2,1632200005161.0
"City of Detroit, Precinct 162",318,248,36,1,1632200005162.0
"City of Detroit, Precinct 164",73,58,2,0,1632200005164.0
"City of Detroit, Precinct 165",464,357,32,4,1632200005165.0
"City of Detroit, Precinct 166",50,43,0,0,1632200007166.0
"City of Detroit, Precinct 167",260,212,22,1,1632200005167.0
"City of Detroit, Precinct 168",258,203,17,2,1632200005168.0
"City of Detroit, Precinct 169",182,137,23,2,1632200005169.0
"City of Detroit, Precinct 172",141,108,15,0,1632200003172.0
"City of Detroit, Precinct 173",221,172,9,2,1632200003173.0
"City of Detroit, Precinct 174",72,51,6,1,1632200003174.0
"City of Detroit, Precinct 175",46,36,1,0,1632200003175.0
"City of Detroit, Precinct 176",146,124,10,0,1632200003176.0
"City of Detroit, Precinct 177",138,110,10,0,1632200003177.0
"City of Detroit, Precinct 178",127,101,9,0,1632200003178.0
"City of Detroit, Precinct 18",169,131,16,0,1632200004018.0
"City of Detroit, Precinct 180",113,91,9,1,1632200003180.0
"City of Detroit, Precinct 182",239,199,12,0,1632200003182.0
"City of Detroit, Precinct 183",74,58,6,0,1632200003183.0
"City of Detroit, Precinct 184",276,228,9,1,1632200003184.0
"City of Detroit, Precinct 185",141,118,8,0,1632200003185.0
"City of Detroit, Precinct 188",104,86,2,0,1632200003188.0
"City of Detroit, Precinct 189",157,132,7,2,1632200003189.0
"City of Detroit, Precinct 19",121,87,6,0,1632200004019.0
"City of Detroit, Precinct 190",77,62,2,0,1632200003190.0
"City of Detroit, Precinct 191",152,123,8,1,1632200003191.0
"City of Detroit, Precinct 192",138,117,7,0,1632200003192.0
"City of Detroit, Precinct 193",84,66,7,0,1632200003193.0
"City of Detroit, Precinct 194",89,76,3,1,1632200003194.0
"City of Detroit, Precinct 195",197,164,7,0,1632200003195.0
"City of Detroit, Precinct 197",63,36,5,0,1632200003197.0
"City of Detroit, Precinct 198",151,128,8,0,1632200003198.0
"City of Detroit, Precinct 199",54,40,4,0,1632200003199.0
"City of Detroit, Precinct 2",203,167,14,0,1632200004002.0
"City of Detroit, Precinct 20",259,203,13,2,1632200004020.0
"City of Detroit, Precinct 200",224,203,9,0,1632200002200.0
"City of Detroit, Precinct 201",541,468,22,3,1632200002201.0
"City of Detroit, Precinct 203",394,350,25,1,1632200002203.0
"City of Detroit, Precinct 204",257,216,12,0,1632200002204.0
"City of Detroit, Precinct 207",442,361,31,0,1632200002207.0
"City of Detroit, Precinct 208",453,393,36,1,1632200002208.0
"City of Detroit, Precinct 209",130,111,10,0,1632200002209.0
"City of Detroit, Precinct 210",147,125,9,1,1632200002210.0
"City of Detroit, Precinct 211",247,202,18,1,1632200002211.0
"City of Detroit, Precinct 212",197,151,8,0,1632200005212.0
"City of Detroit, Precinct 215",103,79,10,0,1632200005215.0
"City of Detroit, Precinct 216",64,46,2,0,1632200005216.0
"City of Detroit, Precinct 217",165,141,12,0,1632200005217.0
"City of Detroit, Precinct 218",66,52,6,0,1632200005218.0
"City of Detroit, Precinct 219",92,76,3,0,1632200005219.0
"City of Detroit, Precinct 22",143,116,8,1,1632200004022.0
"City of Detroit, Precinct 220",95,81,6,0,1632200005220.0
"City of Detroit, Precinct 221",380,323,19,0,1632200002221.0
"City of Detroit, Precinct 222",142,111,8,0,1632200002222.0
