name,ballots,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in,id
"City of Allen Park, Precinct 1",230,116,4,45,0,1630138000001.0
"City of Allen Park, Precinct 2",407,165,9,95,0,1630138000002.0
"City of Allen Park, Precinct 3",520,224,5,103,1,1630138000003.0
"City of Allen Park, Precinct 4",375,158,2,93,0,1630138000004.0
"City of Allen Park, Precinct 5",377,159,5,90,0,1630138000005.0
"City of Allen Park, Precinct 6",451,169,6,107,0,1630138000006.0
"City of Allen Park, Precinct 7",517,210,10,107,0,1630138000007.0
"City of Allen Park, Precinct 8",190,53,8,55,0,1630138000008.0
"City of Belleville, Precinct 1",411,181,7,82,1,1630702000001.0
"Charter Township of Brownstown, Precinct 1",184,70,1,32,1,1631122000001.0
"Charter Township of Brownstown, Precinct 2",190,77,2,44,0,1631122000002.0
"Charter Township of Brownstown, Precinct 3",285,111,2,68,0,1631122000003.0
"Charter Township of Brownstown, Precinct 4",284,89,1,72,0,1631122000004.0
"Charter Township of Brownstown, Precinct 5",230,94,4,54,0,1631122000005.0
"Charter Township of Brownstown, Precinct 6",266,94,2,57,0,1631122000006.0
"Charter Township of Brownstown, Precinct 7",215,65,3,39,0,1631122000007.0
"Charter Township of Brownstown, Precinct 8",283,103,4,53,0,1631122000008.0
"Charter Township of Brownstown, Precinct 9",199,72,5,47,0,1631122000009.0
"Charter Township of Brownstown, Precinct 10",260,105,2,60,0,1631122000010.0
"Charter Township of Brownstown, Precinct 11",210,58,5,34,0,1631122000011.0
"Charter Township of Brownstown, Precinct 12",240,75,3,62,0,1631122000012.0
"Canton Township, Precinct 1",299,129,2,95,0,1631312000001.0
"Canton Township, Precinct 2",356,155,2,108,0,1631312000002.0
"Canton Township, Precinct 3",523,278,0,138,0,1631312000003.0
"Canton Township, Precinct 4",411,229,4,86,0,1631312000004.0
"Canton Township, Precinct 5",318,160,2,70,0,1631312000005.0
"Canton Township, Precinct 6",221,106,7,54,0,1631312000006.0
"Canton Township, Precinct 7",461,287,4,73,0,1631312000007.0
"Canton Township, Precinct 8",517,344,3,91,0,1631312000008.0
"Canton Township, Precinct 9",383,228,2,78,0,1631312000009.0
"Canton Township, Precinct 10",376,214,6,67,0,1631312000010.0
"Canton Township, Precinct 11",319,161,4,72,0,1631312000011.0
"Canton Township, Precinct 12",399,185,1,90,0,1631312000012.0
"Canton Township, Precinct 13",435,215,2,79,0,1631312000013.0
"Canton Township, Precinct 14",494,226,4,107,0,1631312000014.0
"Canton Township, Precinct 15",605,310,6,114,0,1631312000015.0
"Canton Township, Precinct 16",615,380,2,100,1,1631312000016.0
"Canton Township, Precinct 17",660,352,5,182,0,1631312000017.0
"Canton Township, Precinct 18",581,344,6,116,0,1631312000018.0
"Canton Township, Precinct 19",486,264,4,98,0,1631312000019.0
"Canton Township, Precinct 20",428,194,5,103,3,1631312000020.0
"City of Dearborn, Precinct 1",366,337,2,9,0,1632100000001.0
"City of Dearborn, Precinct 2",279,259,0,6,0,1632100000002.0
"City of Dearborn, Precinct 3",457,412,0,20,1,1632100000003.0
"City of Dearborn, Precinct 4",518,486,4,7,1,1632100000004.0
"City of Dearborn, Precinct 6",374,364,2,3,0,1632100000006.0
"City of Dearborn, Precinct 7",439,405,0,3,2,1632100000007.0
"City of Dearborn, Precinct 8",266,251,0,5,0,1632100000008.0
"City of Dearborn, Precinct 9",310,290,0,13,0,1632100000009.0
"City of Dearborn, Precinct 10",263,222,2,24,0,1632100000010.0
"City of Dearborn, Precinct 11",222,208,0,5,0,1632100000011.0
"City of Dearborn, Precinct 12",312,277,3,15,0,1632100000012.0
"City of Dearborn, Precinct 13",104,19,4,62,0,1632100000013.0
"City of Dearborn, Precinct 15",262,234,0,6,0,1632100000015.0
"City of Dearborn, Precinct 16",321,295,2,7,0,1632100000016.0
"City of Dearborn, Precinct 17",374,321,3,14,0,1632100000017.0
"City of Dearborn, Precinct 18",398,340,3,31,1,1632100000018.0
"City of Dearborn, Precinct 19",292,273,3,7,2,1632100000019.0
"City of Dearborn, Precinct 20",217,203,4,4,0,1632100000020.0
"City of Dearborn, Precinct 21",335,319,1,5,0,1632100000021.0
"City of Dearborn, Precinct 22",429,331,0,64,0,1632100000022.0
"City of Dearborn, Precinct 24",219,133,2,35,0,1632100000024.0
"City of Dearborn, Precinct 25",303,194,2,39,0,1632100000025.0
"City of Dearborn, Precinct 26",297,197,5,48,0,1632100000026.0
"City of Dearborn, Precinct 27",284,168,1,47,0,1632100000027.0
"City of Dearborn, Precinct 28",195,112,4,50,0,1632100000028.0
"City of Dearborn, Precinct 29",369,190,7,65,0,1632100000029.0
"City of Dearborn, Precinct 31",296,233,3,29,1,1632100000031.0
"City of Dearborn, Precinct 32",376,255,8,33,0,1632100000032.0
"City of Dearborn, Precinct 33",341,262,1,26,0,1632100000033.0
"City of Dearborn, Precinct 34",320,228,3,38,0,1632100000034.0
"City of Dearborn, Precinct 35",528,355,5,74,0,1632100000035.0
"City of Dearborn, Precinct 37",319,215,0,48,0,1632100000037.0
"City of Dearborn, Precinct 38",342,242,3,30,2,1632100000038.0
"City of Dearborn, Precinct 40",375,290,2,35,0,1632100000040.0
"City of Dearborn, Precinct 41",320,210,5,44,0,1632100000041.0
"City of Dearborn, Precinct 42",571,380,8,82,0,1632100000042.0
"City of Dearborn, Precinct 44",396,214,7,81,0,1632100000044.0
"City of Dearborn, Precinct 45",369,210,9,58,0,1632100000045.0
"City of Dearborn, Precinct 46",332,177,8,68,0,1632100000046.0
"City of Dearborn, Precinct 47",448,230,4,91,0,1632100000047.0
"City of Dearborn, Precinct 49",300,158,4,50,0,1632100000049.0
"City of Dearborn, Precinct 50",263,131,0,55,0,1632100000050.0
"City of Dearborn Heights, Precinct 1",548,497,1,28,0,1632102000001.0
"City of Dearborn Heights, Precinct 2",609,504,5,49,0,1632102000002.0
"City of Dearborn Heights, Precinct 3",408,248,4,79,1,1632102000003.0
"City of Dearborn Heights, Precinct 4",442,312,5,48,0,1632102000004.0
"City of Dearborn Heights, Precinct 5",488,374,3,41,0,1632102000005.0
"City of Dearborn Heights, Precinct 6",385,290,3,33,0,1632102000006.0
"City of Dearborn Heights, Precinct 7",289,224,1,23,0,1632102000007.0
"City of Dearborn Heights, Precinct 8",389,293,2,35,1,1632102000008.0
"City of Dearborn Heights, Precinct 9",541,495,1,16,0,1632102000009.0
"City of Dearborn Heights, Precinct 10",692,614,4,36,0,1632102000010.0
"City of Dearborn Heights, Precinct 11",317,165,2,53,0,1632102000011.0
"City of Dearborn Heights, Precinct 12",321,155,7,61,0,1632102000012.0
"City of Dearborn Heights, Precinct 13",442,190,7,88,0,1632102000013.0
"City of Dearborn Heights, Precinct 14",353,158,1,83,0,1632102000014.0
"City of Dearborn Heights, Precinct 15",375,183,4,82,0,1632102000015.0
"City of Detroit, Precinct 1",163,89,1,71,0,1632200004001.0
"City of Detroit, Precinct 2",120,58,4,52,0,1632200004002.0
"City of Detroit, Precinct 4",62,26,1,34,0,1632200004004.0
"City of Detroit, Precinct 5",67,25,2,36,0,1632200004005.0
"City of Detroit, Precinct 6",113,48,5,54,1,1632200004006.0
"City of Detroit, Precinct 7",246,122,5,108,0,1632200004007.0
"City of Detroit, Precinct 8",148,97,1,45,0,1632200004008.0
