name,ballots,Shanelle Jackson,Byron H. Nolen,Rashida Tlaib,Write-in,id
"City of Dearborn, Precinct 1",59,5,4,41,0,1632100000001
"City of Dearborn, Precinct 2",74,1,7,47,0,1632100000002
"City of Dearborn, Precinct 3",109,2,2,80,2,1632100000003
"City of Dearborn, Precinct 4",81,1,3,58,0,1632100000004
"City of Dearborn, Precinct 6",83,4,3,66,0,1632100000006
"City of Dearborn, Precinct 7",102,1,3,79,0,1632100000007
"City of Dearborn, Precinct 8",84,2,2,56,0,1632100000008
"City of Dearborn, Precinct 9",65,3,3,48,0,1632100000009
"City of Dearborn, Precinct 10",87,4,5,59,0,1632100000010
"City of Dearborn, Precinct 11",50,2,1,37,0,1632100000011
"City of Dearborn, Precinct 12",87,4,5,60,0,1632100000012
"City of Dearborn, Precinct 13",174,22,9,98,0,1632100000013
"City of Dearborn, Precinct 15",102,5,3,73,0,1632100000015
"City of Dearborn, Precinct 16",124,4,4,86,0,1632100000016
"City of Dearborn, Precinct 17",134,4,11,90,0,1632100000017
"City of Dearborn, Precinct 18",135,15,13,74,0,1632100000018
"City of Dearborn, Precinct 19",82,2,1,72,0,1632100000019
"City of Dearborn, Precinct 20",42,0,0,39,0,1632100000020
"City of Dearborn, Precinct 21",41,1,0,24,0,1632100000021
"City of Dearborn, Precinct 22",323,22,29,184,0,1632100000022
"City of Dearborn, Precinct 24",181,13,12,113,1,1632100000024
"City of Dearborn, Precinct 25",294,25,22,136,0,1632100000025
"City of Dearborn, Precinct 26",235,16,16,121,0,1632100000026
"City of Dearborn, Precinct 27",240,26,7,139,0,1632100000027
"City of Dearborn, Precinct 28",131,11,12,62,0,1632100000028
"City of Dearborn, Precinct 29",221,5,28,121,0,1632100000029
"City of Dearborn, Precinct 31",329,23,24,188,0,1632100000031
"City of Dearborn, Precinct 32",195,3,18,115,1,1632100000032
"City of Dearborn, Precinct 33",202,7,11,121,1,1632100000033
"City of Dearborn, Precinct 34",221,13,15,129,0,1632100000034
"City of Dearborn, Precinct 35",352,23,33,212,0,1632100000035
"City of Dearborn, Precinct 37",253,15,30,127,1,1632100000037
"City of Dearborn, Precinct 38",244,22,24,128,1,1632100000038
"City of Dearborn, Precinct 40",151,17,10,86,0,1632100000040
"City of Dearborn, Precinct 41",260,14,37,135,0,1632100000041
"City of Dearborn, Precinct 42",409,30,29,249,1,1632100000042
"City of Dearborn, Precinct 44",245,13,22,148,0,1632100000044
"City of Dearborn, Precinct 45",221,20,20,128,0,1632100000045
"City of Dearborn, Precinct 46",247,13,24,147,1,1632100000046
"City of Dearborn, Precinct 47",328,33,25,173,0,1632100000047
"City of Dearborn, Precinct 49",270,22,28,140,0,1632100000049
"City of Dearborn, Precinct 50",184,21,10,97,0,1632100000050
"City of Dearborn Heights, Precinct 1",303,23,19,190,0,1632102000001
"City of Dearborn Heights, Precinct 2",335,16,24,197,0,1632102000002
"City of Dearborn Heights, Precinct 3",310,26,25,150,0,1632102000003
"City of Dearborn Heights, Precinct 4",475,35,39,210,0,1632102000004
"City of Dearborn Heights, Precinct 5",332,19,30,184,0,1632102000005
"City of Dearborn Heights, Precinct 6",331,22,23,166,0,1632102000006
"City of Dearborn Heights, Precinct 7",175,13,8,97,0,1632102000007
"City of Dearborn Heights, Precinct 8",287,13,21,162,0,1632102000008
"City of Dearborn Heights, Precinct 9",291,9,13,166,0,1632102000009
"City of Dearborn Heights, Precinct 10",374,19,14,239,0,1632102000010
"City of Dearborn Heights, Precinct 11",129,12,11,71,0,1632102000011
"City of Detroit, Precinct 60",3,0,0,3,0,1632200007060
"City of Detroit, Precinct 223",47,12,2,23,0,1632200002223
"City of Detroit, Precinct 224",86,11,2,63,0,1632200002224
"City of Detroit, Precinct 225",61,15,0,45,0,1632200002225
"City of Detroit, Precinct 226",37,10,1,21,1,1632200002226
"City of Detroit, Precinct 227",36,5,2,26,0,1632200002227
"City of Detroit, Precinct 228",85,18,2,58,0,1632200002228
"City of Detroit, Precinct 229",49,10,1,35,0,1632200002229
"City of Detroit, Precinct 230",55,12,2,36,0,1632200002230
"City of Detroit, Precinct 231",44,13,3,26,0,1632200002231
"City of Detroit, Precinct 232",91,17,12,52,0,1632200002232
"City of Detroit, Precinct 233",78,14,9,47,0,1632200002233
"City of Detroit, Precinct 234",48,7,1,35,0,1632200002234
"City of Detroit, Precinct 236",82,27,4,47,0,1632200002236
"City of Detroit, Precinct 240",59,14,3,41,0,1632200002240
"City of Detroit, Precinct 241",33,7,4,19,0,1632200002241
"City of Detroit, Precinct 242",43,11,2,23,0,1632200002242
"City of Detroit, Precinct 243",16,5,1,9,0,1632200002243
"City of Detroit, Precinct 244",60,14,1,42,0,1632200002244
"City of Detroit, Precinct 246",34,9,0,22,0,1632200002246
"City of Detroit, Precinct 247",30,7,2,15,0,1632200002247
"City of Detroit, Precinct 248",33,8,3,20,0,1632200002248
"City of Detroit, Precinct 249",39,17,1,16,0,1632200002249
"City of Detroit, Precinct 250",50,14,1,25,0,1632200002250
"City of Detroit, Precinct 251",24,8,0,14,0,1632200002251
"City of Detroit, Precinct 252",34,9,0,21,0,1632200002252
"City of Detroit, Precinct 253",21,8,1,12,0,1632200002253
"City of Detroit, Precinct 254",49,15,4,24,0,1632200002254
"City of Detroit, Precinct 256",29,7,2,17,0,1632200002256
"City of Detroit, Precinct 257",79,14,8,51,0,1632200002257
"City of Detroit, Precinct 258",60,14,6,35,0,1632200002258
"City of Detroit, Precinct 261",44,10,4,23,0,1632200001261
"City of Detroit, Precinct 263",93,35,4,45,0,1632200001263
"City of Detroit, Precinct 264",50,8,8,25,0,1632200001264
"City of Detroit, Precinct 265",30,7,1,16,0,1632200001265
"City of Detroit, Precinct 266",6,1,0,3,0,1632200001266
"City of Detroit, Precinct 267",33,3,2,23,0,1632200001267
"City of Detroit, Precinct 268",11,3,0,8,0,1632200001268
"City of Detroit, Precinct 269",15,0,1,10,0,1632200001269
"City of Detroit, Precinct 271",71,23,2,42,0,1632200001271
"City of Detroit, Precinct 272",10,2,0,7,0,1632200001272
"City of Detroit, Precinct 273",23,5,0,14,0,1632200001273
"City of Detroit, Precinct 275",56,9,2,36,0,1632200001275
"City of Detroit, Precinct 276",37,9,2,19,0,1632200001276
"City of Detroit, Precinct 278",47,11,2,30,0,1632200001278
"City of Detroit, Precinct 279",124,34,2,69,0,1632200001279
"City of Detroit, Precinct 280",15,1,0,11,0,1632200001280
"City of Detroit, Precinct 281",47,16,4,24,0,1632200001281
"City of Detroit, Precinct 282",52,8,3,33,0,1632200001282
"City of Detroit, Precinct 283",53,8,2,36,0,1632200001283
"City of Detroit, Precinct 285",53,8,4,31,0,1632200001285
"City of Detroit, Precinct 286",58,15,2,37,0,1632200001286
"City of Detroit, Precinct 287",20,2,1,14,0,1632200001287
"City of Detroit, Precinct 288",33,5,3,19,0,1632200002288
"City of Detroit, Precinct 289",19,3,1,13,0,1632200002289
"City of Detroit, Precinct 290",19,3,1,14,0,1632200002290
"City of Detroit, Precinct 291",34,5,3,22,0,1632200002291
