name,ballots,T. P. Nykoriak,Write-in,id
"City of Allen Park, Precinct 1",459,100,0,1630138000001
"City of Allen Park, Precinct 2",988,221,2,1630138000002
"City of Allen Park, Precinct 3",1296,324,2,1630138000003
"City of Allen Park, Precinct 4",982,226,0,1630138000004
"City of Allen Park, Precinct 5",954,226,1,1630138000005
"City of Allen Park, Precinct 6",1229,289,8,1630138000006
"City of Allen Park, Precinct 7",1192,316,1,1630138000007
"City of Allen Park, Precinct 8",425,119,4,1630138000008
"City of Dearborn Heights, Precinct 11",283,74,0,1632102000011
"City of Dearborn Heights, Precinct 12",747,164,1,1632102000012
"City of Dearborn Heights, Precinct 13",939,220,0,1632102000013
"City of Dearborn Heights, Precinct 14",642,161,0,1632102000014
"City of Dearborn Heights, Precinct 15",754,158,2,1632102000015
"City of Detroit, Precinct 1",369,3,0,1632200004001
"City of Detroit, Precinct 2",323,6,0,1632200004002
"City of Detroit, Precinct 4",138,2,0,1632200004004
"City of Detroit, Precinct 5",255,2,1,1632200004005
"City of Detroit, Precinct 6",304,3,0,1632200004006
"City of Detroit, Precinct 7",570,22,0,1632200004007
"City of Detroit, Precinct 8",370,7,1,1632200004008
"City of Detroit, Precinct 9",215,7,0,1632200004009
"City of Detroit, Precinct 10",116,2,0,1632200004010
"City of Detroit, Precinct 11",547,5,0,1632200004011
"City of Detroit, Precinct 12",339,1,1,1632200004012
"City of Detroit, Precinct 14",66,4,0,1632200004014
"City of Detroit, Precinct 15",270,3,0,1632200004015
"City of Detroit, Precinct 16",180,2,0,1632200004016
"City of Detroit, Precinct 18",305,10,0,1632200004018
"City of Detroit, Precinct 19",193,11,0,1632200004019
"City of Detroit, Precinct 20",529,33,3,1632200004020
"City of Detroit, Precinct 22",249,10,0,1632200004022
"City of Detroit, Precinct 23",555,11,0,1632200004023
"City of Detroit, Precinct 25",204,1,0,1632200004025
"City of Detroit, Precinct 26",95,1,0,1632200004026
"City of Detroit, Precinct 27",231,4,0,1632200004027
"City of Detroit, Precinct 29",109,2,0,1632200004029
"City of Detroit, Precinct 32",628,22,0,1632200004032
"City of Detroit, Precinct 33",353,11,0,1632200004033
"City of Detroit, Precinct 34",594,16,5,1632200004034
"City of Detroit, Precinct 35",267,3,0,1632200004035
"City of Detroit, Precinct 36",198,2,0,1632200004036
"City of Detroit, Precinct 38",226,2,1,1632200004038
"City of Detroit, Precinct 39",213,2,0,1632200004039
"City of Detroit, Precinct 40",164,7,0,1632200004040
"City of Detroit, Precinct 41",197,2,0,1632200004041
"City of Detroit, Precinct 43",341,4,2,1632200004043
"City of Detroit, Precinct 44",265,3,0,1632200004044
"City of Detroit, Precinct 45",211,6,0,1632200004045
"City of Detroit, Precinct 46",137,2,0,1632200004046
"City of Detroit, Precinct 47",420,4,0,1632200004047
"City of Detroit, Precinct 49",77,3,1,1632200004049
"City of Detroit, Precinct 50",297,4,0,1632200004050
"City of Detroit, Precinct 51",128,0,0,1632200004051
"City of Detroit, Precinct 52",177,2,0,1632200004052
"City of Detroit, Precinct 53",257,4,0,1632200004053
"City of Detroit, Precinct 55",226,3,1,1632200004055
"City of Detroit, Precinct 56",158,6,0,1632200004056
"City of Detroit, Precinct 59",0,0,0,1632200003059
"City of Detroit, Precinct 61",239,1,0,1632200003061
"City of Detroit, Precinct 62",349,8,2,1632200003062
"City of Detroit, Precinct 64",142,2,1,1632200003064
"City of Detroit, Precinct 65",319,7,0,1632200003065
"City of Detroit, Precinct 66",111,3,0,1632200003066
"City of Detroit, Precinct 68",539,2,0,1632200003068
"City of Detroit, Precinct 69",14,1,0,1632200006069
"City of Detroit, Precinct 70",143,2,0,1632200003070
"City of Detroit, Precinct 71",160,7,0,1632200003071
"City of Detroit, Precinct 72",121,9,0,1632200003072
"City of Detroit, Precinct 73",129,1,0,1632200003073
"City of Detroit, Precinct 74",143,3,0,1632200003074
"City of Detroit, Precinct 75",227,7,0,1632200003075
"City of Detroit, Precinct 77",225,6,0,1632200003077
"City of Detroit, Precinct 78",108,0,0,1632200003078
"City of Detroit, Precinct 79",327,5,1,1632200003079
"City of Detroit, Precinct 80",177,3,0,1632200003080
"City of Detroit, Precinct 81",303,6,0,1632200003081
"City of Detroit, Precinct 82",205,6,1,1632200003082
"City of Detroit, Precinct 83",211,6,0,1632200003083
"City of Detroit, Precinct 84",280,5,0,1632200003084
"City of Detroit, Precinct 85",113,2,1,1632200003085
"City of Detroit, Precinct 86",247,5,0,1632200003086
"City of Detroit, Precinct 88",268,5,0,1632200003088
"City of Detroit, Precinct 89",188,1,1,1632200003089
"City of Detroit, Precinct 90",125,0,0,1632200003090
"City of Detroit, Precinct 91",447,4,0,1632200003091
"City of Detroit, Precinct 92",431,19,0,1632200003092
"City of Detroit, Precinct 93",87,1,0,1632200003093
"City of Detroit, Precinct 94",303,4,1,1632200003094
"City of Detroit, Precinct 95",278,13,0,1632200003095
"City of Detroit, Precinct 97",126,0,0,1632200003097
"City of Detroit, Precinct 98",202,4,0,1632200003098
"City of Detroit, Precinct 100",90,1,0,1632200003100
"City of Detroit, Precinct 101",149,0,0,1632200004101
"City of Detroit, Precinct 102",107,3,0,1632200003102
"City of Detroit, Precinct 103",152,6,0,1632200004103
"City of Detroit, Precinct 105",271,5,0,1632200004105
"City of Detroit, Precinct 107",48,4,0,1632200003107
"City of Detroit, Precinct 111",186,1,0,1632200004111
"City of Detroit, Precinct 112",317,4,0,1632200004112
"City of Detroit, Precinct 115",460,6,0,1632200004115
"City of Detroit, Precinct 116",357,4,0,1632200004116
"City of Detroit, Precinct 120",465,5,0,1632200005120
"City of Detroit, Precinct 121",230,0,1,1632200003121
"City of Detroit, Precinct 122",111,2,1,1632200005122
"City of Detroit, Precinct 123",88,3,0,1632200005123
"City of Detroit, Precinct 124",1410,23,0,1632200005124
"City of Detroit, Precinct 125",868,12,2,1632200005125
"City of Detroit, Precinct 126",483,7,0,1632200005126
"City of Detroit, Precinct 128",248,8,0,1632200005128
"City of Detroit, Precinct 129",198,4,0,1632200005129
"City of Detroit, Precinct 130",173,7,0,1632200005130
"City of Detroit, Precinct 132",656,6,0,1632200005132
"City of Detroit, Precinct 133",648,18,2,1632200005133
"City of Detroit, Precinct 134",548,15,0,1632200005134
"City of Detroit, Precinct 135",396,10,0,1632200004135
"City of Detroit, Precinct 136",852,7,0,1632200005136
"City of Detroit, Precinct 137",129,2,0,1632200005137
"City of Detroit, Precinct 138",370,14,0,1632200005138
"City of Detroit, Precinct 139",309,1,0,1632200005139
"City of Detroit, Precinct 140",243,6,1,1632200005140
"City of Detroit, Precinct 143",292,15,0,1632200006143
"City of Detroit, Precinct 144",489,14,0,1632200006144
"City of Detroit, Precinct 145",231,13,0,1632200006145
"City of Detroit, Precinct 146",461,16,0,1632200006146
"City of Detroit, Precinct 147",320,9,0,1632200005147
"City of Detroit, Precinct 148",229,3,1,1632200006148
"City of Detroit, Precinct 150",402,5,1,1632200006150
"City of Detroit, Precinct 151",728,8,1,1632200006151
"City of Detroit, Precinct 156",206,3,0,1632200005156
"City of Detroit, Precinct 157",352,11,0,1632200006157
"City of Detroit, Precinct 158",556,13,0,1632200005158
"City of Detroit, Precinct 159",363,8,0,1632200005159
"City of Detroit, Precinct 161",512,7,2,1632200005161
"City of Detroit, Precinct 162",527,6,0,1632200005162
"City of Detroit, Precinct 164",125,2,0,1632200005164
"City of Detroit, Precinct 165",687,8,0,1632200005165
"City of Detroit, Precinct 166",71,0,0,1632200007166
"City of Detroit, Precinct 167",508,1,0,1632200005167
"City of Detroit, Precinct 168",480,4,0,1632200005168
"City of Detroit, Precinct 169",364,6,0,1632200005169
"City of Detroit, Precinct 172",198,4,0,1632200003172
"City of Detroit, Precinct 173",302,7,1,1632200003173
"City of Detroit, Precinct 174",146,6,0,1632200003174
"City of Detroit, Precinct 175",77,2,0,1632200003175
"City of Detroit, Precinct 176",196,1,0,1632200003176
"City of Detroit, Precinct 177",222,3,0,1632200003177
"City of Detroit, Precinct 178",176,4,0,1632200003178
"City of Detroit, Precinct 180",193,1,0,1632200003180
"City of Detroit, Precinct 182",359,7,1,1632200003182
"City of Detroit, Precinct 183",125,0,0,1632200003183
"City of Detroit, Precinct 184",398,7,0,1632200003184
"City of Detroit, Precinct 185",231,7,0,1632200003185
"City of Detroit, Precinct 188",171,2,0,1632200003188
"City of Detroit, Precinct 189",222,4,1,1632200003189
"City of Detroit, Precinct 190",116,0,0,1632200003190
"City of Detroit, Precinct 191",231,3,0,1632200003191
"City of Detroit, Precinct 192",205,4,1,1632200003192
"City of Detroit, Precinct 193",126,5,0,1632200003193
"City of Detroit, Precinct 194",152,3,0,1632200003194
"City of Detroit, Precinct 195",300,5,0,1632200003195
"City of Detroit, Precinct 197",102,4,1,1632200003197
"City of Detroit, Precinct 198",259,7,0,1632200003198
"City of Detroit, Precinct 199",75,1,0,1632200003199
"City of Detroit, Precinct 200",348,4,0,1632200002200
"City of Detroit, Precinct 201",967,24,1,1632200002201
"City of Detroit, Precinct 203",668,6,0,1632200002203
"City of Detroit, Precinct 204",495,7,0,1632200002204
"City of Detroit, Precinct 207",694,9,0,1632200002207
"City of Detroit, Precinct 208",720,10,0,1632200002208
"City of Detroit, Precinct 209",170,0,0,1632200002209
"City of Detroit, Precinct 210",240,4,0,1632200002210
"City of Detroit, Precinct 211",425,10,2,1632200002211
"City of Detroit, Precinct 212",305,7,0,1632200005212
"City of Detroit, Precinct 215",162,0,1,1632200005215
"City of Detroit, Precinct 216",119,1,0,1632200005216
"City of Detroit, Precinct 217",296,4,0,1632200005217
"City of Detroit, Precinct 218",110,2,0,1632200005218
"City of Detroit, Precinct 219",147,3,0,1632200005219
"City of Detroit, Precinct 220",158,1,1,1632200005220
"City of Detroit, Precinct 221",611,3,0,1632200002221
"City of Detroit, Precinct 222",217,2,0,1632200002222
"City of Detroit, Precinct 238",260,4,0,1632200002238
"City of Detroit, Precinct 239",295,7,0,1632200002239
"City of Detroit, Precinct 259",297,5,0,1632200002259
"City of Detroit, Precinct 260",292,5,1,1632200002260
"City of Detroit, Precinct 360",11,0,0,1632200006360
"City of Detroit, Precinct 386",311,4,0,1632200002386
