name,ballots,James D. Hooper,Write-in,id
"City of Dearborn, Precinct 1",59,3,0,1632100000001
"City of Dearborn, Precinct 2",74,13,0,1632100000002
"City of Dearborn, Precinct 3",109,8,0,1632100000003
"City of Dearborn, Precinct 4",81,7,0,1632100000004
"City of Dearborn, Precinct 6",83,4,0,1632100000006
"City of Dearborn, Precinct 7",102,11,0,1632100000007
"City of Dearborn, Precinct 8",84,10,0,1632100000008
"City of Dearborn, Precinct 9",65,6,0,1632100000009
"City of Dearborn, Precinct 10",87,5,0,1632100000010
"City of Dearborn, Precinct 11",50,5,0,1632100000011
"City of Dearborn, Precinct 12",87,7,0,1632100000012
"City of Dearborn, Precinct 13",174,18,0,1632100000013
"City of Dearborn, Precinct 15",102,10,0,1632100000015
"City of Dearborn, Precinct 16",124,12,1,1632100000016
"City of Dearborn, Precinct 17",134,12,1,1632100000017
"City of Dearborn, Precinct 18",135,17,0,1632100000018
"City of Dearborn, Precinct 19",82,5,0,1632100000019
"City of Dearborn, Precinct 20",42,0,0,1632100000020
"City of Dearborn, Precinct 21",41,3,0,1632100000021
"City of Dearborn, Precinct 22",323,56,0,1632100000022
"City of Dearborn, Precinct 24",181,25,1,1632100000024
"City of Dearborn, Precinct 25",294,74,0,1632100000025
"City of Dearborn, Precinct 26",235,55,0,1632100000026
"City of Dearborn, Precinct 27",240,41,0,1632100000027
"City of Dearborn, Precinct 28",131,37,0,1632100000028
"City of Dearborn, Precinct 29",221,39,0,1632100000029
"City of Dearborn, Precinct 31",329,62,0,1632100000031
"City of Dearborn, Precinct 32",195,41,0,1632100000032
"City of Dearborn, Precinct 33",202,39,0,1632100000033
"City of Dearborn, Precinct 34",221,36,0,1632100000034
"City of Dearborn, Precinct 35",352,52,0,1632100000035
"City of Dearborn, Precinct 37",253,45,0,1632100000037
"City of Dearborn, Precinct 38",244,38,0,1632100000038
"City of Dearborn, Precinct 40",151,19,0,1632100000040
"City of Dearborn, Precinct 41",260,46,1,1632100000041
"City of Dearborn, Precinct 42",409,48,2,1632100000042
"City of Dearborn, Precinct 44",245,39,0,1632100000044
"City of Dearborn, Precinct 45",221,24,0,1632100000045
"City of Dearborn, Precinct 46",247,31,0,1632100000046
"City of Dearborn, Precinct 47",328,59,0,1632100000047
"City of Dearborn, Precinct 49",270,48,0,1632100000049
"City of Dearborn, Precinct 50",184,37,0,1632100000050
"City of Dearborn Heights, Precinct 1",303,28,0,1632102000001
"City of Dearborn Heights, Precinct 2",335,52,0,1632102000002
"City of Dearborn Heights, Precinct 3",310,71,0,1632102000003
"City of Dearborn Heights, Precinct 4",475,121,0,1632102000004
"City of Dearborn Heights, Precinct 5",332,59,0,1632102000005
"City of Dearborn Heights, Precinct 6",331,75,0,1632102000006
"City of Dearborn Heights, Precinct 7",175,35,0,1632102000007
"City of Dearborn Heights, Precinct 8",287,59,0,1632102000008
"City of Dearborn Heights, Precinct 9",291,60,0,1632102000009
"City of Dearborn Heights, Precinct 10",374,52,0,1632102000010
"City of Dearborn Heights, Precinct 11",129,16,0,1632102000011
"City of Detroit, Precinct 60",3,0,0,1632200007060
"City of Detroit, Precinct 223",47,1,0,1632200002223
"City of Detroit, Precinct 224",86,0,0,1632200002224
"City of Detroit, Precinct 225",61,0,0,1632200002225
"City of Detroit, Precinct 226",37,0,0,1632200002226
"City of Detroit, Precinct 227",36,0,0,1632200002227
"City of Detroit, Precinct 228",85,2,0,1632200002228
"City of Detroit, Precinct 229",49,0,0,1632200002229
"City of Detroit, Precinct 230",55,1,0,1632200002230
"City of Detroit, Precinct 231",44,1,0,1632200002231
"City of Detroit, Precinct 232",91,0,1,1632200002232
"City of Detroit, Precinct 233",78,2,0,1632200002233
"City of Detroit, Precinct 234",48,0,0,1632200002234
"City of Detroit, Precinct 236",82,0,0,1632200002236
"City of Detroit, Precinct 240",59,0,0,1632200002240
"City of Detroit, Precinct 241",33,0,0,1632200002241
"City of Detroit, Precinct 242",43,0,0,1632200002242
"City of Detroit, Precinct 243",16,0,0,1632200002243
"City of Detroit, Precinct 244",60,0,0,1632200002244
"City of Detroit, Precinct 246",34,1,0,1632200002246
"City of Detroit, Precinct 247",30,0,0,1632200002247
"City of Detroit, Precinct 248",33,0,0,1632200002248
"City of Detroit, Precinct 249",39,1,0,1632200002249
"City of Detroit, Precinct 250",50,1,0,1632200002250
"City of Detroit, Precinct 251",24,2,0,1632200002251
"City of Detroit, Precinct 252",34,1,0,1632200002252
"City of Detroit, Precinct 253",21,0,0,1632200002253
"City of Detroit, Precinct 254",49,1,0,1632200002254
"City of Detroit, Precinct 256",29,0,0,1632200002256
"City of Detroit, Precinct 257",79,4,1,1632200002257
"City of Detroit, Precinct 258",60,1,0,1632200002258
"City of Detroit, Precinct 261",44,3,0,1632200001261
"City of Detroit, Precinct 263",93,1,0,1632200001263
"City of Detroit, Precinct 264",50,0,0,1632200001264
"City of Detroit, Precinct 265",30,0,0,1632200001265
"City of Detroit, Precinct 266",6,0,0,1632200001266
"City of Detroit, Precinct 267",33,0,0,1632200001267
"City of Detroit, Precinct 268",11,0,0,1632200001268
"City of Detroit, Precinct 269",15,0,0,1632200001269
"City of Detroit, Precinct 271",71,1,0,1632200001271
"City of Detroit, Precinct 272",10,0,0,1632200001272
"City of Detroit, Precinct 273",23,1,0,1632200001273
"City of Detroit, Precinct 275",56,4,0,1632200001275
"City of Detroit, Precinct 276",37,0,0,1632200001276
"City of Detroit, Precinct 278",47,0,0,1632200001278
"City of Detroit, Precinct 279",124,4,0,1632200001279
"City of Detroit, Precinct 280",15,0,0,1632200001280
"City of Detroit, Precinct 281",47,0,0,1632200001281
"City of Detroit, Precinct 282",52,0,0,1632200001282
"City of Detroit, Precinct 283",53,0,0,1632200001283
"City of Detroit, Precinct 285",53,0,0,1632200001285
"City of Detroit, Precinct 286",58,0,0,1632200001286
"City of Detroit, Precinct 287",20,0,0,1632200001287
"City of Detroit, Precinct 288",33,0,0,1632200002288
"City of Detroit, Precinct 289",19,0,0,1632200002289
"City of Detroit, Precinct 290",19,0,0,1632200002290
"City of Detroit, Precinct 291",34,0,0,1632200002291
"City of Detroit, Precinct 292",52,0,0,1632200002292
"City of Detroit, Precinct 293",21,0,0,1632200002293
"City of Detroit, Precinct 294",34,0,0,1632200002294
"City of Detroit, Precinct 295",58,0,0,1632200002295
"City of Detroit, Precinct 296",23,0,0,1632200002296
"City of Detroit, Precinct 297",42,0,0,1632200001297
"City of Detroit, Precinct 298",49,1,0,1632200001298
"City of Detroit, Precinct 299",48,3,0,1632200001299
"City of Detroit, Precinct 300",16,1,0,1632200001300
"City of Detroit, Precinct 301",15,1,0,1632200001301
"City of Detroit, Precinct 302",22,1,0,1632200001302
"City of Detroit, Precinct 304",6,0,0,1632200001304
"City of Detroit, Precinct 305",47,0,0,1632200001305
"City of Detroit, Precinct 306",28,0,0,1632200001306
"City of Detroit, Precinct 307",36,0,0,1632200001307
"City of Detroit, Precinct 308",83,0,0,1632200001308
"City of Detroit, Precinct 309",28,0,0,1632200001309
"City of Detroit, Precinct 310",42,1,0,1632200001310
"City of Detroit, Precinct 311",44,2,0,1632200001311
"City of Detroit, Precinct 312",47,2,0,1632200001312
"City of Detroit, Precinct 313",25,0,0,1632200002313
"City of Detroit, Precinct 315",38,0,0,1632200001315
"City of Detroit, Precinct 316",35,0,0,1632200001316
"City of Detroit, Precinct 317",16,0,1,1632200001317
"City of Detroit, Precinct 318",6,0,0,1632200002318
"City of Detroit, Precinct 319",28,0,0,1632200001319
"City of Detroit, Precinct 320",35,1,0,1632200001320
"City of Detroit, Precinct 321",18,0,0,1632200001321
"City of Detroit, Precinct 323",108,2,0,1632200001323
"City of Detroit, Precinct 324",88,0,0,1632200001324
"City of Detroit, Precinct 325",27,0,0,1632200001325
"City of Detroit, Precinct 326",124,1,0,1632200001326
"City of Detroit, Precinct 328",21,0,0,1632200001328
"City of Detroit, Precinct 329",26,0,0,1632200001329
"City of Detroit, Precinct 330",40,0,0,1632200007330
"City of Detroit, Precinct 331",35,0,0,1632200007331
"City of Detroit, Precinct 333",23,0,0,1632200007333
"City of Detroit, Precinct 334",11,1,1,1632200007334
"City of Detroit, Precinct 335",24,2,0,1632200007335
"City of Detroit, Precinct 336",39,0,0,1632200007336
"City of Detroit, Precinct 337",26,3,0,1632200007337
"City of Detroit, Precinct 338",26,1,0,1632200007338
"City of Detroit, Precinct 339",23,0,0,1632200007339
"City of Detroit, Precinct 340",16,0,0,1632200007340
"City of Detroit, Precinct 341",28,0,0,1632200007341
"City of Detroit, Precinct 342",56,2,0,1632200007342
"City of Detroit, Precinct 343",38,0,0,1632200007343
"City of Detroit, Precinct 344",32,2,0,1632200007344
"City of Detroit, Precinct 345",49,0,0,1632200007345
"City of Detroit, Precinct 346",29,0,0,1632200007346
"City of Detroit, Precinct 347",71,0,0,1632200007347
"City of Detroit, Precinct 348",27,1,0,1632200007348
"City of Detroit, Precinct 349",59,0,0,1632200007349
"City of Detroit, Precinct 350",12,2,0,1632200001350
"City of Detroit, Precinct 351",26,0,0,1632200001351
"City of Detroit, Precinct 352",59,2,0,1632200001352
"City of Detroit, Precinct 353",4,0,0,1632200007353
"City of Detroit, Precinct 355",33,2,0,1632200007355
"City of Detroit, Precinct 356",25,1,0,1632200007356
"City of Detroit, Precinct 357",39,0,0,1632200001357
"City of Detroit, Precinct 359",61,0,0,1632200001359
"City of Detroit, Precinct 361",90,0,0,1632200001361
"City of Detroit, Precinct 362",16,0,0,1632200001362
"City of Detroit, Precinct 363",24,0,0,1632200007363
"City of Detroit, Precinct 364",35,0,0,1632200007364
"City of Detroit, Precinct 365",34,0,0,1632200007365
"City of Detroit, Precinct 368",30,0,0,1632200007368
"City of Detroit, Precinct 369",64,0,0,1632200007369
"City of Detroit, Precinct 370",42,0,0,1632200007370
"City of Detroit, Precinct 371",20,0,0,1632200007371
"City of Detroit, Precinct 373",25,0,0,1632200007373
"City of Detroit, Precinct 374",11,0,0,1632200007374
"City of Detroit, Precinct 375",24,3,0,1632200007375
"City of Detroit, Precinct 376",14,0,0,1632200007376
"City of Detroit, Precinct 377",10,1,0,1632200007377
"City of Detroit, Precinct 378",25,0,0,1632200001378
"City of Detroit, Precinct 379",43,0,0,1632200001379
"City of Detroit, Precinct 380",31,0,0,1632200007380
"City of Detroit, Precinct 381",39,1,0,1632200007381
"City of Detroit, Precinct 383",26,0,0,1632200002383
"City of Detroit, Precinct 384",35,0,0,1632200002384
