name,ballots,Debbie Dingell,Write-in,id
"City of Belleville, Precinct 1",53,32,0,1630702000001
"Charter Township of Brownstown, Precinct 1",86,51,1,1631122000001
"Charter Township of Brownstown, Precinct 2",39,26,0,1631122000002
"Charter Township of Brownstown, Precinct 3",43,26,2,1631122000003
"Charter Township of Brownstown, Precinct 4",49,25,0,1631122000004
"Charter Township of Brownstown, Precinct 5",28,19,0,1631122000005
"Charter Township of Brownstown, Precinct 6",24,12,2,1631122000006
"Charter Township of Brownstown, Precinct 7",27,19,0,1631122000007
"Charter Township of Brownstown, Precinct 8",36,21,2,1631122000008
"Charter Township of Brownstown, Precinct 9",52,35,0,1631122000009
"Charter Township of Brownstown, Precinct 10",41,23,0,1631122000010
"Charter Township of Brownstown, Precinct 11",19,8,0,1631122000011
"Charter Township of Brownstown, Precinct 12",27,15,0,1631122000012
"Canton Township, Precinct 1",69,49,2,1631312000001
"Canton Township, Precinct 2",100,70,4,1631312000002
"Canton Township, Precinct 3",161,108,1,1631312000003
"Canton Township, Precinct 4",119,72,2,1631312000004
"Canton Township, Precinct 5",84,58,1,1631312000005
"Canton Township, Precinct 6",35,24,2,1631312000006
"Canton Township, Precinct 7",109,70,4,1631312000007
"Canton Township, Precinct 8",194,120,8,1631312000008
"Canton Township, Precinct 9",77,42,4,1631312000009
"Canton Township, Precinct 10",58,39,1,1631312000010
"Canton Township, Precinct 11",45,32,0,1631312000011
"Canton Township, Precinct 12",64,43,0,1631312000012
"Canton Township, Precinct 13",105,65,1,1631312000013
"Canton Township, Precinct 14",100,63,2,1631312000014
"Canton Township, Precinct 15",117,74,2,1631312000015
"Canton Township, Precinct 16",202,157,0,1631312000016
"Canton Township, Precinct 17",242,166,4,1631312000017
"Canton Township, Precinct 18",239,153,7,1631312000018
"Canton Township, Precinct 19",146,102,3,1631312000019
"Canton Township, Precinct 20",94,52,3,1631312000020
"City of Flat Rock, Precinct 1",13,8,0,1632836000001
"City of Flat Rock, Precinct 2",40,20,0,1632836000002
"City of Flat Rock, Precinct 3",34,16,1,1632836000003
"City of Gibraltar, Precinct 1",74,30,0,1633202000001
"City of Gibraltar, Precinct 2",59,24,1,1633202000002
"Grosse Ile Township, Precinct 1",236,118,0,1633542000001
"Grosse Ile Township, Precinct 2",96,44,0,1633542000002
"Grosse Ile Township, Precinct 3",138,52,0,1633542000003
"Charter Township of Huron, Precinct 1",56,28,0,1634004000001
"Charter Township of Huron, Precinct 2",43,19,1,1634004000002
"Charter Township of Huron, Precinct 3",79,42,0,1634004000003
"Charter Township of Huron, Precinct 4",40,20,0,1634004000004
"City of Northville, Precinct 1",17,14,0,1635898000001
"Charter Township of Northville, Precinct 1",125,80,2,1635900000001
"Charter Township of Northville, Precinct 2",162,103,1,1635900000002
"Charter Township of Northville, Precinct 3",111,63,2,1635900000003
"Charter Township of Northville, Precinct 4",114,63,0,1635900000004
"Charter Township of Northville, Precinct 5",85,45,0,1635900000005
"Charter Township of Northville, Precinct 6",83,57,0,1635900000006
"Charter Township of Northville, Precinct 7",69,45,0,1635900000007
"Charter Township of Northville, Precinct 8",61,39,0,1635900000008
"Charter Township of Northville, Precinct 9",56,36,0,1635900000009
"Charter Township of Northville, Precinct 10",80,39,0,1635900000010
"City of Plymouth, Precinct 1",57,36,1,1636506000001
"City of Plymouth, Precinct 2",44,39,1,1636506000002
"City of Plymouth, Precinct 3",79,51,2,1636506000003
"City of Plymouth, Precinct 4",51,40,0,1636506000004
"Plymouth Township, Precinct 1",110,64,0,1636508000001
"Plymouth Township, Precinct 2",126,87,0,1636508000002
"Plymouth Township, Precinct 3",125,82,0,1636508000003
"Plymouth Township, Precinct 4",139,88,0,1636508000004
"Plymouth Township, Precinct 5",115,67,1,1636508000005
"Plymouth Township, Precinct 6",162,87,2,1636508000006
"City of Riverview, Precinct 1",35,17,0,1636888000001
"City of Riverview, Precinct 2",52,26,0,1636888000002
"City of Riverview, Precinct 3",45,28,0,1636888000003
"City of Rockwood, Precinct 1",16,7,1,1636918000001
"City of Rockwood, Precinct 2",35,18,0,1636918000002
"Township of Sumpter, Precinct 1",25,9,0,1637736000001
"Township of Sumpter, Precinct 2",58,25,0,1637736000002
"Township of Sumpter, Precinct 3",48,21,0,1637736000003
"Township of Sumpter, Precinct 4",53,27,0,1637736000004
"City of Trenton, Precinct 1",27,18,0,1638042000001
"City of Trenton, Precinct 2",71,36,0,1638042000002
"City of Trenton, Precinct 3",71,37,2,1638042000003
"City of Trenton, Precinct 4",65,42,1,1638042000004
"Van Buren Township, Precinct 1",106,58,4,1638166000001
"Van Buren Township, Precinct 2",75,48,0,1638166000002
"Van Buren Township, Precinct 3",80,62,0,1638166000003
"Van Buren Township, Precinct 4",108,79,5,1638166000004
"Van Buren Township, Precinct 5",64,47,1,1638166000005
"Van Buren Township, Precinct 6",75,53,0,1638166000006
"Van Buren Township, Precinct 7",27,12,0,1638166000007
"City of Woodhaven, Precinct 1",28,16,0,1638838000001
"City of Woodhaven, Precinct 2",60,26,0,1638838000002
"City of Woodhaven, Precinct 3",111,65,0,1638838000003
"City of Woodhaven, Precinct 4",25,15,0,1638838000004
