name,id,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"Auburn City, Precinct 1",170408000001,42,106,80,3,0
"Bay City, Ward 1, Precinct 1",170602001001,37,125,96,6,1
"Bay City, Ward 2, Precinct 1",170602002001,17,123,79,4,0
"Bay City, Ward 3, Precinct 1",170602003001,21,94,68,5,0
"Bay City, Ward 4, Precinct 1",170602004001,32,61,82,4,0
"Bay City, Ward 5, Precinct 1",170602005001,27,118,92,3,0
"Bay City, Ward 6, Precinct 1",170602006001,36,68,64,4,0
"Bay City, Ward 7, Precinct 1",170602007001,25,100,70,5,0
"Bay City, Ward 8, Precinct 1",170602008001,32,85,69,9,0
"Bay City, Ward 9, Precinct 1",170602009001,22,96,86,4,0
"Essexville City, Precinct 1",172642000001,24,98,65,4,0
"Essexville City, Precinct 2",172642000002,38,121,97,9,0
"Pinconning City, Precinct 1",176416000001,15,44,38,1,0
"Bangor Township, Precinct 1",170512000001,49,251,222,12,0
"Bangor Township, Precinct 2",170512000002,40,153,104,5,1
"Bangor Township, Precinct 3",170512000003,57,141,143,4,0
"Bangor Township, Precinct 4",170512000004,67,189,164,10,0
"Beaver Township, Precinct 1",170654000001,46,165,146,11,2
"Frankenlust Township, Precinct 1",173018000001,85,311,204,15,0
"Fraser Township, Precinct 1",173040000001,30,139,157,7,0
"Garfield Township, Precinct 1",173154000001,25,103,96,6,0
"Gibson Township, Precinct 1",173204000001,8,43,42,3,1
"Hampton Township, Precinct 1",173626000001,91,323,231,10,0
"Hampton Township, Precinct 2",173626000002,59,180,156,3,0
"Kawkawlin Township, Precinct 1",174236000001,57,264,248,10,3
"Merritt Township, Precinct 1",175322000001,22,106,83,2,0
"Monitor Township, Precinct 1",175498000001,52,128,104,7,0
"Monitor Township, Precinct 2",175498000002,78,247,174,8,0
"Monitor Township, Precinct 3",175498000003,50,304,233,20,0
"Mount Forest Township, Precinct 1",175592000001,17,79,88,2,0
"Pinconning Township, Precinct 1",176418000001,33,101,110,5,1
"Portsmouth Township, Precinct 1",176598000001,24,81,51,5,0
"Portsmouth Township, Precinct 2",176598000002,23,90,99,0,0
"Williams Township, Precinct 1",178738000001,50,188,180,4,2
"Williams Township, Precinct 2",178738000002,30,91,73,3,0
