name,id,Jocelyn Benson,Christopher Robert Swanson,Write-in
"Auburn City, Precinct 1",170408000001,186,118,0
"Bay City, Ward 1, Precinct 1",170602001001,335,239,4
"Bay City, Ward 2, Precinct 1",170602002001,476,232,2
"Bay City, Ward 3, Precinct 1",170602003001,289,208,2
"Bay City, Ward 4, Precinct 1",170602004001,281,238,3
"Bay City, Ward 5, Precinct 1",170602005001,352,303,1
"Bay City, Ward 6, Precinct 1",170602006001,233,187,1
"Bay City, Ward 7, Precinct 1",170602007001,276,227,2
"Bay City, Ward 8, Precinct 1",170602008001,299,186,0
"Bay City, Ward 9, Precinct 1",170602009001,276,224,2
"Essexville City, Precinct 1",172642000001,250,148,0
"Essexville City, Precinct 2",172642000002,218,168,0
"Pinconning City, Precinct 1",176416000001,73,74,0
"Bangor Township, Precinct 1",170512000001,378,280,1
"Bangor Township, Precinct 2",170512000002,205,140,0
"Bangor Township, Precinct 3",170512000003,246,228,0
"Bangor Township, Precinct 4",170512000004,419,311,2
"Beaver Township, Precinct 1",170654000001,153,165,0
"Frankenlust Township, Precinct 1",173018000001,324,206,1
"Fraser Township, Precinct 1",173040000001,197,167,0
"Garfield Township, Precinct 1",173154000001,99,97,0
"Gibson Township, Precinct 1",173204000001,29,40,1
"Hampton Township, Precinct 1",173626000001,462,344,1
"Hampton Township, Precinct 2",173626000002,432,281,0
"Kawkawlin Township, Precinct 1",174236000001,329,249,0
"Merritt Township, Precinct 1",175322000001,68,84,0
"Monitor Township, Precinct 1",175498000001,228,149,0
"Monitor Township, Precinct 2",175498000002,472,280,1
"Monitor Township, Precinct 3",175498000003,310,265,5
"Mount Forest Township, Precinct 1",175592000001,61,59,0
"Pinconning Township, Precinct 1",176418000001,127,145,0
"Portsmouth Township, Precinct 1",176598000001,123,108,0
"Portsmouth Township, Precinct 2",176598000002,166,130,0
"Williams Township, Precinct 1",178738000001,253,188,0
"Williams Township, Precinct 2",178738000002,118,88,0
