id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt
231086000001,"City of Bronson, Precinct 1",20,46,39,2
231702001001,"City of Coldwater, Precinct 1",4,39,21,0
231702002001,"City of Coldwater, Precinct 2",12,57,35,0
231702003001,"City of Coldwater, Precinct 3",10,77,48,1
231702004001,"City of Coldwater, Precinct 4",10,27,27,0
230112000001,"Algansee Township, Precinct 1",29,136,85,7
230580000001,"Batavia Township, Precinct 1",18,65,74,3
230806000001,"Bethel Township, Precinct 1",15,70,59,3
231088000001,"Bronson Township, Precinct 1",25,70,53,3
231214000001,"Butler Township, Precinct 1",11,49,68,1
231256000001,"California Township, Precinct 1",6,37,35,0
231704000001,"Coldwater Township, Precinct 1",27,128,93,2
233212000001,"Gilead Township, Precinct 1",10,24,18,2
233228000001,"Girard Township, Precinct 1",30,134,116,3
234326000001,"Kinderhook Township, Precinct 1",26,123,80,1
235240000001,"Matteson Township, Precinct 1",10,68,65,3
235786000001,"Noble Township, Precinct 1",5,38,18,1
236184000001,"Ovid Township, Precinct 1",32,218,149,9
236666000001,"Quincy Township, Precinct 1",79,206,161,6
237344000001,"Sherwood Township, Precinct 1",26,91,74,6
238128000001,"Union Township, Precinct 1",58,138,106,11
